year,method,n,acc,logloss
2019,hgb,249,0.8755020080321285,0.2661634524821664
2019,rf,249,0.9196787148594378,0.20860157480119657
2019,date,249,0.8232931726907631,0.8314530302620577
2019,doy,249,0.5100401606425703,0.7805088129113892
2020,hgb,222,0.8873873873873874,0.3067173233541425
2020,rf,222,0.9504504504504504,0.3114027186758964
2020,date,222,0.8108108108108109,0.5365039272100245
2020,doy,222,0.5855855855855856,0.733897696716133
2021,hgb,130,0.9,0.26175575663983913
2021,rf,130,0.9153846153846154,0.18676130343677994
2021,date,130,0.8153846153846154,0.4717836226895886
2021,doy,130,0.7307692307692307,0.7075523448163261
2022,hgb,192,0.8802083333333334,0.44616517216630075
2022,rf,192,0.8645833333333334,0.47482017824693584
2022,date,192,0.7916666666666666,1.0227361708534535
2022,doy,192,0.703125,0.6910874853448129
2023,hgb,169,0.8757396449704142,0.31304161351436005
2023,rf,169,0.9289940828402367,0.17431908034830226
2023,date,169,0.8757396449704142,0.2660307422689371
2023,doy,169,0.7455621301775148,0.6093340661988633
2024,hgb,152,0.9342105263157895,0.16319768780919244
2024,rf,152,0.9013157894736842,0.2930538581116277
2024,date,152,0.7236842105263158,0.6245379583216972
2024,doy,152,0.5657894736842105,0.9719405879182942
