protocol,kind,scale,n,rmse,mae
exact,mode,0.5,1114.0,0.06224503731643391,0.04257936791322387
exact,canon,0.5,1114.0,0.062256913133891596,0.04243326694284172
exact,doy,0.5,1114.0,0.06226222127130734,0.0425682495003759
exact,mode,0.25,1114.0,0.06231875572901752,0.04255604456314378
exact,canon,0.25,1114.0,0.06234227985979871,0.042549970169580974
exact,doy,0.25,1114.0,0.06234783729882973,0.04256360716957012
exact,doy,0.75,1114.0,0.06235021154747433,0.042768285804286404
exact,canon,0.75,1114.0,0.06235098122048685,0.04254582400869763
exact,median,0.5,1114.0,0.0623553121208246,0.042615850735069336
exact,median,0.75,1114.0,0.06235695812724455,0.042700660035038134
exact,mode,0.75,1114.0,0.06238595033628173,0.04284891445782394
exact,global,0.5,1114.0,0.062388706782159305,0.042680623529266624
exact,global,0.25,1114.0,0.06241478684977509,0.04262981087853209
exact,median,0.25,1114.0,0.062438554747315536,0.04266722417599303
exact,median,1.0,1114.0,0.06244348605359845,0.04286900869260815
exact,global,0.75,1114.0,0.06252831425817666,0.04293842173639237
exact,canon,1.0,1114.0,0.06261090204901862,0.04284922334485108
exact,doy,1.0,1114.0,0.06261107620041392,0.04319127328081741
exact,mode,1.0,1114.0,0.0627400486302269,0.0433911322144851
exact,global,1.0,1114.0,0.0628325048646002,0.04342560997740122
random,canon,0.5,7932.0,0.0692912710192637,0.04247119903939257
random,mode,0.5,7932.0,0.06930481281420746,0.04252101697583586
random,canon,0.75,7932.0,0.06931461547427291,0.04257619904669494
random,global,0.5,7932.0,0.06933063775176121,0.042539881181881546
random,median,0.75,7932.0,0.06933382205147742,0.04249466911734473
random,canon,0.25,7932.0,0.06933614169192558,0.04245863648004879
random,mode,0.75,7932.0,0.06933690304364909,0.042669599993308896
random,mode,0.25,7932.0,0.06934224769953765,0.04248160867969404
random,median,1.0,7932.0,0.06934455732021691,0.04255121399302243
random,median,0.5,7932.0,0.06934768079087247,0.042477676648890836
random,global,0.75,7932.0,0.06935568318898844,0.042666778640814265
random,global,0.25,7932.0,0.06936180033396377,0.04250057575258546
random,doy,0.25,7932.0,0.06937010247072145,0.042517333879542304
random,doy,0.5,7932.0,0.06937260599004419,0.04259432049774818
random,median,0.25,7932.0,0.06938611880165414,0.04249930187247298
random,canon,1.0,7932.0,0.06940610622536435,0.04278140966476669
random,global,1.0,7932.0,0.06943687582405225,0.042886464270372
random,mode,1.0,7932.0,0.0694384219970487,0.04292649375856315
random,doy,0.75,7932.0,0.0694565970176632,0.0427872856844181
random,doy,1.0,7932.0,0.06962178063703071,0.0430912533697445
