protocol,partition,kind,scale,n,rmse,mae,corr_abs
exact,exact2019,global,0.25,249,0.05703088928194966,0.039161952104225205,0.0033107074403145855
exact,exact2020,global,0.25,222,0.055197110331444144,0.03760495311959798,0.003430111104062547
exact,exact2021,global,0.25,130,0.07694716132145314,0.056567041706436484,0.0028545776993921944
exact,exact2022,global,0.25,192,0.06662225998153724,0.04766048583118867,0.002118940898041975
exact,exact2023,global,0.25,169,0.07064019994834213,0.04469552993140933,0.002958743850202085
exact,exact2024,global,0.25,152,0.05053846292940659,0.03507835784439987,0.002636001281527688
exact,exact2019,global,0.5,249,0.05709718244003185,0.03919960534668144,0.006621414880629171
exact,exact2020,global,0.5,222,0.05534842121589068,0.03804271748242396,0.006860222208125094
exact,exact2021,global,0.5,130,0.07678396974170695,0.056446892494091204,0.005709155398784389
exact,exact2022,global,0.5,192,0.06674253828587406,0.047780231629808524,0.00423788179608395
exact,exact2023,global,0.5,169,0.07056086993688254,0.04454875455499312,0.00591748770040417
exact,exact2024,global,0.5,152,0.05007100943023444,0.034864405146265036,0.005272002563055376
exact,exact2019,global,0.75,249,0.05737918533990726,0.039526552611286736,0.009932122320943758
exact,exact2020,global,0.75,222,0.055762702520406306,0.03882265265125592,0.010290333312187639
exact,exact2021,global,0.75,130,0.07673389031976076,0.05645293487227124,0.008563733098176584
exact,exact2022,global,0.75,192,0.06695840404716195,0.04791685929561746,0.006356822694125926
exact,exact2023,global,0.75,169,0.07061968965728502,0.04465986673302025,0.008876231550606255
exact,exact2024,global,0.75,152,0.049756305016158194,0.034777798220510844,0.007908003844583065
exact,exact2019,global,1.0,249,0.05787374478408532,0.04015417928527374,0.013242829761258342
exact,exact2020,global,1.0,222,0.0564341631709431,0.03983213910602235,0.013720444416250187
exact,exact2021,global,1.0,130,0.07679714433726585,0.056578372921533386,0.011418310797568778
exact,exact2022,global,1.0,192,0.06726893705234556,0.04816251389741296,0.0084757635921679
exact,exact2023,global,1.0,169,0.07081631487070296,0.04518672612187893,0.01183497540080834
exact,exact2024,global,1.0,152,0.0495972574419396,0.03484247452996492,0.010544005126110752
exact,exact2019,median,0.25,249,0.057054484919459685,0.039191933473708286,0.002313443770176634
exact,exact2020,median,0.25,222,0.05511527566012461,0.03756401527135633,0.0024182043001070943
exact,exact2021,median,0.25,130,0.07703243798134528,0.056648090499581284,0.002162077986814112
exact,exact2022,median,0.25,192,0.06660488528691562,0.04765241109971899,0.0015746422716667434
exact,exact2023,median,0.25,169,0.07068865006944182,0.04477290800530475,0.002260016310914105
exact,exact2024,median,0.25,152,0.050682740604201866,0.035218083933379274,0.0021200368353577483
exact,exact2019,median,0.5,249,0.05702824820559795,0.03913499386421285,0.004626887540353268
