cohort,method,n,rmse
all,ext40,2644,0.06986412633637401
all,expert_soft,2644,0.07116023416993192
all,expert_hard,2644,0.07204447958590206
all,expert_oracle,2644,0.0683691224526972
all,matrix_soft,2644,0.07925274979534119
all,matrix_hard,2644,0.08008943688891473
all,matrix_oracle,2644,0.07677858993540673
all,blend_ext40_expert_soft_0.10,2644,0.06972764454850165
all,blend_ext40_expert_soft_0.20,2644,0.06965047191590641
all,blend_ext40_expert_hard_0.10,2644,0.06966338501612568
all,blend_ext40_matrix_soft_0.05,2644,0.06998758811952706
all,blend_ext40_matrix_soft_0.10,2644,0.07015040809419658
history,ext40,1888,0.06453526403782144
history,expert_soft,1888,0.06563640953926654
history,expert_hard,1888,0.0665941698204969
history,expert_oracle,1888,0.06357457660516966
history,matrix_soft,1888,0.07601960906270736
history,matrix_hard,1888,0.0770174831574018
history,matrix_oracle,1888,0.0738594108102506
history,blend_ext40_expert_soft_0.10,1888,0.06433710697004108
history,blend_ext40_expert_soft_0.20,1888,0.06420737132476635
history,blend_ext40_expert_hard_0.10,1888,0.0642648429382511
history,blend_ext40_matrix_soft_0.05,1888,0.06470841980896319
history,blend_ext40_matrix_soft_0.10,1888,0.06492841332480503
2025,ext40,756,0.08166756431734544
2025,expert_soft,756,0.08337194703562648
2025,expert_hard,756,0.08412768269967244
2025,expert_oracle,756,0.07908342822161872
2025,matrix_soft,756,0.08680272882798641
2025,matrix_hard,756,0.0872903436135715
2025,matrix_oracle,756,0.08362497718414437
2025,blend_ext40_expert_soft_0.10,756,0.08165007815115512
2025,blend_ext40_expert_soft_0.20,756,0.08167475120591855
2025,blend_ext40_expert_hard_0.10,756,0.08160035173407973
2025,blend_ext40_matrix_soft_0.05,756,0.08169509508313988
2025,blend_ext40_matrix_soft_0.10,756,0.08174757437387473
new2025,ext40,379,0.09966300045874003
new2025,expert_soft,379,0.10152276824789157
new2025,expert_hard,379,0.10246533932107288
new2025,expert_oracle,379,0.09627761595530063
new2025,matrix_soft,379,0.1026756057701636
new2025,matrix_hard,379,0.10336597901045853
new2025,matrix_oracle,379,0.09944449580168019
new2025,blend_ext40_expert_soft_0.10,379,0.0996778222829391
new2025,blend_ext40_expert_soft_0.20,379,0.09973104287726987
new2025,blend_ext40_expert_hard_0.10,379,0.09964315732856208
new2025,blend_ext40_matrix_soft_0.05,379,0.09962789766398898
new2025,blend_ext40_matrix_soft_0.10,379,0.09961258432298933
shared2025,ext40,377,0.05821647075696879
shared2025,expert_soft,377,0.05980875326361802
shared2025,expert_hard,377,0.060312818609790354
shared2025,expert_oracle,377,0.05677149106569179
shared2025,matrix_soft,377,0.0671654091394971
shared2025,matrix_hard,377,0.06736781894127518
shared2025,matrix_oracle,377,0.06388820001613837
shared2025,blend_ext40_expert_soft_0.10,377,0.05814172726638659
shared2025,blend_ext40_expert_soft_0.20,377,0.058119465873160636
shared2025,blend_ext40_expert_hard_0.10,377,0.058061413809961424
shared2025,blend_ext40_matrix_soft_0.05,377,0.05835416955819631
shared2025,blend_ext40_matrix_soft_0.10,377,0.05852757078585
