route,slice,n,alpha_opt,rmse_opt,alpha_grid,rmse_grid,rmse_a040,rmse_baseline
crop_hier_n1_p67,2025,2268,0.5115335051,0.0623503825,0.5100000000,0.0623503965,0.0624244245,0.0638897598
soft_all_r2_l0_p4,2025,2268,0.5340652741,0.0623836381,0.5300000000,0.0623837264,0.0624796182,0.0638897598
soft_all_r1_l0_p4,2025,2268,0.4967340068,0.0625506673,0.5000000000,0.0625507259,0.0626019732,0.0638897598
soft_crop_r1_l0_p4,2025,2268,0.4881879951,0.0625801381,0.4900000000,0.0625801564,0.0626233061,0.0638897598
soft_all_r32_l0_p4,2025,2268,0.1268111418,0.0638265058,0.1300000000,0.0638265458,0.0641195403,0.0638897598
post_mode,2025,2268,0.0690126283,0.0638678850,0.0700000000,0.0638678894,0.0643691695,0.0638897598
crop_hier_n1_p67,all,7932,0.4326160557,0.0673714654,0.4300000000,0.0673715070,0.0673779234,0.0684982551
soft_all_r2_l0_p4,all,7932,0.4477922014,0.0673891805,0.4500000000,0.0673892076,0.0674019167,0.0684982551
soft_all_r1_l0_p4,all,7932,0.4342591121,0.0674619498,0.4300000000,0.0674620503,0.0674684488,0.0684982551
soft_crop_r1_l0_p4,all,7932,0.4322025858,0.0674683484,0.4300000000,0.0674683753,0.0674741093,0.0684982551
soft_all_r32_l0_p4,all,7932,0.2547842743,0.0681976105,0.2500000000,0.0681977167,0.0682954198,0.0684982551
post_mode,all,7932,0.2303175796,0.0682329090,0.2300000000,0.0682329095,0.0683770599,0.0684982551
crop_hier_n1_p67,far_or_none,1481,0.2597436673,0.0707223257,0.2600000000,0.0707223261,0.0708330248,0.0711012625
soft_all_r32_l0_p4,far_or_none,1481,0.2692291326,0.0707492803,0.2700000000,0.0707492832,0.0708324801,0.0711012625
soft_all_r2_l0_p4,far_or_none,1481,0.2693960167,0.0707729199,0.2700000000,0.0707729215,0.0708502283,0.0711012625
soft_all_r1_l0_p4,far_or_none,1481,0.2693960167,0.0707729199,0.2700000000,0.0707729215,0.0708502283,0.0711012625
soft_crop_r1_l0_p4,far_or_none,1481,0.2693960161,0.0707729199,0.2700000000,0.0707729215,0.0708502283,0.0711012625
post_mode,far_or_none,1481,0.2182619962,0.0708636738,0.2200000000,0.0708636889,0.0710284839,0.0711012625
crop_hier_n1_p67,history,5664,0.4049467965,0.0692620139,0.4000000000,0.0692621637,0.0692621637,0.0702589018
soft_all_r2_l0_p4,history,5664,0.4184699899,0.0692729929,0.4200000000,0.0692730062,0.0692749272,0.0702589018
soft_all_r1_l0_p4,history,5664,0.4120099120,0.0693205765,0.4100000000,0.0693205990,0.0693213792,0.0702589018
soft_crop_r1_l0_p4,history,5664,0.4120099120,0.0693205765,0.4100000000,0.0693205990,0.0693213792,0.0702589018
soft_all_r32_l0_p4,history,5664,0.2923415692,0.0698407750,0.2900000000,0.0698408019,0.0698976268,0.0702589018
post_mode,history,5664,0.2827483812,0.0698464230,0.2800000000,0.0698464621,0.0699175277,0.0702589018
soft_all_r2_l0_p4,mid_2_8,1286,0.4247670665,0.0720751174,0.4200000000,0.0720752348,0.0720782878,0.0730017251
crop_hier_n1_p67,mid_2_8,1286,0.4071736305,0.0720770946,0.4100000000,0.0720771394,0.0720773834,0.0730017251
soft_crop_r1_l0_p4,mid_2_8,1286,0.4225071903,0.0720825150,0.4200000000,0.0720825476,0.0720851401,0.0730017251
soft_all_r1_l0_p4,mid_2_8,1286,0.4213320543,0.0720871833,0.4200000000,0.0720871925,0.0720895425,0.0730017251
post_mode,mid_2_8,1286,0.3722478175,0.0722207845,0.3700000000,0.0722208131,0.0722251484,0.0730017251
soft_all_r32_l0_p4,mid_2_8,1286,0.3677695731,0.0722955160,0.3700000000,0.0722955421,0.0723009662,0.0730017251
crop_hier_n1_p67,near_0_2,5165,0.4865998846,0.0650652401,0.4900000000,0.0650653136,0.0651128475,0.0665518904
soft_all_r2_l0_p4,near_0_2,5165,0.4950782324,0.0650908922,0.5000000000,0.0650910382,0.0651453587,0.0665518904
soft_all_r1_l0_p4,near_0_2,5165,0.4763934788,0.0652131748,0.4800000000,0.0652132523,0.0652479435,0.0665518904
soft_crop_r1_l0_p4,near_0_2,5165,0.4728687186,0.0652263537,0.4700000000,0.0652264030,0.0652581428,0.0665518904
soft_all_r32_l0_p4,near_0_2,5165,0.2134850987,0.0663509893,0.2100000000,0.0663510429,0.0665043908,0.0665518904
post_mode,near_0_2,5165,0.1891797415,0.0663786233,0.1900000000,0.0663786266,0.0665937305,0.0665518904
crop_hier_n1_p67,new,6801,0.4414761360,0.0697006924,0.4400000000,0.0697007055,0.0697110151,0.0708606625
soft_all_r2_l0_p4,new,6801,0.4555469482,0.0697316555,0.4600000000,0.0697317642,0.0697485755,0.0708606625
soft_all_r1_l0_p4,new,6801,0.4464165866,0.0697842738,0.4500000000,0.0697843437,0.0697959994,0.0708606625
soft_crop_r1_l0_p4,new,6801,0.4447601117,0.0697881024,0.4400000000,0.0697882262,0.0697990481,0.0708606625
soft_all_r32_l0_p4,new,6801,0.2649321391,0.0705331124,0.2600000000,0.0705332262,0.0706183944,0.0708606625
post_mode,new,6801,0.2469600802,0.0705545518,0.2500000000,0.0705545983,0.0706722618,0.0708606625
crop_hier_n1_p67,new_2025,1137,0.6396925864,0.0715934939,0.6400000000,0.0715934944,0.0719052505,0.0737852704
soft_all_r2_l0_p4,new_2025,1137,0.6747788261,0.0717141448,0.6700000000,0.0717142502,0.0720617013,0.0737852704
soft_all_r1_l0_p4,new_2025,1137,0.6352243077,0.0718446119,0.6400000000,0.0718447231,0.0721138104,0.0737852704
soft_crop_r1_l0_p4,new_2025,1137,0.6200356116,0.0718900378,0.6200000000,0.0718900378,0.0721314581,0.0737852704
soft_all_r32_l0_p4,new_2025,1137,0.0891303908,0.0737566062,0.0900000000,0.0737566089,0.0741045475,0.0737852704
post_mode,new_2025,1137,0.0470280634,0.0737756094,0.0500000000,0.0737756480,0.0743178873,0.0737852704
post_mode,new_2025_far,14,0.6872983555,0.1018712038,0.6900000000,0.1018712300,0.1021673219,0.1035544465
crop_hier_n1_p67,new_2025_far,14,0.6872983555,0.1018712038,0.6900000000,0.1018712300,0.1021673219,0.1035544465
soft_all_r1_l0_p4,new_2025_far,14,0.6964360647,0.1019067578,0.7000000000,0.1019068013,0.1022072490,0.1035544465
soft_all_r2_l0_p4,new_2025_far,14,0.6964360647,0.1019067578,0.7000000000,0.1019068013,0.1022072490,0.1035544465
soft_crop_r1_l0_p4,new_2025_far,14,0.6964361848,0.1019067579,0.7000000000,0.1019068014,0.1022072493,0.1035544465
soft_all_r32_l0_p4,new_2025_far,14,0.6768543401,0.1021834773,0.6800000000,0.1021835071,0.1024141274,0.1035544465
crop_hier_n1_p67,new_2025_near,1060,0.6461207435,0.0704955100,0.6500000000,0.0704955935,0.0708308121,0.0727749781
soft_all_r2_l0_p4,new_2025_near,1060,0.6900817625,0.0705395436,0.6900000000,0.0705395436,0.0709396719,0.0727749781
soft_all_r1_l0_p4,new_2025_near,1060,0.6529038928,0.0706618613,0.6500000000,0.0706619037,0.0709829286,0.0727749781
soft_crop_r1_l0_p4,new_2025_near,1060,0.6365230026,0.0707134930,0.6400000000,0.0707135554,0.0710016966,0.0727749781
soft_all_r32_l0_p4,new_2025_near,1060,0.0721240691,0.0727560531,0.0700000000,0.0727560695,0.0731461630,0.0727749781
post_mode,new_2025_near,1060,0.0293704820,0.0727711615,0.0300000000,0.0727711632,0.0733764236,0.0727749781
soft_all_r2_l0_p4,seed_0,2644,0.4314089524,0.0704010497,0.4300000000,0.0704010601,0.0704062001,0.0713661302
crop_hier_n1_p67,seed_0,2644,0.3988800928,0.0704468506,0.4000000000,0.0704468579,0.0704468579,0.0713661302
soft_crop_r1_l0_p4,seed_0,2644,0.4042201088,0.0705244810,0.4000000000,0.0705245733,0.0705245733,0.0713661302
soft_all_r1_l0_p4,seed_0,2644,0.4028501117,0.0705321696,0.4000000000,0.0705322115,0.0705322115,0.0713661302
post_mode,seed_0,2644,0.2345170251,0.0711151344,0.2300000000,0.0711152277,0.0712402203,0.0713661302
soft_all_r32_l0_p4,seed_0,2644,0.2418833266,0.0711184154,0.2400000000,0.0711184304,0.0712243719,0.0713661302
crop_hier_n1_p67,seed_1,2644,0.4700393308,0.0630755548,0.4700000000,0.0630755548,0.0631068041,0.0644679552
soft_all_r2_l0_p4,seed_1,2644,0.4746784246,0.0631759445,0.4700000000,0.0631760713,0.0632082417,0.0644679552
soft_crop_r1_l0_p4,seed_1,2644,0.4580810888,0.0632620899,0.4600000000,0.0632621113,0.0632816575,0.0644679552
soft_all_r1_l0_p4,seed_1,2644,0.4523338816,0.0632909339,0.4500000000,0.0632909656,0.0633068339,0.0644679552
soft_all_r32_l0_p4,seed_1,2644,0.2337446537,0.0641888853,0.2300000000,0.0641889571,0.0643302191,0.0644679552
post_mode,seed_1,2644,0.2108067024,0.0642304506,0.2100000000,0.0642304541,0.0644218191,0.0644679552
soft_all_r1_l0_p4,seed_70404,2644,0.4466339880,0.0683501007,0.4500000000,0.0683501652,0.0683624653,0.0694751110
crop_hier_n1_p67,seed_70404,2644,0.4296804355,0.0683622210,0.4300000000,0.0683622216,0.0683675741,0.0694751110
soft_all_r2_l0_p4,seed_70404,2644,0.4381000510,0.0683783354,0.4400000000,0.0683783562,0.0683866966,0.0694751110
soft_crop_r1_l0_p4,seed_70404,2644,0.4340605013,0.0684037505,0.4300000000,0.0684038450,0.0684103987,0.0694751110
soft_all_r32_l0_p4,seed_70404,2644,0.2886088350,0.0690910849,0.2900000000,0.0690910939,0.0691484263,0.0694751110
post_mode,seed_70404,2644,0.2452930272,0.0691653315,0.2500000000,0.0691654458,0.0692887233,0.0694751110
soft_all_r2_l0_p4,shared,1131,0.3946970347,0.0510652378,0.3900000000,0.0510653829,0.0510654227,0.0520798358
crop_hier_n1_p67,shared,1131,0.3695273984,0.0511452854,0.3700000000,0.0511452869,0.0511516982,0.0520798358
soft_all_r1_l0_p4,shared,1131,0.3516079782,0.0512761261,0.3500000000,0.0512761430,0.0512914671,0.0520798358
soft_crop_r1_l0_p4,shared,1131,0.3464630456,0.0512999749,0.3500000000,0.0513000568,0.0513187343,0.0520798358
soft_all_r32_l0_p4,shared,1131,0.1695164899,0.0519493969,0.1700000000,0.0519493979,0.0521902777,0.0520798358
post_mode,shared,1131,0.0959594376,0.0520330777,0.1000000000,0.0520331606,0.0525005897,0.0520798358
soft_all_r2_l0_p4,shared_2025,1131,0.3946970347,0.0510652378,0.3900000000,0.0510653829,0.0510654227,0.0520798358
crop_hier_n1_p67,shared_2025,1131,0.3695273984,0.0511452854,0.3700000000,0.0511452869,0.0511516982,0.0520798358
soft_all_r1_l0_p4,shared_2025,1131,0.3516079782,0.0512761261,0.3500000000,0.0512761430,0.0512914671,0.0520798358
soft_crop_r1_l0_p4,shared_2025,1131,0.3464630456,0.0512999749,0.3500000000,0.0513000568,0.0513187343,0.0520798358
soft_all_r32_l0_p4,shared_2025,1131,0.1695164899,0.0519493969,0.1700000000,0.0519493979,0.0521902777,0.0520798358
post_mode,shared_2025,1131,0.0959594376,0.0520330777,0.1000000000,0.0520331606,0.0525005897,0.0520798358
soft_all_r2_l0_p4,shared_2025_near,1078,0.4054966830,0.0513880735,0.4100000000,0.0513882095,0.0513882761,0.0524792366
crop_hier_n1_p67,shared_2025_near,1078,0.3678035390,0.0515405517,0.3700000000,0.0515405855,0.0515478096,0.0524792366
soft_all_r1_l0_p4,shared_2025_near,1078,0.3614811351,0.0516135476,0.3600000000,0.0516135622,0.0516234587,0.0524792366
soft_crop_r1_l0_p4,shared_2025_near,1078,0.3546357620,0.0516460964,0.3500000000,0.0516462399,0.0516598371,0.0524792366
soft_all_r32_l0_p4,shared_2025_near,1078,0.1723483154,0.0523429608,0.1700000000,0.0523429861,0.0525804955,0.0524792366
post_mode,shared_2025_near,1078,0.1034021515,0.0524244483,0.1000000000,0.0524245077,0.0528735401,0.0524792366
crop_hier_n1_p67,source_landsat,3040,0.4793986503,0.0691686606,0.4800000000,0.0691686626,0.0692037405,0.0704362395
soft_all_r2_l0_p4,source_landsat,3040,0.4632111454,0.0693758694,0.4600000000,0.0693759208,0.0693957638,0.0704362395
soft_crop_r1_l0_p4,source_landsat,3040,0.4119367519,0.0696183396,0.4100000000,0.0696183578,0.0696190304,0.0704362395
soft_all_r1_l0_p4,source_landsat,3040,0.4085922107,0.0696334623,0.4100000000,0.0696334719,0.0696338193,0.0704362395
soft_all_r32_l0_p4,source_landsat,3040,0.1595537339,0.0703365306,0.1600000000,0.0703365314,0.0705627688,0.0704362395
post_mode,source_landsat,3040,0.0241827291,0.0704338025,0.0200000000,0.0704338754,0.0710199445,0.0704362395
soft_all_r1_l0_p4,source_modis,1385,0.4472235369,0.0644906921,0.4500000000,0.0644907588,0.0645099875,0.0661988842
soft_crop_r1_l0_p4,source_modis,1385,0.4403293167,0.0645381769,0.4400000000,0.0645381778,0.0645522855,0.0661988842
crop_hier_n1_p67,source_modis,1385,0.4146948100,0.0646292782,0.4100000000,0.0646294818,0.0646312729,0.0661988842
post_mode,source_modis,1385,0.4188527515,0.0647265896,0.4200000000,0.0647266007,0.0647296062,0.0661988842
soft_all_r2_l0_p4,source_modis,1385,0.4150314764,0.0647678369,0.4200000000,0.0647680442,0.0647697347,0.0661988842
soft_all_r32_l0_p4,source_modis,1385,0.4323402946,0.0648125921,0.4300000000,0.0648126331,0.0648204315,0.0661988842
soft_all_r2_l0_p4,source_s2,3507,0.4550055575,0.0666479425,0.4600000000,0.0666480681,0.0666631783,0.0676825520
soft_all_r1_l0_p4,source_s2,3507,0.4481957434,0.0666880913,0.4500000000,0.0666881075,0.0666996753,0.0676825520
soft_crop_r1_l0_p4,source_s2,3507,0.4445727695,0.0666998962,0.4400000000,0.0667000009,0.0667098459,0.0676825520
crop_hier_n1_p67,source_s2,3507,0.4005908816,0.0668342068,0.4000000000,0.0668342086,0.0668342086,0.0676825520
post_mode,source_s2,3507,0.2685285652,0.0673599567,0.2700000000,0.0673599664,0.0674374259,0.0676825520
soft_all_r32_l0_p4,source_s2,3507,0.2151171920,0.0674873378,0.2200000000,0.0674874385,0.0676315886,0.0676825520
soft_all_r1_l0_p4,year_2010,222,0.5004454858,0.0554050909,0.5000000000,0.0554050925,0.0554833379,0.0573158324
soft_crop_r1_l0_p4,year_2010,222,0.5004454858,0.0554050909,0.5000000000,0.0554050925,0.0554833379,0.0573158324
soft_all_r2_l0_p4,year_2010,222,0.4917333314,0.0554871549,0.4900000000,0.0554871780,0.0555518062,0.0573158324
crop_hier_n1_p67,year_2010,222,0.3958408456,0.0557787096,0.4000000000,0.0557788817,0.0557788817,0.0573158324
soft_all_r32_l0_p4,year_2010,222,0.3017150822,0.0566851817,0.3000000000,0.0566852022,0.0567524360,0.0573158324
post_mode,year_2010,222,0.2512066021,0.0568691113,0.2500000000,0.0568691216,0.0570262360,0.0573158324
post_mode,year_2011,246,0.3210916027,0.0752901960,0.3200000000,0.0752902026,0.0753244800,0.0758558788
crop_hier_n1_p67,year_2011,246,0.3210916027,0.0752901960,0.3200000000,0.0752902026,0.0753244800,0.0758558788
soft_all_r2_l0_p4,year_2011,246,0.3210907831,0.0752901988,0.3200000000,0.0752902053,0.0753244835,0.0758558788
soft_all_r1_l0_p4,year_2011,246,0.3210907559,0.0752901989,0.3200000000,0.0752902055,0.0753244836,0.0758558788
soft_crop_r1_l0_p4,year_2011,246,0.3210907559,0.0752901989,0.3200000000,0.0752902055,0.0753244836,0.0758558788
soft_all_r32_l0_p4,year_2011,246,0.3210906332,0.0752901993,0.3200000000,0.0752902058,0.0753244841,0.0758558788
crop_hier_n1_p67,year_2012,174,0.6932253455,0.0780676619,0.6900000000,0.0780677216,0.0785590001,0.0807755050
soft_all_r2_l0_p4,year_2012,174,0.6807412991,0.0782176757,0.6800000000,0.0782176788,0.0786585769,0.0807755050
soft_all_r1_l0_p4,year_2012,174,0.5632559720,0.0791812561,0.5600000000,0.0791813099,0.0793164205,0.0807755050
soft_crop_r1_l0_p4,year_2012,174,0.5632559720,0.0791812561,0.5600000000,0.0791813099,0.0793164205,0.0807755050
post_mode,year_2012,174,0.4301593951,0.0798386582,0.4300000000,0.0798386583,0.0798432903,0.0807755050
soft_all_r32_l0_p4,year_2012,174,0.2569550299,0.0804724221,0.2600000000,0.0804724647,0.0805664714,0.0807755050
crop_hier_n1_p67,year_2013,234,0.3485212286,0.0698267250,0.3500000000,0.0698267394,0.0698442483,0.0706254469
soft_all_r1_l0_p4,year_2013,234,0.3048906639,0.0701269833,0.3000000000,0.0701271120,0.0701756444,0.0706254469
soft_crop_r1_l0_p4,year_2013,234,0.3048906639,0.0701269833,0.3000000000,0.0701271120,0.0701756444,0.0706254469
soft_all_r32_l0_p4,year_2013,234,0.2764401966,0.0701936825,0.2800000000,0.0701937543,0.0702801524,0.0706254469
soft_all_r2_l0_p4,year_2013,234,0.2774029701,0.0702167047,0.2800000000,0.0702167406,0.0702967253,0.0706254469
post_mode,year_2013,234,0.1356075200,0.0705263865,0.1400000000,0.0705264905,0.0709022065,0.0706254469
soft_all_r1_l0_p4,year_2014,285,0.7354038270,0.0512201331,0.7400000000,0.0512202335,0.0517521139,0.0537294252
soft_crop_r1_l0_p4,year_2014,285,0.7354038270,0.0512201331,0.7400000000,0.0512202335,0.0517521139,0.0537294252
soft_all_r32_l0_p4,year_2014,285,0.7354037098,0.0512201334,0.7400000000,0.0512202339,0.0517521139,0.0537294252
soft_all_r2_l0_p4,year_2014,285,0.7354037055,0.0512201335,0.7400000000,0.0512202339,0.0517521139,0.0537294252
post_mode,year_2014,285,0.7353190114,0.0512204672,0.7400000000,0.0512205713,0.0517522301,0.0537294252
crop_hier_n1_p67,year_2014,285,0.7353190114,0.0512204672,0.7400000000,0.0512205713,0.0517522301,0.0537294252
soft_all_r2_l0_p4,year_2015,276,0.7271520935,0.1076696880,0.7300000000,0.1076697186,0.1080719424,0.1096425724
crop_hier_n1_p67,year_2015,276,0.7019589062,0.1077645158,0.7000000000,0.1077645306,0.1081144966,0.1096425724
soft_all_r1_l0_p4,year_2015,276,0.7506266032,0.1079583778,0.7500000000,0.1079583790,0.1083280915,0.1096425724
soft_crop_r1_l0_p4,year_2015,276,0.7506266032,0.1079583778,0.7500000000,0.1079583790,0.1083280915,0.1096425724
post_mode,year_2015,276,0.7365770477,0.1080955447,0.7400000000,0.1080955784,0.1084203891,0.1096425724
soft_all_r32_l0_p4,year_2015,276,0.7458948770,0.1081584807,0.7500000000,0.1081585260,0.1084793435,0.1096425724
crop_hier_n1_p67,year_2016,264,0.6628626515,0.0878321546,0.6600000000,0.0878321842,0.0880813646,0.0894050474
soft_all_r1_l0_p4,year_2016,264,0.6569591246,0.0879367048,0.6600000000,0.0879367365,0.0881629249,0.0894050474
soft_crop_r1_l0_p4,year_2016,264,0.6569591246,0.0879367048,0.6600000000,0.0879367365,0.0881629249,0.0894050474
soft_all_r2_l0_p4,year_2016,264,0.6364440784,0.0880460442,0.6400000000,0.0880460869,0.0882348565,0.0894050474
soft_all_r32_l0_p4,year_2016,264,0.6400944612,0.0880814381,0.6400000000,0.0880814382,0.0882688621,0.0894050474
post_mode,year_2016,264,0.5673077583,0.0884075391,0.5700000000,0.0884075617,0.0884947438,0.0894050474
soft_all_r2_l0_p4,year_2017,420,0.4178088236,0.0532607777,0.4200000000,0.0532608040,0.0532625101,0.0542059289
crop_hier_n1_p67,year_2017,420,0.3954538319,0.0532830936,0.4000000000,0.0532832166,0.0532832166,0.0542059289
soft_all_r1_l0_p4,year_2017,420,0.4118748738,0.0532873207,0.4100000000,0.0532873399,0.0532880909,0.0542059289
soft_crop_r1_l0_p4,year_2017,420,0.4118748738,0.0532873207,0.4100000000,0.0532873399,0.0532880909,0.0542059289
post_mode,year_2017,420,0.4110517712,0.0533000926,0.4100000000,0.0533000986,0.0533007530,0.0542059289
soft_all_r32_l0_p4,year_2017,420,0.3275613895,0.0536112272,0.3300000000,0.0536112604,0.0536404646,0.0542059289
crop_hier_n1_p67,year_2018,366,0.7329484508,0.0539401889,0.7300000000,0.0539402456,0.0546585336,0.0573375539
soft_all_r2_l0_p4,year_2018,366,0.7062339119,0.0544568905,0.7100000000,0.0544569746,0.0550100358,0.0573375539
soft_all_r1_l0_p4,year_2018,366,0.6017113060,0.0553152002,0.6000000000,0.0553152169,0.0555461422,0.0573375539
soft_crop_r1_l0_p4,year_2018,366,0.6017113060,0.0553152002,0.6000000000,0.0553152169,0.0555461422,0.0573375539
