route,held_seed,train_n,test_n,alpha_train,alpha_round,rmse_test,rmse_test_round,rmse_test_a040,rmse_test_base
crop_hier_n1_p67,0,5288,2644,0.4495259748,0.4500000000,0.0704617658,0.0704620463,0.0704468579,0.0713661302
crop_hier_n1_p67,1,5288,2644,0.4143875124,0.4000000000,0.0630952860,0.0631068041,0.0631068041,0.0644679552
crop_hier_n1_p67,70404,5288,2644,0.4341187179,0.4500000000,0.0683623407,0.0683647300,0.0683675741,0.0694751110
post_mode,0,5288,2644,0.2283693576,0.2500000000,0.0711153072,0.0711162304,0.0712402203,0.0713661302
post_mode,1,5288,2644,0.2401560525,0.2500000000,0.0642350625,0.0642386749,0.0644218191,0.0644679552
post_mode,70404,5288,2644,0.2223289060,0.2000000000,0.0691680526,0.0691759163,0.0692887233,0.0694751110
soft_all_r1_l0_p4,0,5288,2644,0.4494041444,0.4500000000,0.0705433716,0.0705436602,0.0705322115,0.0713661302
soft_all_r1_l0_p4,1,5288,2644,0.4254411188,0.4500000000,0.0632951329,0.0632909656,0.0633068339,0.0644679552
soft_all_r1_l0_p4,70404,5288,2644,0.4276894566,0.4500000000,0.0683521414,0.0683501652,0.0683624653,0.0694751110
soft_all_r2_l0_p4,0,5288,2644,0.4557173930,0.4500000000,0.0704041347,0.0704028542,0.0704062001,0.0713661302
soft_all_r2_l0_p4,1,5288,2644,0.4348701140,0.4500000000,0.0631851237,0.0631794724,0.0632082417,0.0644679552
soft_all_r2_l0_p4,70404,5288,2644,0.4529965193,0.4500000000,0.0683796137,0.0683791511,0.0683866966,0.0694751110
soft_all_r32_l0_p4,0,5288,2644,0.2607894478,0.2500000000,0.0711199314,0.0711186948,0.0712243719,0.0713661302
soft_all_r32_l0_p4,1,5288,2644,0.2659153952,0.2500000000,0.0641941829,0.0641902379,0.0643302191,0.0644679552
soft_all_r32_l0_p4,70404,5288,2644,0.2376400266,0.2500000000,0.0691030942,0.0690979762,0.0691484263,0.0694751110
soft_crop_r1_l0_p4,0,5288,2644,0.4456751216,0.4500000000,0.0705333854,0.0705353401,0.0705245733,0.0713661302
soft_crop_r1_l0_p4,1,5288,2644,0.4196637262,0.4000000000,0.0632706516,0.0632816575,0.0632816575,0.0644679552
soft_crop_r1_l0_p4,70404,5288,2644,0.4312082119,0.4500000000,0.0684037972,0.0684052066,0.0684103987,0.0694751110
