seed,route,n,coverage,covered_n,source_accuracy_covered,source_accuracy_all
0,fixed_r1,2644,0.5586232980,1477,0.9729180772,0.9334341906
0,fixed_r2,2644,0.6584720121,1741,0.9689833429,0.9444024206
0,fixed_r3,2644,0.7413010590,1960,0.9647959184,0.9413767020
0,fixed_r4,2644,0.7708018154,2038,0.9627085378,0.9398638427
0,fixed_r5,2644,0.7719364599,2041,0.9627633513,0.9398638427
0,fixed_r6,2644,0.7719364599,2041,0.9608035277,0.9383509834
0,fixed_r8,2644,0.8173222390,2161,0.9592781120,0.9398638427
0,fixed_r16,2644,0.8937216339,2363,0.9327126534,0.9183055976
0,fixed_r32,2644,0.9341906203,2470,0.9412955466,0.9319213313
1,fixed_r1,2644,0.5465204236,1445,0.9799307958,0.9409984871
1,fixed_r2,2644,0.6452344932,1706,0.9706916764,0.9462934947
1,fixed_r3,2644,0.7367624811,1948,0.9635523614,0.9440242057
1,fixed_r4,2644,0.7689107413,2033,0.9631087063,0.9432677761
1,fixed_r5,2644,0.7704236006,2037,0.9651448208,0.9447806354
1,fixed_r6,2644,0.7708018154,2038,0.9617271835,0.9425113464
1,fixed_r8,2644,0.8120272315,2147,0.9580810433,0.9428895613
1,fixed_r16,2644,0.8925869894,2360,0.9296610169,0.9217095310
1,fixed_r32,2644,0.9383509834,2481,0.9371221282,0.9315431165
2,fixed_r1,2644,0.5658093797,1496,0.9792780749,0.9409984871
2,fixed_r2,2644,0.6524205749,1725,0.9692753623,0.9462934947
2,fixed_r3,2644,0.7363842663,1947,0.9650744735,0.9444024206
2,fixed_r4,2644,0.7689107413,2033,0.9636005903,0.9428895613
2,fixed_r5,2644,0.7704236006,2037,0.9602356406,0.9402420575
2,fixed_r6,2644,0.7704236006,2037,0.9592538046,0.9394856278
2,fixed_r8,2644,0.8131618759,2150,0.9548837209,0.9379727685
2,fixed_r16,2644,0.8880484115,2348,0.9339863714,0.9239788200
2,fixed_r32,2644,0.9315431165,2463,0.9431587495,0.9364599092
70404,fixed_r1,2644,0.5533282905,1463,0.9706083390,0.9368381241
70404,fixed_r2,2644,0.6497730711,1718,0.9639115250,0.9402420575
70404,fixed_r3,2644,0.7382753404,1952,0.9538934426,0.9338124054
70404,fixed_r4,2644,0.7692889561,2034,0.9513274336,0.9315431165
70404,fixed_r5,2644,0.7700453858,2036,0.9503929273,0.9307866868
70404,fixed_r6,2644,0.7704236006,2037,0.9489445263,0.9296520424
70404,fixed_r8,2644,0.8105143722,2143,0.9519365376,0.9345688351
70404,fixed_r16,2644,0.8899394856,2353,0.9311517212,0.9232223903
70404,fixed_r32,2644,0.9398638427,2485,0.9380281690,0.9345688351
