route,held_seed,selected,train_rmse,test_rmse,test_base
post_mode,0,a0.25,0.0666736449,0.0711162304,0.0713661302
post_mode,1,a0.25,0.0689614280,0.0642386749,0.0644679552
post_mode,2,a0.25,0.0682348505,0.0665256231,0.0668046092
post_mode,70404,a0.25,0.0673542478,0.0691654458,0.0694751110
fixed_r1,0,cohort_year_dist,0.0656912944,0.0705452506,0.0713661302
fixed_r1,1,cohort_year_dist,0.0681144417,0.0632766886,0.0644679552
fixed_r1,2,cohort_year_dist,0.0674828256,0.0652753826,0.0668046092
fixed_r1,70404,cohort_year_dist,0.0664365544,0.0684194678,0.0694751110
fixed_r2,0,cohort_year_dist,0.0657152318,0.0703898455,0.0713661302
fixed_r2,1,cohort_year_dist,0.0680887738,0.0632610628,0.0644679552
fixed_r2,2,cohort_year_dist,0.0674013540,0.0654322387,0.0668046092
fixed_r2,70404,cohort_year_dist,0.0664280821,0.0683530185,0.0694751110
fixed_r3,0,cohort_year_dist,0.0659937032,0.0705053743,0.0713661302
fixed_r3,1,a0.40,0.0683855878,0.0633638870,0.0644679552
fixed_r3,2,cohort_year_dist,0.0675917617,0.0658071092,0.0668046092
fixed_r3,70404,cohort_year_dist,0.0666022338,0.0687673015,0.0694751110
fixed_r4,0,a0.40,0.0660824677,0.0705489039,0.0713661302
fixed_r4,1,a0.35,0.0684533545,0.0634133593,0.0644679552
fixed_r4,2,cohort_year_dist,0.0676194438,0.0660363880,0.0668046092
fixed_r4,70404,cohort_year_dist,0.0666892931,0.0688155988,0.0694751110
fixed_r5,0,cohort_year_dist,0.0660347541,0.0704874372,0.0713661302
fixed_r5,1,cohort_year_dist,0.0684376948,0.0632383655,0.0644679552
fixed_r5,2,cohort_year_dist,0.0675036788,0.0661816072,0.0668046092
fixed_r5,70404,cohort_year_dist,0.0667022609,0.0685760181,0.0694751110
fixed_r6,0,cohort_year_dist,0.0660528739,0.0706160076,0.0713661302
fixed_r6,1,a0.35,0.0684694252,0.0633653565,0.0644679552
fixed_r6,2,cohort_year_dist,0.0675652694,0.0661843644,0.0668046092
fixed_r6,70404,a0.40,0.0667499990,0.0686425598,0.0694751110
fixed_r8,0,a0.40,0.0659782878,0.0706787434,0.0713661302
fixed_r8,1,a0.35,0.0684302508,0.0633314882,0.0644679552
fixed_r8,2,cohort_year_dist,0.0675730065,0.0660401698,0.0668046092
fixed_r8,70404,a0.40,0.0667098882,0.0685876124,0.0694751110
fixed_r16,0,a0.35,0.0662705138,0.0709140149,0.0713661302
fixed_r16,1,a0.35,0.0685748403,0.0640047995,0.0644679552
fixed_r16,2,a0.30,0.0679586337,0.0659477083,0.0668046092
fixed_r16,70404,a0.30,0.0670033288,0.0688178007,0.0694751110
fixed_r32,0,cohort_year_dist,0.0659618236,0.0708051856,0.0713661302
fixed_r32,1,a0.40,0.0682826119,0.0637889974,0.0644679552
fixed_r32,2,a0.35,0.0677243313,0.0655763135,0.0668046092
fixed_r32,70404,a0.40,0.0667297982,0.0685418380,0.0694751110
vote_r2_r4,0,cohort_year_dist,0.0658169050,0.0704989669,0.0713661302
vote_r2_r4,1,cohort_year_dist,0.0682285084,0.0632480138,0.0644679552
vote_r2_r4,2,cohort_year_dist,0.0674823824,0.0656055142,0.0668046092
vote_r2_r4,70404,cohort_year_dist,0.0665194184,0.0684923370,0.0694751110
