seed,route,policy,alpha,n,rmse,rmse_base
0,post_mode,fixed,0.2000000000,2644,0.0711205811,0.0713661302
0,post_mode,fixed,0.3000000000,2644,0.0711347355,0.0713661302
0,post_mode,fixed,0.4000000000,2644,0.0712402203,0.0713661302
0,post_mode,fixed,0.5000000000,2644,0.0714366308,0.0713661302
0,post_mode,fixed,0.6000000000,2644,0.0717232202,0.0713661302
0,post_mode,cohort_year_dist,,2644,0.0713679940,0.0713661302
0,fixed_r1,fixed,0.2000000000,2644,0.0707648499,0.0713661302
0,fixed_r1,fixed,0.3000000000,2644,0.0706232846,0.0713661302
0,fixed_r1,fixed,0.4000000000,2644,0.0705887792,0.0713661302
0,fixed_r1,fixed,0.5000000000,2644,0.0706614906,0.0713661302
0,fixed_r1,fixed,0.6000000000,2644,0.0708410887,0.0713661302
0,fixed_r1,cohort_year_dist,,2644,0.0705452506,0.0713661302
0,fixed_r2,fixed,0.2000000000,2644,0.0706853833,0.0713661302
0,fixed_r2,fixed,0.3000000000,2644,0.0705074839,0.0713661302
0,fixed_r2,fixed,0.4000000000,2644,0.0704391614,0.0713661302
0,fixed_r2,fixed,0.5000000000,2644,0.0704807343,0.0713661302
0,fixed_r2,fixed,0.6000000000,2644,0.0706320088,0.0713661302
0,fixed_r2,cohort_year_dist,,2644,0.0703898455,0.0713661302
0,fixed_r3,fixed,0.2000000000,2644,0.0707336680,0.0713661302
0,fixed_r3,fixed,0.3000000000,2644,0.0705813256,0.0713661302
0,fixed_r3,fixed,0.4000000000,2644,0.0705393556,0.0713661302
0,fixed_r3,fixed,0.5000000000,2644,0.0706079547,0.0713661302
0,fixed_r3,fixed,0.6000000000,2644,0.0707868014,0.0713661302
0,fixed_r3,cohort_year_dist,,2644,0.0705053743,0.0713661302
0,fixed_r4,fixed,0.2000000000,2644,0.0707376164,0.0713661302
0,fixed_r4,fixed,0.3000000000,2644,0.0705878719,0.0713661302
0,fixed_r4,fixed,0.4000000000,2644,0.0705489039,0.0713661302
0,fixed_r4,fixed,0.5000000000,2644,0.0706208960,0.0713661302
0,fixed_r4,fixed,0.6000000000,2644,0.0708035095,0.0713661302
0,fixed_r4,cohort_year_dist,,2644,0.0705117437,0.0713661302
0,fixed_r5,fixed,0.2000000000,2644,0.0707299107,0.0713661302
0,fixed_r5,fixed,0.3000000000,2644,0.0705762777,0.0713661302
0,fixed_r5,fixed,0.4000000000,2644,0.0705334217,0.0713661302
0,fixed_r5,fixed,0.5000000000,2644,0.0706015444,0.0713661302
0,fixed_r5,fixed,0.6000000000,2644,0.0707803254,0.0713661302
0,fixed_r5,cohort_year_dist,,2644,0.0704874372,0.0713661302
0,fixed_r6,fixed,0.2000000000,2644,0.0707708275,0.0713661302
0,fixed_r6,fixed,0.3000000000,2644,0.0706389314,0.0713661302
0,fixed_r6,fixed,0.4000000000,2644,0.0706185371,0.0713661302
0,fixed_r6,fixed,0.5000000000,2644,0.0707097412,0.0713661302
0,fixed_r6,fixed,0.6000000000,2644,0.0709121131,0.0713661302
0,fixed_r6,cohort_year_dist,,2644,0.0706160076,0.0713661302
0,fixed_r8,fixed,0.2000000000,2644,0.0708007639,0.0713661302
0,fixed_r8,fixed,0.3000000000,2644,0.0706839964,0.0713661302
0,fixed_r8,fixed,0.4000000000,2644,0.0706787434,0.0713661302
0,fixed_r8,fixed,0.5000000000,2644,0.0707850297,0.0713661302
0,fixed_r8,fixed,0.6000000000,2644,0.0710023545,0.0713661302
0,fixed_r8,cohort_year_dist,,2644,0.0706904344,0.0713661302
0,fixed_r16,fixed,0.2000000000,2644,0.0709446515,0.0713661302
0,fixed_r16,fixed,0.3000000000,2644,0.0708969376,0.0713661302
0,fixed_r16,fixed,0.4000000000,2644,0.0709583661,0.0713661302
0,fixed_r16,fixed,0.5000000000,2644,0.0711286542,0.0713661302
0,fixed_r16,fixed,0.6000000000,2644,0.0714070231,0.0713661302
0,fixed_r16,cohort_year_dist,,2644,0.0710513255,0.0713661302
0,fixed_r32,fixed,0.2000000000,2644,0.0707971399,0.0713661302
0,fixed_r32,fixed,0.3000000000,2644,0.0706831061,0.0713661302
0,fixed_r32,fixed,0.4000000000,2644,0.0706836293,0.0713661302
0,fixed_r32,fixed,0.5000000000,2644,0.0707987068,0.0713661302
0,fixed_r32,fixed,0.6000000000,2644,0.0710277820,0.0713661302
0,fixed_r32,cohort_year_dist,,2644,0.0708051856,0.0713661302
0,vote_r2_r4,fixed,0.2000000000,2644,0.0707377851,0.0713661302
0,vote_r2_r4,fixed,0.3000000000,2644,0.0705857506,0.0713661302
0,vote_r2_r4,fixed,0.4000000000,2644,0.0705429057,0.0713661302
0,vote_r2_r4,fixed,0.5000000000,2644,0.0706094492,0.0713661302
0,vote_r2_r4,fixed,0.6000000000,2644,0.0707850724,0.0713661302
0,vote_r2_r4,cohort_year_dist,,2644,0.0704989669,0.0713661302
1,post_mode,fixed,0.2000000000,2644,0.0642310759,0.0644679552
1,post_mode,fixed,0.3000000000,2644,0.0642730326,0.0644679552
1,post_mode,fixed,0.4000000000,2644,0.0644218191,0.0644679552
1,post_mode,fixed,0.5000000000,2644,0.0646766982,0.0644679552
1,post_mode,fixed,0.6000000000,2644,0.0650364226,0.0644679552
1,post_mode,cohort_year_dist,,2644,0.0645603854,0.0644679552
1,fixed_r1,fixed,0.2000000000,2644,0.0636693805,0.0644679552
