route,policy,n,rmse,per_seed
fixed_r2,cohort_year_dist,10576,0.0669145078,0:0.070390;1:0.063261;2:0.065432;70404:0.068353
fixed_r1,cohort_year_dist,10576,0.0669377898,0:0.070545;1:0.063277;2:0.065275;70404:0.068419
fixed_r2,a040,10576,0.0669985766,0:0.070439;1:0.063343;2:0.065545;70404:0.068448
fixed_r1,a040,10576,0.0670175603,0:0.070589;1:0.063350;2:0.065414;70404:0.068487
vote_r2_r4,cohort_year_dist,10576,0.0670180933,0:0.070499;1:0.063248;2:0.065606;70404:0.068492
fixed_r2,a050,10576,0.0670270015,0:0.070481;1:0.063369;2:0.065541;70404:0.068496
fixed_r1,a050,10576,0.0670462298,0:0.070661;1:0.063374;2:0.065377;70404:0.068538
vote_r2_r4,a040,10576,0.0670774401,0:0.070543;1:0.063309;2:0.065663;70404:0.068567
fixed_r2,a030,10576,0.0670903477,0:0.070507;1:0.063440;2:0.065674;70404:0.068523
fixed_r1,a030,10576,0.0671072585,0:0.070623;1:0.063449;2:0.065576;70404:0.068556
vote_r2_r4,a050,10576,0.0671253194,0:0.070609;1:0.063331;2:0.065687;70404:0.068643
vote_r2_r4,a030,10576,0.0671495463,0:0.070586;1:0.063413;2:0.065764;70404:0.068613
fixed_r3,cohort_year_dist,10576,0.0671500454,0:0.070505;1:0.063293;2:0.065807;70404:0.068767
fixed_r3,a040,10576,0.0671653706,0:0.070539;1:0.063364;2:0.065794;70404:0.068739
fixed_r2,a060,10576,0.0671754698,0:0.070632;1:0.063519;2:0.065662;70404:0.068667
fixed_r5,cohort_year_dist,10576,0.0671756002,0:0.070487;1:0.063238;2:0.066182;70404:0.068576
fixed_r8,a040,10576,0.0671842395,0:0.070679;1:0.063293;2:0.065948;70404:0.068588
fixed_r32,a040,10576,0.0671873899,0:0.070684;1:0.063789;2:0.065524;70404:0.068542
fixed_r8,cohort_year_dist,10576,0.0671930756,0:0.070690;1:0.063255;2:0.066040;70404:0.068557
fixed_r1,a060,10576,0.0671931155,0:0.070841;1:0.063519;2:0.065466;70404:0.068708
fixed_r5,a040,10576,0.0671939073,0:0.070533;1:0.063302;2:0.066093;70404:0.068627
fixed_r32,cohort_year_dist,10576,0.0672053957,0:0.070805;1:0.063815;2:0.065394;70404:0.068587
fixed_r3,a030,10576,0.0672145130,0:0.070581;1:0.063452;2:0.065862;70404:0.068742
fixed_r6,cohort_year_dist,10576,0.0672227026,0:0.070616;1:0.063259;2:0.066184;70404:0.068607
fixed_r4,a040,10576,0.0672269021,0:0.070549;1:0.063388;2:0.065965;70404:0.068784
fixed_r4,cohort_year_dist,10576,0.0672271747,0:0.070512;1:0.063322;2:0.066036;70404:0.068816
fixed_r6,a040,10576,0.0672281342,0:0.070619;1:0.063332;2:0.066096;70404:0.068643
fixed_r8,a030,10576,0.0672294207,0:0.070684;1:0.063402;2:0.065977;70404:0.068632
fixed_r32,a030,10576,0.0672303519,0:0.070683;1:0.063768;2:0.065660;70404:0.068601
fixed_r5,a030,10576,0.0672362967,0:0.070576;1:0.063407;2:0.066087;70404:0.068658
fixed_r3,a050,10576,0.0672366712,0:0.070608;1:0.063402;2:0.065851;70404:0.068858
fixed_r8,a050,10576,0.0672589556,0:0.070785;1:0.063309;2:0.066045;70404:0.068663
fixed_r4,a030,10576,0.0672607429,0:0.070588;1:0.063470;2:0.065991;70404:0.068776
fixed_r6,a030,10576,0.0672614619,0:0.070639;1:0.063430;2:0.066090;70404:0.068668
fixed_r32,a050,10576,0.0672652715,0:0.070799;1:0.063938;2:0.065513;70404:0.068600
fixed_r5,a050,10576,0.0672716432,0:0.070602;1:0.063322;2:0.066222;70404:0.068718
vote_r2_r4,a060,10576,0.0672929282,0:0.070785;1:0.063478;2:0.065836;70404:0.068841
fixed_r2,a020,10576,0.0673018232,0:0.070685;1:0.063661;2:0.065928;70404:0.068720
fixed_r4,a050,10576,0.0673133125,0:0.070621;1:0.063433;2:0.066062;70404:0.068913
fixed_r1,a020,10576,0.0673148512,0:0.070765;1:0.063669;2:0.065863;70404:0.068744
fixed_r6,a050,10576,0.0673151914,0:0.070710;1:0.063361;2:0.066225;70404:0.068739
vote_r2_r4,a020,10576,0.0673412526,0:0.070738;1:0.063642;2:0.065989;70404:0.068780
fixed_r3,a020,10576,0.0673838348,0:0.070734;1:0.063667;2:0.066053;70404:0.068866
fixed_r32,a020,10576,0.0673939263,0:0.070797;1:0.063874;2:0.065920;70404:0.068777
fixed_r8,a020,10576,0.0673942580,0:0.070801;1:0.063635;2:0.066129;70404:0.068795
fixed_r5,a020,10576,0.0673985848,0:0.070730;1:0.063638;2:0.066204;70404:0.068810
fixed_r4,a020,10576,0.0674146539,0:0.070738;1:0.063678;2:0.066141;70404:0.068888
fixed_r6,a020,10576,0.0674149961,0:0.070771;1:0.063652;2:0.066207;70404:0.068816
fixed_r3,a060,10576,0.0674280328,0:0.070787;1:0.063567;2:0.066032;70404:0.069097
fixed_r8,a060,10576,0.0674531706,0:0.071002;1:0.063449;2:0.066266;70404:0.068858
fixed_r16,a030,10576,0.0674615222,0:0.070897;1:0.063975;2:0.065948;70404:0.068818
fixed_r32,a060,10576,0.0674635781,0:0.071028;1:0.064214;2:0.065626;70404:0.068776
fixed_r5,a060,10576,0.0674690892,0:0.070780;1:0.063468;2:0.066474;70404:0.068931
fixed_r16,a040,10576,0.0674906742,0:0.070958;1:0.064066;2:0.065896;70404:0.068834
fixed_r4,a060,10576,0.0675195126,0:0.070804;1:0.063605;2:0.066282;70404:0.069163
fixed_r6,a060,10576,0.0675221678,0:0.070912;1:0.063515;2:0.066476;70404:0.068958
fixed_r16,a020,10576,0.0675502340,0:0.070945;1:0.064013;2:0.066117;70404:0.068920
fixed_r16,cohort_year_dist,10576,0.0675851485,0:0.071051;1:0.064182;2:0.065930;70404:0.068969
fixed_r16,a050,10576,0.0676375376,0:0.071129;1:0.064284;2:0.065963;70404:0.068968
post_mode,a020,10576,0.0678150694,0:0.071121;1:0.064231;2:0.066532;70404:0.069176
post_mode,a030,10576,0.0678331229,0:0.071135;1:0.064273;2:0.066545;70404:0.069181
fixed_r16,a060,10576,0.0679013485,0:0.071407;1:0.064627;2:0.066148;70404:0.069219
post_mode,a040,10576,0.0679511609,0:0.071240;1:0.064422;2:0.066657;70404:0.069289
post_mode,cohort_year_dist,10576,0.0680816051,0:0.071368;1:0.064560;2:0.066726;70404:0.069474
post_mode,a050,10576,0.0681686642,0:0.071437;1:0.064677;2:0.066869;70404:0.069499
post_mode,a060,10576,0.0684846849,0:0.071723;1:0.065036;2:0.067179;70404:0.069812
