seed,route,n,coverage,covered_n,source_accuracy_covered,source_accuracy_all
0,fixed_r1,2644,0.5586232980,1477,0.0000000000,0.0000000000
0,fixed_r2,2644,0.6584720121,1741,0.0000000000,0.0000000000
0,fixed_r3,2644,0.7413010590,1960,0.0000000000,0.0000000000
0,fixed_r4,2644,0.7708018154,2038,0.0000000000,0.0000000000
0,fixed_r5,2644,0.7719364599,2041,0.0000000000,0.0000000000
0,fixed_r6,2644,0.7719364599,2041,0.0000000000,0.0000000000
0,fixed_r8,2644,0.8173222390,2161,0.0000000000,0.0000000000
0,fixed_r16,2644,0.8937216339,2363,0.0000000000,0.0000000000
0,fixed_r32,2644,0.9341906203,2470,0.0000000000,0.0000000000
1,fixed_r1,2644,0.5465204236,1445,0.0000000000,0.0000000000
1,fixed_r2,2644,0.6452344932,1706,0.0000000000,0.0000000000
1,fixed_r3,2644,0.7367624811,1948,0.0000000000,0.0000000000
1,fixed_r4,2644,0.7689107413,2033,0.0000000000,0.0000000000
1,fixed_r5,2644,0.7704236006,2037,0.0000000000,0.0000000000
1,fixed_r6,2644,0.7708018154,2038,0.0000000000,0.0000000000
1,fixed_r8,2644,0.8120272315,2147,0.0000000000,0.0000000000
1,fixed_r16,2644,0.8925869894,2360,0.0000000000,0.0000000000
1,fixed_r32,2644,0.9383509834,2481,0.0000000000,0.0000000000
2,fixed_r1,2644,0.5658093797,1496,0.0000000000,0.0000000000
2,fixed_r2,2644,0.6524205749,1725,0.0000000000,0.0000000000
2,fixed_r3,2644,0.7363842663,1947,0.0000000000,0.0000000000
2,fixed_r4,2644,0.7689107413,2033,0.0000000000,0.0000000000
2,fixed_r5,2644,0.7704236006,2037,0.0000000000,0.0000000000
2,fixed_r6,2644,0.7704236006,2037,0.0000000000,0.0000000000
2,fixed_r8,2644,0.8131618759,2150,0.0000000000,0.0000000000
2,fixed_r16,2644,0.8880484115,2348,0.0000000000,0.0000000000
2,fixed_r32,2644,0.9315431165,2463,0.0000000000,0.0000000000
70404,fixed_r1,2644,0.5533282905,1463,0.0000000000,0.0000000000
70404,fixed_r2,2644,0.6497730711,1718,0.0000000000,0.0000000000
70404,fixed_r3,2644,0.7382753404,1952,0.0000000000,0.0000000000
70404,fixed_r4,2644,0.7692889561,2034,0.0000000000,0.0000000000
70404,fixed_r5,2644,0.7700453858,2036,0.0000000000,0.0000000000
70404,fixed_r6,2644,0.7704236006,2037,0.0000000000,0.0000000000
70404,fixed_r8,2644,0.8105143722,2143,0.0000000000,0.0000000000
70404,fixed_r16,2644,0.8899394856,2353,0.0000000000,0.0000000000
70404,fixed_r32,2644,0.9398638427,2485,0.0000000000,0.0000000000
