route,held_seed,selected,train_rmse,test_rmse,test_base
trainaug_r1,0,cohort_year_trainaug,0.0654022821,0.0706432709,0.0713661302
trainaug_r1,1,cohort_year_trainaug,0.0680099588,0.0628234331,0.0644679552
trainaug_r1,2,0.44999999999999996,0.0672930266,0.0651500262,0.0668046092
trainaug_r1,70404,cohort_year_trainaug,0.0662686301,0.0681780993,0.0694751110
trainaug_r2,0,cohort_year_trainaug,0.0653655955,0.0703032685,0.0713661302
trainaug_r2,1,cohort_year_trainaug,0.0678676519,0.0627891573,0.0644679552
trainaug_r2,2,cohort_year_trainaug,0.0671351791,0.0651086475,0.0668046092
trainaug_r2,70404,cohort_year_trainaug,0.0661416757,0.0680908876,0.0694751110
trainaug_r4,0,0.49999999999999994,0.0654344790,0.0704426873,0.0713661302
trainaug_r4,1,0.44999999999999996,0.0680356765,0.0626061405,0.0644679552
trainaug_r4,2,0.44999999999999996,0.0671921198,0.0652820478,0.0668046092
trainaug_r4,70404,0.49999999999999994,0.0661727322,0.0683424750,0.0694751110
trainaug_r8,0,0.44999999999999996,0.0656999300,0.0705175395,0.0713661302
trainaug_r8,1,0.39999999999999997,0.0682001713,0.0630082474,0.0644679552
trainaug_r8,2,0.44999999999999996,0.0673710000,0.0656171538,0.0668046092
trainaug_r8,70404,0.44999999999999996,0.0664424884,0.0683984866,0.0694751110
trainaug_r16,0,0.39999999999999997,0.0660230522,0.0708248573,0.0713661302
trainaug_r16,1,0.35,0.0684552410,0.0635202489,0.0644679552
trainaug_r16,2,0.35,0.0677122350,0.0658660897,0.0668046092
trainaug_r16,70404,0.35,0.0667966388,0.0686134767,0.0694751110
trainaug_r32,0,0.44999999999999996,0.0657961055,0.0706531166,0.0713661302
trainaug_r32,1,0.39999999999999997,0.0681977135,0.0634377260,0.0644679552
trainaug_r32,2,0.39999999999999997,0.0675379190,0.0655211260,0.0668046092
trainaug_r32,70404,0.39999999999999997,0.0665946125,0.0683564350,0.0694751110
