route,policy,alpha,n,rmse,base_rmse,per_seed
trainaug_r2,cohort_year_trainaug,,10576,0.0666343245,0.0680787938,0:0.070303;1:0.062789;2:0.065109;70404:0.068091
trainaug_r2,a0.50,0.5000000000,10576,0.0666569279,0.0680787938,0:0.070302;1:0.062774;2:0.065146;70404:0.068159
trainaug_r2,a0.40,0.4000000000,10576,0.0666939881,0.0680787938,0:0.070282;1:0.062856;2:0.065221;70404:0.068177
trainaug_r4,a0.50,0.5000000000,10576,0.0667217831,0.0680787938,0:0.070443;1:0.062563;2:0.065270;70404:0.068342
trainaug_r4,cohort_year_trainaug,,10576,0.0667372503,0.0680787938,0:0.070438;1:0.062577;2:0.065330;70404:0.068338
trainaug_r2,a0.60,0.6000000000,10576,0.0667449671,0.0680787938,0:0.070439;1:0.062822;2:0.065202;70404:0.068264
trainaug_r4,a0.40,0.4000000000,10576,0.0667485875,0.0680787938,0:0.070402;1:0.062682;2:0.065326;70404:0.068326
trainaug_r1,cohort_year_trainaug,,10576,0.0667511184,0.0680787938,0:0.070643;1:0.062823;2:0.065095;70404:0.068178
trainaug_r1,a0.50,0.5000000000,10576,0.0667696510,0.0680787938,0:0.070668;1:0.062797;2:0.065125;70404:0.068221
trainaug_r1,a0.40,0.4000000000,10576,0.0667884919,0.0680787938,0:0.070580;1:0.062881;2:0.065207;70404:0.068230
trainaug_r4,a0.60,0.6000000000,10576,0.0668185792,0.0680787938,0:0.070596;1:0.062579;2:0.065340;70404:0.068481
trainaug_r2,a0.30,0.3000000000,10576,0.0668559397,0.0680787938,0:0.070379;1:0.063068;2:0.065426;70404:0.068319
trainaug_r1,a0.60,0.6000000000,10576,0.0668735025,0.0680787938,0:0.070870;1:0.062840;2:0.065173;70404:0.068333
trainaug_r4,a0.30,0.3000000000,10576,0.0668988439,0.0680787938,0:0.070475;1:0.062934;2:0.065509;70404:0.068432
trainaug_r1,a0.30,0.3000000000,10576,0.0669299217,0.0680787938,0:0.070606;1:0.063092;2:0.065417;70404:0.068361
trainaug_r8,a0.40,0.4000000000,10576,0.0669399532,0.0680787938,0:0.070495;1:0.063008;2:0.065622;70404:0.068397
trainaug_r8,a0.50,0.5000000000,10576,0.0669649489,0.0680787938,0:0.070570;1:0.062969;2:0.065645;70404:0.068431
trainaug_r8,cohort_year_trainaug,,10576,0.0669826958,0.0680787938,0:0.070589;1:0.063002;2:0.065704;70404:0.068393
trainaug_r32,a0.40,0.4000000000,10576,0.0670394090,0.0680787938,0:0.070620;1:0.063438;2:0.065521;70404:0.068356
trainaug_r8,a0.30,0.3000000000,10576,0.0670397314,0.0680787938,0:0.070537;1:0.063179;2:0.065727;70404:0.068485
trainaug_r32,cohort_year_trainaug,,10576,0.0670771505,0.0680787938,0:0.070754;1:0.063490;2:0.065435;70404:0.068400
trainaug_r32,a0.50,0.5000000000,10576,0.0670772613,0.0680787938,0:0.070715;1:0.063494;2:0.065504;70404:0.068371
trainaug_r8,a0.60,0.6000000000,10576,0.0671145790,0.0680787938,0:0.070763;1:0.063061;2:0.065796;70404:0.068587
trainaug_r32,a0.30,0.3000000000,10576,0.0671213853,0.0680787938,0:0.070638;1:0.063508;2:0.065661;70404:0.068460
trainaug_r2,a0.20,0.2000000000,10576,0.0671418788,0.0680787938,0:0.070593;1:0.063409;2:0.065759;70404:0.068584
trainaug_r4,a0.20,0.2000000000,10576,0.0671717238,0.0680787938,0:0.070661;1:0.063317;2:0.065818;70404:0.068659
trainaug_r1,a0.20,0.2000000000,10576,0.0671931662,0.0680787938,0:0.070746;1:0.063428;2:0.065755;70404:0.068613
trainaug_r32,a0.60,0.6000000000,10576,0.0672347398,0.0680787938,0:0.070922;1:0.063675;2:0.065610;70404:0.068505
trainaug_r16,a0.40,0.4000000000,10576,0.0672556516,0.0680787938,0:0.070825;1:0.063512;2:0.065850;70404:0.068608
trainaug_r8,a0.20,0.2000000000,10576,0.0672637283,0.0680787938,0:0.070697;1:0.063481;2:0.065960;70404:0.068695
trainaug_r16,a0.30,0.3000000000,10576,0.0672848770,0.0680787938,0:0.070796;1:0.063560;2:0.065912;70404:0.068649
trainaug_r32,a0.20,0.2000000000,10576,0.0673227525,0.0680787938,0:0.070769;1:0.063704;2:0.065922;70404:0.068682
trainaug_r16,a0.50,0.5000000000,10576,0.0673449026,0.0680787938,0:0.070963;1:0.063592;2:0.065909;70404:0.068686
trainaug_r16,cohort_year_trainaug,,10576,0.0673811855,0.0680787938,0:0.070996;1:0.063624;2:0.065914;70404:0.068758
trainaug_r16,a0.20,0.2000000000,10576,0.0674324249,0.0680787938,0:0.070878;1:0.063737;2:0.066092;70404:0.068807
trainaug_r16,a0.60,0.6000000000,10576,0.0675521605,0.0680787938,0:0.071209;1:0.063800;2:0.066086;70404:0.068881
