route,seed,n,coverage,covered_n,source_accuracy_covered,source_accuracy_all
trainaug_r1,0,2644,0.8347201210,2207,0.9705482556,0.9568835098
trainaug_r1,1,2644,0.8275340393,2188,0.9748628885,0.9610438729
trainaug_r1,2,2644,0.8343419062,2206,0.9755213055,0.9629349470
trainaug_r1,70404,2644,0.8309379728,2197,0.9713245335,0.9602874433
trainaug_r2,0,2644,0.9761724660,2581,0.9759783030,0.9731467474
trainaug_r2,1,2644,0.9670953101,2557,0.9753617521,0.9735249622
trainaug_r2,2,2644,0.9663388805,2555,0.9769080235,0.9746596067
trainaug_r2,70404,2644,0.9754160363,2579,0.9736331912,0.9704992436
trainaug_r4,0,2644,0.9931921331,2626,0.9779131759,0.9765506808
trainaug_r4,1,2644,0.9863842663,2608,0.9819785276,0.9799546142
trainaug_r4,2,2644,0.9886535552,2614,0.9846977812,0.9829803328
trainaug_r4,70404,2644,0.9901664145,2618,0.9793735676,0.9773071104
trainaug_r8,0,2644,0.9950832073,2631,0.9635119726,0.9621785174
trainaug_r8,1,2644,0.9897881997,2617,0.9617883072,0.9602874433
trainaug_r8,2,2644,0.9924357035,2624,0.9607469512,0.9591527988
trainaug_r8,70404,2644,0.9916792738,2622,0.9603356217,0.9587745840
trainaug_r16,0,2644,0.9958396369,2633,0.9487276870,0.9474281392
trainaug_r16,1,2644,0.9913010590,2621,0.9431514689,0.9417549168
trainaug_r16,2,2644,0.9931921331,2626,0.9440213252,0.9425113464
trainaug_r16,70404,2644,0.9928139183,2625,0.9443809524,0.9428895613
trainaug_r32,0,2644,0.9977307110,2638,0.9503411676,0.9496974281
trainaug_r32,1,2644,0.9928139183,2625,0.9466666667,0.9455370651
trainaug_r32,2,2644,0.9943267776,2629,0.9497907950,0.9485627837
trainaug_r32,70404,2644,0.9947049924,2630,0.9475285171,0.9466717095
