seed,variant,clip,policy,n,rmse,base_rmse
0,current_refit,none,a040,2644,0.0702821429,0.0713661302
0,current_refit,none,a050,2644,0.0703020771,0.0713661302
0,current_refit,none,cohort_year_trainaug,2644,0.0703032685,0.0713661302
0,current_refit,abs01,a040,2644,0.0702821429,0.0713661302
0,current_refit,abs01,a050,2644,0.0703020771,0.0713661302
0,current_refit,abs01,cohort_year_trainaug,2644,0.0703032685,0.0713661302
0,current_refit,delta_src,a040,2644,0.0701789353,0.0713661302
0,current_refit,delta_src,a050,2644,0.0701254339,0.0713661302
0,current_refit,delta_src,cohort_year_trainaug,2644,0.0701424069,0.0713661302
0,alt_reg32,none,a040,2644,0.0703149805,0.0713661302
0,alt_reg32,none,a050,2644,0.0703460610,0.0713661302
0,alt_reg32,none,cohort_year_trainaug,2644,0.0703790649,0.0713661302
0,alt_reg32,abs01,a040,2644,0.0703149805,0.0713661302
0,alt_reg32,abs01,a050,2644,0.0703460610,0.0713661302
0,alt_reg32,abs01,cohort_year_trainaug,2644,0.0703790649,0.0713661302
0,alt_reg32,delta_src,a040,2644,0.0701919065,0.0713661302
0,alt_reg32,delta_src,a050,2644,0.0701439841,0.0713661302
0,alt_reg32,delta_src,cohort_year_trainaug,2644,0.0701895743,0.0713661302
0,alt_smooth48,none,a040,2644,0.0703922523,0.0713661302
0,alt_smooth48,none,a050,2644,0.0704426171,0.0713661302
0,alt_smooth48,none,cohort_year_trainaug,2644,0.0704682970,0.0713661302
0,alt_smooth48,abs01,a040,2644,0.0703922523,0.0713661302
0,alt_smooth48,abs01,a050,2644,0.0704426171,0.0713661302
0,alt_smooth48,abs01,cohort_year_trainaug,2644,0.0704682970,0.0713661302
0,alt_smooth48,delta_src,a040,2644,0.0702414842,0.0713661302
0,alt_smooth48,delta_src,a050,2644,0.0702031415,0.0713661302
0,alt_smooth48,delta_src,cohort_year_trainaug,2644,0.0702409358,0.0713661302
1,current_refit,none,a040,2644,0.0628560547,0.0644679552
1,current_refit,none,a050,2644,0.0627738672,0.0644679552
1,current_refit,none,cohort_year_trainaug,2644,0.0627891573,0.0644679552
1,current_refit,abs01,a040,2644,0.0628560547,0.0644679552
1,current_refit,abs01,a050,2644,0.0627738672,0.0644679552
1,current_refit,abs01,cohort_year_trainaug,2644,0.0627891573,0.0644679552
1,current_refit,delta_src,a040,2644,0.0629409723,0.0644679552
1,current_refit,delta_src,a050,2644,0.0628487666,0.0644679552
1,current_refit,delta_src,cohort_year_trainaug,2644,0.0628648127,0.0644679552
1,alt_reg32,none,a040,2644,0.0630330008,0.0644679552
1,alt_reg32,none,a050,2644,0.0629902733,0.0644679552
1,alt_reg32,none,cohort_year_trainaug,2644,0.0629985749,0.0644679552
1,alt_reg32,abs01,a040,2644,0.0630330008,0.0644679552
1,alt_reg32,abs01,a050,2644,0.0629902733,0.0644679552
1,alt_reg32,abs01,cohort_year_trainaug,2644,0.0629985749,0.0644679552
1,alt_reg32,delta_src,a040,2644,0.0631282824,0.0644679552
1,alt_reg32,delta_src,a050,2644,0.0630797549,0.0644679552
1,alt_reg32,delta_src,cohort_year_trainaug,2644,0.0630877552,0.0644679552
1,alt_smooth48,none,a040,2644,0.0629413486,0.0644679552
1,alt_smooth48,none,a050,2644,0.0628728854,0.0644679552
1,alt_smooth48,none,cohort_year_trainaug,2644,0.0628954976,0.0644679552
1,alt_smooth48,abs01,a040,2644,0.0629413486,0.0644679552
1,alt_smooth48,abs01,a050,2644,0.0628728854,0.0644679552
1,alt_smooth48,abs01,cohort_year_trainaug,2644,0.0628954976,0.0644679552
1,alt_smooth48,delta_src,a040,2644,0.0630163825,0.0644679552
1,alt_smooth48,delta_src,a050,2644,0.0629390323,0.0644679552
1,alt_smooth48,delta_src,cohort_year_trainaug,2644,0.0629610123,0.0644679552
2,current_refit,none,a040,2644,0.0652210386,0.0668046092
2,current_refit,none,a050,2644,0.0651463075,0.0668046092
2,current_refit,none,cohort_year_trainaug,2644,0.0651086475,0.0668046092
2,current_refit,abs01,a040,2644,0.0652210386,0.0668046092
2,current_refit,abs01,a050,2644,0.0651463075,0.0668046092
2,current_refit,abs01,cohort_year_trainaug,2644,0.0651086475,0.0668046092
2,current_refit,delta_src,a040,2644,0.0652336335,0.0668046092
2,current_refit,delta_src,a050,2644,0.0651095478,0.0668046092
2,current_refit,delta_src,cohort_year_trainaug,2644,0.0650361555,0.0668046092
2,alt_reg32,none,a040,2644,0.0654120529,0.0668046092
2,alt_reg32,none,a050,2644,0.0653798798,0.0668046092
2,alt_reg32,none,cohort_year_trainaug,2644,0.0653414200,0.0668046092
2,alt_reg32,abs01,a040,2644,0.0654120529,0.0668046092
2,alt_reg32,abs01,a050,2644,0.0653798798,0.0668046092
2,alt_reg32,abs01,cohort_year_trainaug,2644,0.0653414200,0.0668046092
2,alt_reg32,delta_src,a040,2644,0.0654168704,0.0668046092
2,alt_reg32,delta_src,a050,2644,0.0653342739,0.0668046092
2,alt_reg32,delta_src,cohort_year_trainaug,2644,0.0652610918,0.0668046092
2,alt_smooth48,none,a040,2644,0.0654090242,0.0668046092
2,alt_smooth48,none,a050,2644,0.0653741152,0.0668046092
2,alt_smooth48,none,cohort_year_trainaug,2644,0.0653519849,0.0668046092
2,alt_smooth48,abs01,a040,2644,0.0654090242,0.0668046092
2,alt_smooth48,abs01,a050,2644,0.0653741152,0.0668046092
2,alt_smooth48,abs01,cohort_year_trainaug,2644,0.0653519849,0.0668046092
2,alt_smooth48,delta_src,a040,2644,0.0654426699,0.0668046092
2,alt_smooth48,delta_src,a050,2644,0.0653646047,0.0668046092
2,alt_smooth48,delta_src,cohort_year_trainaug,2644,0.0653134605,0.0668046092
70404,current_refit,none,a040,2644,0.0681770131,0.0694751110
70404,current_refit,none,a050,2644,0.0681586557,0.0694751110
70404,current_refit,none,cohort_year_trainaug,2644,0.0680908876,0.0694751110
70404,current_refit,abs01,a040,2644,0.0681770131,0.0694751110
70404,current_refit,abs01,a050,2644,0.0681586557,0.0694751110
70404,current_refit,abs01,cohort_year_trainaug,2644,0.0680908876,0.0694751110
70404,current_refit,delta_src,a040,2644,0.0681993636,0.0694751110
70404,current_refit,delta_src,a050,2644,0.0681461591,0.0694751110
70404,current_refit,delta_src,cohort_year_trainaug,2644,0.0680788446,0.0694751110
70404,alt_reg32,none,a040,2644,0.0683259251,0.0694751110
70404,alt_reg32,none,a050,2644,0.0683441889,0.0694751110
70404,alt_reg32,none,cohort_year_trainaug,2644,0.0682747029,0.0694751110
70404,alt_reg32,abs01,a040,2644,0.0683259251,0.0694751110
70404,alt_reg32,abs01,a050,2644,0.0683441889,0.0694751110
70404,alt_reg32,abs01,cohort_year_trainaug,2644,0.0682747029,0.0694751110
70404,alt_reg32,delta_src,a040,2644,0.0683382870,0.0694751110
70404,alt_reg32,delta_src,a050,2644,0.0683167724,0.0694751110
70404,alt_reg32,delta_src,cohort_year_trainaug,2644,0.0682450235,0.0694751110
70404,alt_smooth48,none,a040,2644,0.0683185678,0.0694751110
70404,alt_smooth48,none,a050,2644,0.0683332277,0.0694751110
70404,alt_smooth48,none,cohort_year_trainaug,2644,0.0682613353,0.0694751110
70404,alt_smooth48,abs01,a040,2644,0.0683185678,0.0694751110
70404,alt_smooth48,abs01,a050,2644,0.0683332277,0.0694751110
70404,alt_smooth48,abs01,cohort_year_trainaug,2644,0.0682613353,0.0694751110
70404,alt_smooth48,delta_src,a040,2644,0.0683018230,0.0694751110
70404,alt_smooth48,delta_src,a050,2644,0.0682716417,0.0694751110
70404,alt_smooth48,delta_src,cohort_year_trainaug,2644,0.0682035593,0.0694751110
