variant,clip,policy,n,rmse,base_rmse,per_seed
current_refit,delta_src,cohort_year_trainaug,10576,0.0665889866,0.0680787938,0:0.070142;1:0.062865;2:0.065036;70404:0.068079
current_refit,delta_src,a050,10576,0.0666158693,0.0680787938,0:0.070125;1:0.062849;2:0.065110;70404:0.068146
current_refit,none,cohort_year_trainaug,10576,0.0666343245,0.0680787938,0:0.070303;1:0.062789;2:0.065109;70404:0.068091
current_refit,abs01,cohort_year_trainaug,10576,0.0666343245,0.0680787938,0:0.070303;1:0.062789;2:0.065109;70404:0.068091
current_refit,abs01,a050,10576,0.0666569279,0.0680787938,0:0.070302;1:0.062774;2:0.065146;70404:0.068159
current_refit,none,a050,10576,0.0666569279,0.0680787938,0:0.070302;1:0.062774;2:0.065146;70404:0.068159
current_refit,none,a040,10576,0.0666939881,0.0680787938,0:0.070282;1:0.062856;2:0.065221;70404:0.068177
current_refit,abs01,a040,10576,0.0666939881,0.0680787938,0:0.070282;1:0.062856;2:0.065221;70404:0.068177
current_refit,delta_src,a040,10576,0.0666956316,0.0680787938,0:0.070179;1:0.062941;2:0.065234;70404:0.068199
alt_smooth48,delta_src,cohort_year_trainaug,10576,0.0667372680,0.0680787938,0:0.070241;1:0.062961;2:0.065313;70404:0.068204
alt_reg32,delta_src,cohort_year_trainaug,10576,0.0667514692,0.0680787938,0:0.070190;1:0.063088;2:0.065261;70404:0.068245
alt_smooth48,delta_src,a050,10576,0.0667520626,0.0680787938,0:0.070203;1:0.062939;2:0.065365;70404:0.068272
alt_reg32,delta_src,a050,10576,0.0667738398,0.0680787938,0:0.070144;1:0.063080;2:0.065334;70404:0.068317
alt_smooth48,abs01,cohort_year_trainaug,10576,0.0668059061,0.0680787938,0:0.070468;1:0.062895;2:0.065352;70404:0.068261
alt_smooth48,none,cohort_year_trainaug,10576,0.0668059061,0.0680787938,0:0.070468;1:0.062895;2:0.065352;70404:0.068261
alt_smooth48,delta_src,a040,10576,0.0668072089,0.0680787938,0:0.070241;1:0.063016;2:0.065443;70404:0.068302
alt_reg32,none,cohort_year_trainaug,10576,0.0668075023,0.0680787938,0:0.070379;1:0.062999;2:0.065341;70404:0.068275
alt_reg32,abs01,cohort_year_trainaug,10576,0.0668075023,0.0680787938,0:0.070379;1:0.062999;2:0.065341;70404:0.068275
alt_smooth48,none,a050,10576,0.0668176005,0.0680787938,0:0.070443;1:0.062873;2:0.065374;70404:0.068333
alt_smooth48,abs01,a050,10576,0.0668176005,0.0680787938,0:0.070443;1:0.062873;2:0.065374;70404:0.068333
alt_reg32,delta_src,a040,10576,0.0668235964,0.0680787938,0:0.070192;1:0.063128;2:0.065417;70404:0.068338
alt_reg32,abs01,a050,10576,0.0668240220,0.0680787938,0:0.070346;1:0.062990;2:0.065380;70404:0.068344
alt_reg32,none,a050,10576,0.0668240220,0.0680787938,0:0.070346;1:0.062990;2:0.065380;70404:0.068344
alt_smooth48,abs01,a040,10576,0.0668252380,0.0680787938,0:0.070392;1:0.062941;2:0.065409;70404:0.068319
alt_smooth48,none,a040,10576,0.0668252380,0.0680787938,0:0.070392;1:0.062941;2:0.065409;70404:0.068319
alt_reg32,none,a040,10576,0.0668291186,0.0680787938,0:0.070315;1:0.063033;2:0.065412;70404:0.068326
alt_reg32,abs01,a040,10576,0.0668291186,0.0680787938,0:0.070315;1:0.063033;2:0.065412;70404:0.068326
