held_seed,variant,train_rmse,test_rmse,test_base
0,none_a040,0.0654542400,0.0702821429,0.0713661302
0,srcclip_a040,0.0654933740,0.0701789353,0.0713661302
0,srcclip_policy,0.0653615975,0.0701424069,0.0713661302
1,none_a040,0.0679251269,0.0628560547,0.0644679552
1,srcclip_a040,0.0679010631,0.0629409723,0.0644679552
1,srcclip_policy,0.0677849242,0.0628648127,0.0644679552
2,none_a040,0.0671777948,0.0652210386,0.0668046092
2,srcclip_a040,0.0671758939,0.0652336335,0.0668046092
2,srcclip_policy,0.0670986115,0.0650361555,0.0668046092
70404,none_a040,0.0661922631,0.0681770131,0.0694751110
70404,srcclip_a040,0.0661867960,0.0681993636,0.0694751110
70404,srcclip_policy,0.0660849036,0.0680788446,0.0694751110
