seed,method,n,rmse,slice
0,baseline,2644,0.071366130,
0,post_mode,2644,0.073745381,
0,blend_post_mode_0.20,2644,0.071120581,
0,blend_post_mode_0.30,2644,0.071134736,
0,blend_post_mode_0.40,2644,0.071240220,
0,blend_post_mode_0.50,2644,0.071436631,
0,crop_hier_n1_p00,2644,0.072533524,
0,blend_crop_hier_n1_p00_0.20,2644,0.070677942,
0,blend_crop_hier_n1_p00_0.30,2644,0.070506193,
0,blend_crop_hier_n1_p00_0.40,2644,0.070450648,
0,blend_crop_hier_n1_p00_0.50,2644,0.070511582,
0,crop_hier_n1_p67,2644,0.072517814,
0,blend_crop_hier_n1_p67_0.20,2644,0.070676499,
0,blend_crop_hier_n1_p67_0.30,2644,0.070503687,
0,blend_crop_hier_n1_p67_0.40,2644,0.070446858,
0,blend_crop_hier_n1_p67_0.50,2644,0.070506290,
0,crop_hier_n1_p80,2644,0.072531051,
0,blend_crop_hier_n1_p80_0.20,2644,0.070678865,
0,blend_crop_hier_n1_p80_0.30,2644,0.070507312,
0,blend_crop_hier_n1_p80_0.40,2644,0.070451782,
0,blend_crop_hier_n1_p80_0.50,2644,0.070512550,
0,crop_hier_n2_p00,2644,0.072828899,
0,blend_crop_hier_n2_p00_0.20,2644,0.070767133,
0,blend_crop_hier_n2_p00_0.30,2644,0.070634916,
0,blend_crop_hier_n2_p00_0.40,2644,0.070615231,
0,blend_crop_hier_n2_p00_0.50,2644,0.070708172,
0,crop_hier_n2_p67,2644,0.072344877,
0,blend_crop_hier_n2_p67_0.20,2644,0.070743726,
0,blend_crop_hier_n2_p67_0.30,2644,0.070585472,
0,blend_crop_hier_n2_p67_0.40,2644,0.070530245,
0,blend_crop_hier_n2_p67_0.50,2644,0.070578289,
0,crop_hier_n2_p80,2644,0.072382611,
0,blend_crop_hier_n2_p80_0.20,2644,0.070756651,
0,blend_crop_hier_n2_p80_0.30,2644,0.070603924,
0,blend_crop_hier_n2_p80_0.40,2644,0.070553562,
0,blend_crop_hier_n2_p80_0.50,2644,0.070605783,
0,crop_hier_n3_p00,2644,0.073528761,
0,blend_crop_hier_n3_p00_0.20,2644,0.070926580,
0,blend_crop_hier_n3_p00_0.30,2644,0.070871612,
0,blend_crop_hier_n3_p00_0.40,2644,0.070927025,
0,blend_crop_hier_n3_p00_0.50,2644,0.071092561,
0,crop_hier_n3_p67,2644,0.073014841,
0,blend_crop_hier_n3_p67_0.20,2644,0.070912126,
0,blend_crop_hier_n3_p67_0.30,2644,0.070832692,
0,blend_crop_hier_n3_p67_0.40,2644,0.070852215,
0,blend_crop_hier_n3_p67_0.50,2644,0.070970613,
0,crop_hier_n3_p80,2644,0.073192176,
0,blend_crop_hier_n3_p80_0.20,2644,0.070958795,
0,blend_crop_hier_n3_p80_0.30,2644,0.070900865,
0,blend_crop_hier_n3_p80_0.40,2644,0.070940543,
0,blend_crop_hier_n3_p80_0.50,2644,0.071077667,
0,soft_crop_r1_l0_p1,2644,0.072046866,
0,blend_soft_crop_r1_l0_p1_0.20,2644,0.070763809,
0,blend_soft_crop_r1_l0_p1_0.30,2644,0.070600461,
0,blend_soft_crop_r1_l0_p1_0.40,2644,0.070529960,
0,blend_soft_crop_r1_l0_p1_0.50,2644,0.070552584,
0,soft_crop_r1_l0_p2,2644,0.072130130,
0,blend_soft_crop_r1_l0_p2_0.20,2644,0.070734754,
0,blend_soft_crop_r1_l0_p2_0.30,2644,0.070565426,
0,blend_soft_crop_r1_l0_p2_0.40,2644,0.070494744,
0,blend_soft_crop_r1_l0_p2_0.50,2644,0.070523005,
0,soft_crop_r1_l0_p4,2644,0.072340394,
0,blend_soft_crop_r1_l0_p4_0.20,2644,0.070740261,
0,blend_soft_crop_r1_l0_p4_0.30,2644,0.070580742,
0,blend_soft_crop_r1_l0_p4_0.40,2644,0.070524573,
0,blend_soft_crop_r1_l0_p4_0.50,2644,0.070572002,
0,soft_crop_r1_l0.25_p1,2644,0.071892929,
0,blend_soft_crop_r1_l0.25_p1_0.20,2644,0.070819372,
0,blend_soft_crop_r1_l0.25_p1_0.30,2644,0.070667669,
0,blend_soft_crop_r1_l0.25_p1_0.40,2644,0.070597873,
0,blend_soft_crop_r1_l0.25_p1_0.50,2644,0.070610229,
0,soft_crop_r1_l0.25_p2,2644,0.072106562,
0,blend_soft_crop_r1_l0.25_p2_0.20,2644,0.070744936,
0,blend_soft_crop_r1_l0.25_p2_0.30,2644,0.070577918,
0,blend_soft_crop_r1_l0.25_p2_0.40,2644,0.070507658,
