route,policy,n,pooled_rmse,per_seed
crop_hier_n1_p67,cal_cohort_dist_s400,10576,0.0667940336,0:0.070436;1:0.063003;2:0.065156;70404:0.068337
crop_hier_n1_p67,cal_cohort_dist_s200,10576,0.0667940706,0:0.070438;1:0.063003;2:0.065151;70404:0.068339
crop_hier_n1_p67,cal_cohort_dist_s100,10576,0.0667947795,0:0.070440;1:0.063004;2:0.065148;70404:0.068342
crop_hier_n1_p67,fixed_050_040_025,10576,0.0667949332,0:0.070412;1:0.062995;2:0.065172;70404:0.068356
crop_hier_n1_p67,cal_cohort_dist_s50,10576,0.0667954855,0:0.070441;1:0.063005;2:0.065147;70404:0.068343
crop_hier_n1_p67,fixed_050_040_030,10576,0.0667990053,0:0.070414;1:0.063001;2:0.065184;70404:0.068353
crop_hier_n1_p67,fixed_055_040_025,10576,0.0668043369,0:0.070434;1:0.062988;2:0.065163;70404:0.068385
crop_hier_n1_p67,fixed_050_035_025,10576,0.0668049916,0:0.070404;1:0.063002;2:0.065204;70404:0.068367
crop_hier_n1_p67,fixed_045_040_025,10576,0.0668057045,0:0.070409;1:0.063023;2:0.065202;70404:0.068347
crop_hier_n1_p67,cal_dist_s400,10576,0.0668098844,0:0.070452;1:0.063005;2:0.065184;70404:0.068354
crop_hier_n1_p67,cal_dist_s200,10576,0.0668099700,0:0.070455;1:0.063002;2:0.065180;70404:0.068357
crop_hier_n1_p67,cal_dist_s100,10576,0.0668104931,0:0.070457;1:0.063001;2:0.065178;70404:0.068360
crop_hier_n1_p67,cal_dist_s50,10576,0.0668109297,0:0.070458;1:0.063001;2:0.065177;70404:0.068361
crop_hier_n1_p67,cal_dist_s20,10576,0.0668112601,0:0.070459;1:0.063000;2:0.065177;70404:0.068362
crop_hier_n1_p67,cal_delta_dist_s250,10576,0.0668178226,0:0.070428;1:0.063067;2:0.065192;70404:0.068344
crop_hier_n1_p67,cal_delta_dist_s500,10576,0.0668199059,0:0.070434;1:0.063064;2:0.065198;70404:0.068343
crop_hier_n1_p67,cal_delta_dist_s100,10576,0.0668215973,0:0.070427;1:0.063078;2:0.065191;70404:0.068351
crop_hier_n1_p67,cal_year_dist_s400,10576,0.0668222779,0:0.070465;1:0.063042;2:0.065186;70404:0.068353
crop_hier_n1_p67,cal_year_dist_s200,10576,0.0668247717,0:0.070471;1:0.063045;2:0.065182;70404:0.068356
crop_hier_n1_p67,cal_year_dist_s100,10576,0.0668276760,0:0.070476;1:0.063050;2:0.065181;70404:0.068358
crop_hier_n1_p67,cal_year_dist_s50,10576,0.0668303104,0:0.070480;1:0.063056;2:0.065181;70404:0.068360
soft_all_r2_l0_p4,cal_cohort_dist_s50,10576,0.0668559968,0:0.070392;1:0.063110;2:0.065328;70404:0.068361
soft_all_r2_l0_p4,cal_cohort_dist_s100,10576,0.0668563407,0:0.070391;1:0.063111;2:0.065330;70404:0.068361
soft_all_r2_l0_p4,cal_cohort_dist_s200,10576,0.0668566824,0:0.070389;1:0.063112;2:0.065334;70404:0.068359
soft_all_r2_l0_p4,cal_cohort_dist_s400,10576,0.0668573604,0:0.070386;1:0.063113;2:0.065341;70404:0.068358
soft_all_r2_l0_p4,fixed_050_040_025,10576,0.0668582659,0:0.070386;1:0.063095;2:0.065352;70404:0.068368
soft_all_r2_l0_p4,fixed_050_040_030,10576,0.0668623120,0:0.070384;1:0.063100;2:0.065367;70404:0.068367
crop_hier_n1_p67,base_a040,10576,0.0668645755,0:0.070447;1:0.063107;2:0.065300;70404:0.068368
crop_hier_n1_p67,cal_delta_s400,10576,0.0668648347,0:0.070478;1:0.063088;2:0.065275;70404:0.068379
soft_all_r2_l0_p4,fixed_055_040_025,10576,0.0668652753,0:0.070406;1:0.063082;2:0.065346;70404:0.068393
crop_hier_n1_p67,cal_delta_s200,10576,0.0668659685,0:0.070478;1:0.063089;2:0.065276;70404:0.068380
crop_hier_n1_p67,cal_delta_s100,10576,0.0668666466,0:0.070479;1:0.063090;2:0.065277;70404:0.068381
crop_hier_n1_p67,cal_delta_s50,10576,0.0668670195,0:0.070479;1:0.063090;2:0.065277;70404:0.068381
soft_all_r2_l0_p4,cal_dist_s400,10576,0.0668676944,0:0.070396;1:0.063116;2:0.065359;70404:0.068367
soft_all_r2_l0_p4,cal_dist_s200,10576,0.0668677395,0:0.070399;1:0.063115;2:0.065354;70404:0.068370
soft_all_r2_l0_p4,fixed_050_035_025,10576,0.0668679291,0:0.070388;1:0.063095;2:0.065378;70404:0.068379
soft_all_r2_l0_p4,cal_dist_s100,10576,0.0668681981,0:0.070401;1:0.063115;2:0.065351;70404:0.068373
soft_all_r2_l0_p4,cal_dist_s50,10576,0.0668685867,0:0.070403;1:0.063115;2:0.065350;70404:0.068374
soft_all_r2_l0_p4,cal_dist_s20,10576,0.0668688822,0:0.070404;1:0.063115;2:0.065349;70404:0.068375
soft_all_r2_l0_p4,fixed_045_040_025,10576,0.0668703835,0:0.070383;1:0.063127;2:0.065378;70404:0.068363
soft_all_r2_l0_p4,cal_year_dist_s50,10576,0.0668717494,0:0.070431;1:0.063147;2:0.065315;70404:0.068361
soft_all_r2_l0_p4,cal_year_dist_s100,10576,0.0668718072,0:0.070426;1:0.063145;2:0.065322;70404:0.068361
soft_all_r2_l0_p4,cal_year_dist_s200,10576,0.0668720426,0:0.070419;1:0.063145;2:0.065332;70404:0.068361
soft_all_r2_l0_p4,cal_year_dist_s400,10576,0.0668725519,0:0.070410;1:0.063145;2:0.065343;70404:0.068361
soft_all_r2_l0_p4,cal_delta_dist_s250,10576,0.0668782710,0:0.070382;1:0.063165;2:0.065379;70404:0.068358
soft_all_r2_l0_p4,cal_delta_dist_s100,10576,0.0668802990,0:0.070384;1:0.063173;2:0.065373;70404:0.068362
soft_all_r2_l0_p4,cal_delta_dist_s500,10576,0.0668804522,0:0.070385;1:0.063163;2:0.065387;70404:0.068359
soft_crop_r1_l0_p4,cal_cohort_dist_s400,10576,0.0668967808,0:0.070521;1:0.063225;2:0.065230;70404:0.068376
