route,held_seed,policy,n,rmse,bias,mae
crop_hier_n1_p67,0,base_a040,2644,0.0704468579,-0.0008038589,0.0403654435
crop_hier_n1_p67,0,fixed_050_040_030,2644,0.0704140180,-0.0008443010,0.0402432213
crop_hier_n1_p67,0,fixed_050_040_025,2644,0.0704119118,-0.0008627373,0.0402417199
crop_hier_n1_p67,0,fixed_055_040_025,2644,0.0704341077,-0.0008645220,0.0402179290
crop_hier_n1_p67,0,fixed_050_035_025,2644,0.0704043533,-0.0008794588,0.0402331756
crop_hier_n1_p67,0,fixed_045_040_025,2644,0.0704086018,-0.0008609525,0.0402848392
crop_hier_n1_p67,0,cal_dist_s20,2644,0.0704593132,-0.0008256372,0.0402810950
crop_hier_n1_p67,0,cal_dist_s50,2644,0.0704583768,-0.0008243988,0.0402800954
crop_hier_n1_p67,0,cal_dist_s100,2644,0.0704570004,-0.0008224322,0.0402785286
crop_hier_n1_p67,0,cal_dist_s200,2644,0.0704548237,-0.0008188282,0.0402766597
crop_hier_n1_p67,0,cal_dist_s400,2644,0.0704521191,-0.0008127070,0.0402751920
crop_hier_n1_p67,0,cal_year_dist_s50,2644,0.0704795910,-0.0008322750,0.0402907940
crop_hier_n1_p67,0,cal_year_dist_s100,2644,0.0704762292,-0.0008317973,0.0402892794
crop_hier_n1_p67,0,cal_year_dist_s200,2644,0.0704712060,-0.0008295676,0.0402865056
crop_hier_n1_p67,0,cal_year_dist_s400,2644,0.0704646782,-0.0008240801,0.0402839632
crop_hier_n1_p67,0,cal_cohort_dist_s50,2644,0.0704408731,-0.0007893050,0.0402760679
crop_hier_n1_p67,0,cal_cohort_dist_s100,2644,0.0704395295,-0.0007883069,0.0402735516
crop_hier_n1_p67,0,cal_cohort_dist_s200,2644,0.0704375845,-0.0007865215,0.0402704689
crop_hier_n1_p67,0,cal_cohort_dist_s400,2644,0.0704355157,-0.0007834475,0.0402678181
crop_hier_n1_p67,0,cal_delta_s50,2644,0.0704786906,-0.0007712472,0.0403107138
crop_hier_n1_p67,0,cal_delta_s100,2644,0.0704785243,-0.0007709086,0.0403108010
crop_hier_n1_p67,0,cal_delta_s200,2644,0.0704782271,-0.0007702796,0.0403110136
crop_hier_n1_p67,0,cal_delta_s400,2644,0.0704777466,-0.0007691855,0.0403115729
crop_hier_n1_p67,0,cal_delta_dist_s100,2644,0.0704271973,-0.0008039035,0.0402728563
crop_hier_n1_p67,0,cal_delta_dist_s250,2644,0.0704279839,-0.0007899805,0.0402761486
crop_hier_n1_p67,0,cal_delta_dist_s500,2644,0.0704335720,-0.0007792327,0.0402807033
crop_hier_n1_p67,1,base_a040,2644,0.0631068041,0.0011773335,0.0402563977
crop_hier_n1_p67,1,fixed_050_040_030,2644,0.0630013650,0.0012932160,0.0401690588
crop_hier_n1_p67,1,fixed_050_040_025,2644,0.0629952711,0.0012820604,0.0401750086
crop_hier_n1_p67,1,fixed_055_040_025,2644,0.0629882401,0.0013511572,0.0401634048
crop_hier_n1_p67,1,fixed_050_035_025,2644,0.0630022512,0.0012528665,0.0401808466
crop_hier_n1_p67,1,fixed_045_040_025,2644,0.0630234106,0.0012129636,0.0402077603
crop_hier_n1_p67,1,cal_dist_s20,2644,0.0630003481,0.0013150676,0.0401762955
crop_hier_n1_p67,1,cal_dist_s50,2644,0.0630006084,0.0013150677,0.0401758879
crop_hier_n1_p67,1,cal_dist_s100,2644,0.0630011002,0.0013150545,0.0401752596
crop_hier_n1_p67,1,cal_dist_s200,2644,0.0630022498,0.0013149828,0.0401742605
crop_hier_n1_p67,1,cal_dist_s400,2644,0.0630049310,0.0013146919,0.0401730007
crop_hier_n1_p67,1,cal_year_dist_s50,2644,0.0630563741,0.0012800082,0.0402057771
crop_hier_n1_p67,1,cal_year_dist_s100,2644,0.0630504991,0.0012857342,0.0402029812
crop_hier_n1_p67,1,cal_year_dist_s200,2644,0.0630451626,0.0012911252,0.0401994713
