family,n,pooled_rmse,per_seed
aoi_shrink,7932,0.067339134,0:0.070419;1:0.063061;70404:0.068324
group_dist_group,7932,0.067343989,0:0.070428;1:0.063025;70404:0.068363
bin_dist,7932,0.067344320,0:0.070429;1:0.063027;70404:0.068361
aoi_year_shrink,7932,0.067344392,0:0.070426;1:0.063069;70404:0.068326
aoi_dist_shrink,7932,0.067345087,0:0.070423;1:0.063060;70404:0.068338
groupweak_dist_group,7932,0.067346155,0:0.070433;1:0.063032;70404:0.068357
delta_dist,7932,0.067358162,0:0.070432;1:0.063080;70404:0.068350
bin_year_dist,7932,0.067369204,0:0.070434;1:0.063067;70404:0.068391
groupweak_year_group,7932,0.067375771,0:0.070452;1:0.063120;70404:0.068343
groupweak_cohort,7932,0.067376114,0:0.070459;1:0.063099;70404:0.068358
group_cohort,7932,0.067376496,0:0.070458;1:0.063102;70404:0.068357
group_year_group,7932,0.067376726,0:0.070453;1:0.063124;70404:0.068342
global,7932,0.067377754,0:0.070462;1:0.063095;70404:0.068362
base,7932,0.067377923,0:0.070447;1:0.063107;70404:0.068368
base_bin,7932,0.067384997,0:0.070441;1:0.063161;70404:0.068344
bin_delta,7932,0.067389220,0:0.070480;1:0.063111;70404:0.068362
group_bias_cohort,7932,0.067389579,0:0.070461;1:0.063130;70404:0.068366
global_bias,7932,0.067389740,0:0.070460;1:0.063131;70404:0.068367
group_bias_year,7932,0.067393230,0:0.070467;1:0.063131;70404:0.068369
aoi_year_bias,7932,0.067393759,0:0.070445;1:0.063127;70404:0.068398
group_bias_dist,7932,0.067394604,0:0.070464;1:0.063123;70404:0.068384
aoi_bias,7932,0.067406377,0:0.070448;1:0.063141;70404:0.068419
