test_seed,family,n,rmse,bias,mae
0,base,2644,0.070446858,-0.000803859,0.040365444
0,global,2644,0.070461766,-0.000770802,0.040331933
0,group_year_group,2644,0.070453353,-0.000834021,0.040308555
0,group_cohort,2644,0.070457557,-0.000752497,0.040333679
0,group_dist_group,2644,0.070427732,-0.000826266,0.040264781
0,groupweak_year_group,2644,0.070452161,-0.000828913,0.040309428
0,groupweak_cohort,2644,0.070458523,-0.000754980,0.040332613
0,groupweak_dist_group,2644,0.070432596,-0.000811211,0.040270584
0,bin_delta,2644,0.070480262,-0.000828227,0.040344510
0,bin_dist,2644,0.070428958,-0.000821526,0.040265937
0,bin_year_dist,2644,0.070434210,-0.000841965,0.040267924
0,aoi_shrink,2644,0.070419467,-0.000782618,0.040311258
0,aoi_year_shrink,2644,0.070425532,-0.000780215,0.040321644
0,aoi_dist_shrink,2644,0.070423280,-0.000770626,0.040311682
0,base_bin,2644,0.070440887,-0.000759410,0.040341409
0,delta_dist,2644,0.070431527,-0.000815778,0.040294034
0,aoi_bias,2644,0.070447626,-0.000647349,0.040324641
0,aoi_year_bias,2644,0.070445168,-0.000618236,0.040316150
0,global_bias,2644,0.070459521,-0.000527127,0.040333114
0,group_bias_year,2644,0.070466823,-0.000543522,0.040338070
0,group_bias_dist,2644,0.070464185,-0.000467261,0.040383800
0,group_bias_cohort,2644,0.070461041,-0.000564902,0.040329278
1,base,2644,0.063106804,0.001177334,0.040256398
1,global,2644,0.063095286,0.001208827,0.040236592
1,group_year_group,2644,0.063123787,0.001198330,0.040267160
1,group_cohort,2644,0.063101765,0.001205765,0.040245449
1,group_dist_group,2644,0.063024787,0.001223439,0.040181290
1,groupweak_year_group,2644,0.063120184,0.001195357,0.040264948
1,groupweak_cohort,2644,0.063098559,0.001209972,0.040240814
1,groupweak_dist_group,2644,0.063032080,0.001231803,0.040185541
1,bin_delta,2644,0.063111312,0.001200625,0.040264912
1,bin_dist,2644,0.063026750,0.001226206,0.040182542
1,bin_year_dist,2644,0.063067175,0.001214390,0.040218682
1,aoi_shrink,2644,0.063060511,0.001230504,0.040216055
1,aoi_year_shrink,2644,0.063068644,0.001222051,0.040224451
1,aoi_dist_shrink,2644,0.063059701,0.001234064,0.040213995
1,base_bin,2644,0.063161226,0.001219001,0.040262298
1,delta_dist,2644,0.063079752,0.001244266,0.040229359
1,aoi_bias,2644,0.063140866,0.002346675,0.040253882
1,aoi_year_bias,2644,0.063126599,0.002446557,0.040240560
1,global_bias,2644,0.063130995,0.002443098,0.040230511
1,group_bias_year,2644,0.063131498,0.002445208,0.040228702
1,group_bias_dist,2644,0.063122997,0.002508397,0.040235723
1,group_bias_cohort,2644,0.063130164,0.002408901,0.040241460
70404,base,2644,0.068367574,-0.001664684,0.040158500
70404,global,2644,0.068362341,-0.001660303,0.040102814
70404,group_year_group,2644,0.068341658,-0.001669687,0.040083503
70404,group_cohort,2644,0.068356978,-0.001656640,0.040104668
70404,group_dist_group,2644,0.068362633,-0.001718642,0.040022325
70404,groupweak_year_group,2644,0.068343390,-0.001668876,0.040086061
70404,groupweak_cohort,2644,0.068357812,-0.001657171,0.040103285
70404,groupweak_dist_group,2644,0.068357299,-0.001709475,0.040021393
70404,bin_delta,2644,0.068362387,-0.001680096,0.040107622
70404,bin_dist,2644,0.068360536,-0.001715889,0.040021706
70404,bin_year_dist,2644,0.068391391,-0.001727098,0.040035777
70404,aoi_shrink,2644,0.068323843,-0.001631503,0.040076170
70404,aoi_year_shrink,2644,0.068325632,-0.001634992,0.040079733
70404,aoi_dist_shrink,2644,0.068338263,-0.001644672,0.040081361
70404,base_bin,2644,0.068344381,-0.001611345,0.040090190
70404,delta_dist,2644,0.068349914,-0.001697521,0.040036360
70404,aoi_bias,2644,0.068419456,-0.001780733,0.040174226
70404,aoi_year_bias,2644,0.068397857,-0.001798949,0.040142035
70404,global_bias,2644,0.068367131,-0.001847040,0.040108922
70404,group_bias_year,2644,0.068369460,-0.001840105,0.040106834
70404,group_bias_dist,2644,0.068384090,-0.001752847,0.040167598
70404,group_bias_cohort,2644,0.068365854,-0.001853665,0.040109564
