held_seed,selected_train_policy,policy,train_rmse,test_rmse,test_base
0,cohort_year_dist,cohort_year_dist,0.0655155443,0.0703857997,0.0713661302
0,cohort_year_dist,fixed040,0.0656270423,0.0704468579,0.0713661302
0,cohort_year_dist,predsrc_ls050,0.0656168901,0.0704449083,0.0713661302
0,cohort_year_dist,peer050_purity80_040_fallback025,0.0655480564,0.0705163409,0.0713661302
0,cohort_year_dist,distance504030,0.0655497127,0.0704140180,0.0713661302
0,cohort_year_dist,cohort_year_dist,0.0655155443,0.0703857997,0.0713661302
0,cohort_year_dist,cohort_year_dist_src,0.0655246372,0.0703914645,0.0713661302
1,cohort_year_dist,cohort_year_dist,0.0679685835,0.0630224991,0.0644679552
1,cohort_year_dist,fixed040,0.0680710832,0.0631068041,0.0644679552
1,cohort_year_dist,predsrc_ls050,0.0680674471,0.0630847195,0.0644679552
1,cohort_year_dist,peer050_purity80_040_fallback025,0.0680496645,0.0630073560,0.0644679552
1,cohort_year_dist,distance504030,0.0680177830,0.0630013650,0.0644679552
1,cohort_year_dist,cohort_year_dist,0.0679685835,0.0630224991,0.0644679552
1,cohort_year_dist,cohort_year_dist_src,0.0679833252,0.0630094833,0.0644679552
2,cohort_year_dist,cohort_year_dist,0.0672998003,0.0651400880,0.0668046092
2,cohort_year_dist,fixed040,0.0673779234,0.0653003225,0.0668046092
2,cohort_year_dist,predsrc_ls050,0.0673630420,0.0653136711,0.0668046092
2,cohort_year_dist,peer050_purity80_040_fallback025,0.0673729906,0.0651524202,0.0668046092
2,cohort_year_dist,distance504030,0.0673287525,0.0651839374,0.0668046092
2,cohort_year_dist,cohort_year_dist,0.0672998003,0.0651400880,0.0668046092
2,cohort_year_dist,cohort_year_dist_src,0.0673018226,0.0651673733,0.0668046092
70404,cohort_year_dist,cohort_year_dist,0.0662551313,0.0682773255,0.0694751110
70404,cohort_year_dist,fixed040,0.0663560111,0.0683675741,0.0694751110
70404,cohort_year_dist,predsrc_ls050,0.0663527004,0.0683459680,0.0694751110
70404,cohort_year_dist,peer050_purity80_040_fallback025,0.0663006262,0.0683730820,0.0694751110
70404,cohort_year_dist,distance504030,0.0662727989,0.0683533233,0.0694751110
70404,cohort_year_dist,cohort_year_dist,0.0662551313,0.0682773255,0.0694751110
70404,cohort_year_dist,cohort_year_dist_src,0.0662619544,0.0682894774,0.0694751110
