route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,fixed040,all,10576,0.0668645755,0.0680787938
crop_hier_n1_p67,fixed040,seed0,2644,0.0704468579,0.0713661302
crop_hier_n1_p67,fixed040,seed1,2644,0.0631068041,0.0644679552
crop_hier_n1_p67,fixed040,seed2,2644,0.0653003225,0.0668046092
crop_hier_n1_p67,fixed040,seed70404,2644,0.0683675741,0.0694751110
crop_hier_n1_p67,fixed040,new2025,1516,0.0779513046,0.0797533421
crop_hier_n1_p67,fixed040,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,fixed040,near,6890,0.0646746564,0.0662006592
crop_hier_n1_p67,fixed040,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,fixed040,far,1975,0.0699433870,0.0700986011
crop_hier_n1_p67,predsrc_ls045,all,10576,0.0668551218,0.0680787938
crop_hier_n1_p67,predsrc_ls045,seed0,2644,0.0704400690,0.0713661302
crop_hier_n1_p67,predsrc_ls045,seed1,2644,0.0630902350,0.0644679552
crop_hier_n1_p67,predsrc_ls045,seed2,2644,0.0653016775,0.0668046092
crop_hier_n1_p67,predsrc_ls045,seed70404,2644,0.0683515843,0.0694751110
crop_hier_n1_p67,predsrc_ls045,new2025,1516,0.0778701561,0.0797533421
crop_hier_n1_p67,predsrc_ls045,shared2025,1508,0.0504816530,0.0513951813
crop_hier_n1_p67,predsrc_ls045,near,6890,0.0646424406,0.0662006592
crop_hier_n1_p67,predsrc_ls045,mid,1711,0.0717645529,0.0729940242
crop_hier_n1_p67,predsrc_ls045,far,1975,0.0699648865,0.0700986011
crop_hier_n1_p67,predsrc_ls050,all,10576,0.0668565889,0.0680787938
crop_hier_n1_p67,predsrc_ls050,seed0,2644,0.0704449083,0.0713661302
crop_hier_n1_p67,predsrc_ls050,seed1,2644,0.0630847195,0.0644679552
crop_hier_n1_p67,predsrc_ls050,seed2,2644,0.0653136711,0.0668046092
crop_hier_n1_p67,predsrc_ls050,seed70404,2644,0.0683459680,0.0694751110
crop_hier_n1_p67,predsrc_ls050,new2025,1516,0.0777952664,0.0797533421
crop_hier_n1_p67,predsrc_ls050,shared2025,1508,0.0505204825,0.0513951813
crop_hier_n1_p67,predsrc_ls050,near,6890,0.0646211594,0.0662006592
crop_hier_n1_p67,predsrc_ls050,mid,1711,0.0718125213,0.0729940242
crop_hier_n1_p67,predsrc_ls050,far,1975,0.0699983285,0.0700986011
crop_hier_n1_p67,predsrc_ls055,all,10576,0.0668689761,0.0680787938
crop_hier_n1_p67,predsrc_ls055,seed0,2644,0.0704613734,0.0713661302
crop_hier_n1_p67,predsrc_ls055,seed1,2644,0.0630902605,0.0644679552
crop_hier_n1_p67,predsrc_ls055,seed2,2644,0.0653362976,0.0668046092
crop_hier_n1_p67,predsrc_ls055,seed70404,2644,0.0683507277,0.0694751110
crop_hier_n1_p67,predsrc_ls055,new2025,1516,0.0777266536,0.0797533421
crop_hier_n1_p67,predsrc_ls055,shared2025,1508,0.0505690996,0.0513951813
crop_hier_n1_p67,predsrc_ls055,near,6890,0.0646108238,0.0662006592
crop_hier_n1_p67,predsrc_ls055,mid,1711,0.0718701767,0.0729940242
crop_hier_n1_p67,predsrc_ls055,far,1975,0.0700436961,0.0700986011
crop_hier_n1_p67,predsrc_ls050_nonls035,all,10576,0.0668827840,0.0680787938
crop_hier_n1_p67,predsrc_ls050_nonls035,seed0,2644,0.0704403794,0.0713661302
crop_hier_n1_p67,predsrc_ls050_nonls035,seed1,2644,0.0631176297,0.0644679552
crop_hier_n1_p67,predsrc_ls050_nonls035,seed2,2644,0.0653868099,0.0668046092
crop_hier_n1_p67,predsrc_ls050_nonls035,seed70404,2644,0.0683528349,0.0694751110
crop_hier_n1_p67,predsrc_ls050_nonls035,new2025,1516,0.0778513311,0.0797533421
crop_hier_n1_p67,predsrc_ls050_nonls035,shared2025,1508,0.0505327851,0.0513951813
crop_hier_n1_p67,predsrc_ls050_nonls035,near,6890,0.0646590805,0.0662006592
crop_hier_n1_p67,predsrc_ls050_nonls035,mid,1711,0.0718988028,0.0729940242
crop_hier_n1_p67,predsrc_ls050_nonls035,far,1975,0.0699334052,0.0700986011
crop_hier_n1_p67,peer050_fallback025,all,10576,0.0668257337,0.0680787938
crop_hier_n1_p67,peer050_fallback025,seed0,2644,0.0705147094,0.0713661302
crop_hier_n1_p67,peer050_fallback025,seed1,2644,0.0630044086,0.0644679552
crop_hier_n1_p67,peer050_fallback025,seed2,2644,0.0651613195,0.0668046092
