seed,method,alpha,n,rmse
2,post_mode,0.0000000000,2644,0.0668046092
2,post_mode,0.0500000000,2644,0.0666991556
2,post_mode,0.1000000000,2644,0.0666184539
2,post_mode,0.1500000000,2644,0.0665625941
2,post_mode,0.2000000000,2644,0.0665316390
2,post_mode,0.2500000000,2644,0.0665256231
2,post_mode,0.3000000000,2644,0.0665445532
2,post_mode,0.3500000000,2644,0.0665884082
2,post_mode,0.4000000000,2644,0.0666571388
2,post_mode,0.4500000000,2644,0.0667506681
2,post_mode,0.5000000000,2644,0.0668688922
2,post_mode,0.5500000000,2644,0.0670116802
2,post_mode,0.6000000000,2644,0.0671788756
2,post_mode,0.6500000000,2644,0.0673702966
2,post_mode,0.7000000000,2644,0.0675857375
2,post_mode,0.7500000000,2644,0.0678249693
2,post_mode,0.8000000000,2644,0.0680877412
2,crop_hier_n1_p00,0.0000000000,2644,0.0668046092
2,crop_hier_n1_p00,0.0500000000,2644,0.0665100543
2,crop_hier_n1_p00,0.1000000000,2644,0.0662462413
2,crop_hier_n1_p00,0.1500000000,2644,0.0660135389
2,crop_hier_n1_p00,0.2000000000,2644,0.0658122771
2,crop_hier_n1_p00,0.2500000000,2644,0.0656427449
2,crop_hier_n1_p00,0.3000000000,2644,0.0655051889
2,crop_hier_n1_p00,0.3500000000,2644,0.0653998108
2,crop_hier_n1_p00,0.4000000000,2644,0.0653267662
2,crop_hier_n1_p00,0.4500000000,2644,0.0652861638
2,crop_hier_n1_p00,0.5000000000,2644,0.0652780640
2,crop_hier_n1_p00,0.5500000000,2644,0.0653024790
2,crop_hier_n1_p00,0.6000000000,2644,0.0653593722
2,crop_hier_n1_p00,0.6500000000,2644,0.0654486591
2,crop_hier_n1_p00,0.7000000000,2644,0.0655702073
2,crop_hier_n1_p00,0.7500000000,2644,0.0657238377
2,crop_hier_n1_p00,0.8000000000,2644,0.0659093261
2,crop_hier_n1_p67,0.0000000000,2644,0.0668046092
2,crop_hier_n1_p67,0.0500000000,2644,0.0665127567
2,crop_hier_n1_p67,0.1000000000,2644,0.0662499613
2,crop_hier_n1_p67,0.1500000000,2644,0.0660165701
2,crop_hier_n1_p67,0.2000000000,2644,0.0658128960
2,crop_hier_n1_p67,0.2500000000,2644,0.0656392155
2,crop_hier_n1_p67,0.3000000000,2644,0.0654957672
2,crop_hier_n1_p67,0.3500000000,2644,0.0653827503
2,crop_hier_n1_p67,0.4000000000,2644,0.0653003225
2,crop_hier_n1_p67,0.4500000000,2644,0.0652486000
2,crop_hier_n1_p67,0.5000000000,2644,0.0652276557
2,crop_hier_n1_p67,0.5500000000,2644,0.0652375193
2,crop_hier_n1_p67,0.6000000000,2644,0.0652781767
2,crop_hier_n1_p67,0.6500000000,2644,0.0653495706
2,crop_hier_n1_p67,0.7000000000,2644,0.0654516004
2,crop_hier_n1_p67,0.7500000000,2644,0.0655841230
2,crop_hier_n1_p67,0.8000000000,2644,0.0657469541
2,crop_hier_n1_p80,0.0000000000,2644,0.0668046092
2,crop_hier_n1_p80,0.0500000000,2644,0.0665158651
2,crop_hier_n1_p80,0.1000000000,2644,0.0662561969
2,crop_hier_n1_p80,0.1500000000,2644,0.0660259478
2,crop_hier_n1_p80,0.2000000000,2644,0.0658254263
2,crop_hier_n1_p80,0.2500000000,2644,0.0656549050
2,crop_hier_n1_p80,0.3000000000,2644,0.0655146181
2,crop_hier_n1_p80,0.3500000000,2644,0.0654047600
