route,slice,n,alpha_opt,rmse_opt,rmse040,rmse_base
crop_hier_n1_p67,all,10576,0.4514623891,0.0668484434,0.0668645755,0.0680787938
crop_hier_n1_p67,near,6890,0.5016947586,0.0646084636,0.0646746564,0.0662006592
crop_hier_n1_p67,mid,1711,0.4743772946,0.0716940513,0.0717262908,0.0729940242
crop_hier_n1_p67,far,1975,0.2361940108,0.0697992441,0.0699433870,0.0700986011
crop_hier_n1_p67,history,7552,0.4267503371,0.0673233858,0.0673278752,0.0684564515
crop_hier_n1_p67,2025,3024,0.5220254156,0.0656094966,0.0656932844,0.0671263704
crop_hier_n1_p67,new,9068,0.4639725434,0.0691929926,0.0692175138,0.0704712639
crop_hier_n1_p67,shared,1508,0.3654451297,0.0504440505,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025,1516,0.6721804356,0.0775929854,0.0779513046,0.0797533421
crop_hier_n1_p67,shared2025,1508,0.3654451297,0.0504440505,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_near,1408,0.6984542399,0.0765379720,0.0769767045,0.0789108893
crop_hier_n1_p67,new2025_far,18,0.8124376902,0.0907739051,0.0913982465,0.0931731510
crop_hier_n1_p67,shared2025_near,1431,0.3648651287,0.0503792594,0.0503883778,0.0513532772
crop_hier_n1_p67,shared2025_far,10,0.4425615334,0.0969059347,0.0969101508,0.0973607376
crop_hier_n1_p67,source_s2,4693,0.4299183176,0.0655103128,0.0655151433,0.0665003066
crop_hier_n1_p67,source_landsat,4065,0.4971388826,0.0697716055,0.0698226332,0.0710960435
crop_hier_n1_p67,source_modis,1818,0.4206256343,0.0634619438,0.0634660495,0.0651471604
soft_all_r1_l0_p4,all,10576,0.4515553813,0.0669485236,0.0669633799,0.0680787938
soft_all_r1_l0_p4,near,6890,0.4940737672,0.0647326953,0.0647864956,0.0662006592
soft_all_r1_l0_p4,mid,1711,0.4770485152,0.0717829638,0.0718148147,0.0729940242
soft_all_r1_l0_p4,far,1975,0.2262063005,0.0698815480,0.0700097516,0.0700986011
soft_all_r1_l0_p4,history,7552,0.4342944593,0.0673889393,0.0673956483,0.0684564515
soft_all_r1_l0_p4,2025,3024,0.4990665599,0.0658194784,0.0658714655,0.0671263704
soft_all_r1_l0_p4,new,9068,0.4674084737,0.0692872337,0.0693120660,0.0704712639
soft_all_r1_l0_p4,shared,1508,0.3476061739,0.0505720575,0.0505909066,0.0513951813
soft_all_r1_l0_p4,new2025,1516,0.6484578399,0.0778846865,0.0781618131,0.0797533421
soft_all_r1_l0_p4,shared2025,1508,0.3476061739,0.0505720575,0.0505909066,0.0513951813
soft_all_r1_l0_p4,new2025_near,1408,0.6841438630,0.0767709088,0.0771442860,0.0789108893
soft_all_r1_l0_p4,new2025_far,18,0.8199857712,0.0908564089,0.0914698496,0.0931731510
soft_all_r1_l0_p4,shared2025_near,1431,0.3545528976,0.0504682682,0.0504829347,0.0513532772
soft_all_r1_l0_p4,shared2025_far,10,0.4666509302,0.0968677113,0.0968777940,0.0973607376
soft_all_r1_l0_p4,source_s2,4693,0.4732575324,0.0653723880,0.0653996418,0.0665003066
soft_all_r1_l0_p4,source_landsat,4065,0.4430392853,0.0701736398,0.0701824014,0.0710960435
soft_all_r1_l0_p4,source_modis,1818,0.4302972349,0.0634839296,0.0634922827,0.0651471604
soft_all_r2_l0_p4,all,10576,0.4603846233,0.0669058217,0.0669261744,0.0680787938
soft_all_r2_l0_p4,near,6890,0.5066770920,0.0646602035,0.0647292656,0.0662006592
soft_all_r2_l0_p4,mid,1711,0.4787298717,0.0717750075,0.0718082489,0.0729940242
soft_all_r2_l0_p4,far,1975,0.2262063006,0.0698815480,0.0700097516,0.0700986011
soft_all_r2_l0_p4,history,7552,0.4347712262,0.0673773535,0.0673843105,0.0684564515
soft_all_r2_l0_p4,2025,3024,0.5337553980,0.0656760972,0.0657681109,0.0671263704
soft_all_r2_l0_p4,new,9068,0.4702845698,0.0692720839,0.0692990950,0.0704712639
soft_all_r2_l0_p4,shared,1508,0.3943247634,0.0503516957,0.0503519141,0.0513951813
soft_all_r2_l0_p4,new2025,1516,0.6752489849,0.0778165741,0.0781417109,0.0797533421
soft_all_r2_l0_p4,shared2025,1508,0.3943247634,0.0503516957,0.0503519141,0.0513951813
soft_all_r2_l0_p4,new2025_near,1408,0.7096588664,0.0767091971,0.0771332440,0.0789108893
soft_all_r2_l0_p4,new2025_far,18,0.8199857712,0.0908564089,0.0914698496,0.0931731510
soft_all_r2_l0_p4,shared2025_near,1431,0.4038030341,0.0502251813,0.0502252825,0.0513532772
soft_all_r2_l0_p4,shared2025_far,10,0.4666508908,0.0968677113,0.0968777940,0.0973607376
soft_all_r2_l0_p4,source_s2,4693,0.4803407153,0.0653321691,0.0653651318,0.0665003066
soft_all_r2_l0_p4,source_landsat,4065,0.4794511926,0.0699923369,0.0700228778,0.0710960435
soft_all_r2_l0_p4,source_modis,1818,0.4032897370,0.0637490250,0.0637491190,0.0651471604
