route,held_seed,selected_train_policy,policy,train_rmse,test_rmse,test_base
crop_hier_n1_p67,0,cohort_year_dist,cohort_year_dist,0.0655155443,0.0703857997,0.0713661302
crop_hier_n1_p67,0,cohort_year_dist,fixed040,0.0656270423,0.0704468579,0.0713661302
crop_hier_n1_p67,0,cohort_year_dist,distance_50_40_30,0.0655497127,0.0704140180,0.0713661302
crop_hier_n1_p67,0,cohort_year_dist,cohort_year_dist,0.0655155443,0.0703857997,0.0713661302
crop_hier_n1_p67,1,cohort_year_dist,cohort_year_dist,0.0679685835,0.0630224991,0.0644679552
crop_hier_n1_p67,1,cohort_year_dist,fixed040,0.0680710832,0.0631068041,0.0644679552
crop_hier_n1_p67,1,cohort_year_dist,distance_50_40_30,0.0680177830,0.0630013650,0.0644679552
crop_hier_n1_p67,1,cohort_year_dist,cohort_year_dist,0.0679685835,0.0630224991,0.0644679552
crop_hier_n1_p67,2,cohort_year_dist,cohort_year_dist,0.0672998003,0.0651400880,0.0668046092
crop_hier_n1_p67,2,cohort_year_dist,fixed040,0.0673779234,0.0653003225,0.0668046092
crop_hier_n1_p67,2,cohort_year_dist,distance_50_40_30,0.0673287525,0.0651839374,0.0668046092
crop_hier_n1_p67,2,cohort_year_dist,cohort_year_dist,0.0672998003,0.0651400880,0.0668046092
crop_hier_n1_p67,70404,cohort_year_dist,cohort_year_dist,0.0662551313,0.0682773255,0.0694751110
crop_hier_n1_p67,70404,cohort_year_dist,fixed040,0.0663560111,0.0683675741,0.0694751110
crop_hier_n1_p67,70404,cohort_year_dist,distance_50_40_30,0.0662727989,0.0683533233,0.0694751110
crop_hier_n1_p67,70404,cohort_year_dist,cohort_year_dist,0.0662551313,0.0682773255,0.0694751110
soft_all_r1_l0_p4,0,cohort_year_dist,cohort_year_dist,0.0656324389,0.0704941152,0.0713661302
soft_all_r1_l0_p4,0,cohort_year_dist,fixed040,0.0657307237,0.0705322115,0.0713661302
soft_all_r1_l0_p4,0,cohort_year_dist,distance_50_40_30,0.0656544689,0.0705392189,0.0713661302
soft_all_r1_l0_p4,0,cohort_year_dist,cohort_year_dist,0.0656324389,0.0704941152,0.0713661302
soft_all_r1_l0_p4,1,cohort_year_dist,cohort_year_dist,0.0680461119,0.0632570261,0.0644679552
soft_all_r1_l0_p4,1,cohort_year_dist,fixed040,0.0681386375,0.0633068339,0.0644679552
soft_all_r1_l0_p4,1,cohort_year_dist,distance_50_40_30,0.0680936883,0.0632222914,0.0644679552
soft_all_r1_l0_p4,1,cohort_year_dist,cohort_year_dist,0.0680461119,0.0632570261,0.0644679552
soft_all_r1_l0_p4,2,cohort_year_dist,cohort_year_dist,0.0674080003,0.0652744656,0.0668046092
soft_all_r1_l0_p4,2,cohort_year_dist,fixed040,0.0674684488,0.0654247829,0.0668046092
soft_all_r1_l0_p4,2,cohort_year_dist,distance_50_40_30,0.0674343235,0.0653080800,0.0668046092
soft_all_r1_l0_p4,2,cohort_year_dist,cohort_year_dist,0.0674080003,0.0652744656,0.0668046092
soft_all_r1_l0_p4,70404,cohort_year_dist,cohort_year_dist,0.0664119153,0.0682689086,0.0694751110
soft_all_r1_l0_p4,70404,cohort_year_dist,fixed040,0.0664904763,0.0683624653,0.0694751110
soft_all_r1_l0_p4,70404,cohort_year_dist,distance_50_40_30,0.0664278677,0.0683324552,0.0694751110
soft_all_r1_l0_p4,70404,cohort_year_dist,cohort_year_dist,0.0664119153,0.0682689086,0.0694751110
soft_all_r2_l0_p4,0,dist_new2025_0.70,dist_new2025_0.70,0.0656195236,0.0703852182,0.0713661302
soft_all_r2_l0_p4,0,dist_new2025_0.70,fixed040,0.0657252318,0.0704062001,0.0713661302
soft_all_r2_l0_p4,0,dist_new2025_0.70,distance_50_40_30,0.0656465095,0.0703838221,0.0713661302
soft_all_r2_l0_p4,0,dist_new2025_0.70,cohort_year_dist,0.0656246622,0.0703647156,0.0713661302
