route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,fixed040,all,10576,0.0668645755,0.0680787938
crop_hier_n1_p67,fixed040,near,6890,0.0646746564,0.0662006592
crop_hier_n1_p67,fixed040,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,fixed040,far,1975,0.0699433870,0.0700986011
crop_hier_n1_p67,fixed040,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,fixed040,2025,3024,0.0656932844,0.0671263704
crop_hier_n1_p67,fixed040,new,9068,0.0692175138,0.0704712639
crop_hier_n1_p67,fixed040,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,fixed040,new2025,1516,0.0779513046,0.0797533421
crop_hier_n1_p67,fixed040,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,fixed040,new2025_near,1408,0.0769767045,0.0789108893
crop_hier_n1_p67,fixed040,new2025_far,18,0.0913982465,0.0931731510
crop_hier_n1_p67,fixed040,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,fixed040,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,fixed040,source_s2,4693,0.0655151433,0.0665003066
crop_hier_n1_p67,fixed040,source_landsat,4065,0.0698226332,0.0710960435
crop_hier_n1_p67,fixed040,source_modis,1818,0.0634660495,0.0651471604
crop_hier_n1_p67,fixed045,all,10576,0.0668484564,0.0680787938
crop_hier_n1_p67,fixed045,near,6890,0.0646255745,0.0662006592
crop_hier_n1_p67,fixed045,mid,1711,0.0716975152,0.0729940242
crop_hier_n1_p67,fixed045,far,1975,0.0700446353,0.0700986011
crop_hier_n1_p67,fixed045,history,7552,0.0673267771,0.0684564515
crop_hier_n1_p67,fixed045,2025,3024,0.0656386999,0.0671263704
crop_hier_n1_p67,fixed045,new,9068,0.0691941626,0.0704712639
crop_hier_n1_p67,fixed045,shared,1508,0.0504954226,0.0513951813
crop_hier_n1_p67,fixed045,new2025,1516,0.0778319322,0.0797533421
crop_hier_n1_p67,fixed045,shared2025,1508,0.0504954226,0.0513951813
crop_hier_n1_p67,fixed045,new2025_near,1408,0.0768422829,0.0789108893
crop_hier_n1_p67,fixed045,new2025_far,18,0.0912564197,0.0931731510
crop_hier_n1_p67,fixed045,shared2025_near,1431,0.0504327731,0.0513532772
crop_hier_n1_p67,fixed045,shared2025_far,10,0.0969060634,0.0973607376
crop_hier_n1_p67,fixed045,source_s2,4693,0.0655124891,0.0665003066
crop_hier_n1_p67,fixed045,source_landsat,4065,0.0697836253,0.0710960435
crop_hier_n1_p67,fixed045,source_modis,1818,0.0634702710,0.0651471604
crop_hier_n1_p67,distance_50_40_30,all,10576,0.0667990053,0.0680787938
crop_hier_n1_p67,distance_50_40_30,near,6890,0.0646084820,0.0662006592
crop_hier_n1_p67,distance_50_40_30,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,distance_50_40_30,far,1975,0.0698211337,0.0700986011
crop_hier_n1_p67,distance_50_40_30,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,distance_50_40_30,2025,3024,0.0656087384,0.0671263704
crop_hier_n1_p67,distance_50_40_30,new,9068,0.0691291051,0.0704712639
crop_hier_n1_p67,distance_50_40_30,shared,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,distance_50_40_30,new2025,1516,0.0777318742,0.0797533421
crop_hier_n1_p67,distance_50_40_30,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,distance_50_40_30,new2025_near,1408,0.0767322650,0.0789108893
crop_hier_n1_p67,distance_50_40_30,new2025_far,18,0.0917359234,0.0931731510
crop_hier_n1_p67,distance_50_40_30,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,distance_50_40_30,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,distance_50_40_30,source_s2,4693,0.0654294253,0.0665003066
crop_hier_n1_p67,distance_50_40_30,source_landsat,4065,0.0697107449,0.0710960435
crop_hier_n1_p67,distance_50_40_30,source_modis,1818,0.0635675763,0.0651471604
crop_hier_n1_p67,distance_50_45_25,all,10576,0.0667899349,0.0680787938
crop_hier_n1_p67,distance_50_45_25,near,6890,0.0646084820,0.0662006592
crop_hier_n1_p67,distance_50_45_25,mid,1711,0.0716975152,0.0729940242
crop_hier_n1_p67,distance_50_45_25,far,1975,0.0698002691,0.0700986011
crop_hier_n1_p67,distance_50_45_25,history,7552,0.0672549065,0.0684564515
crop_hier_n1_p67,distance_50_45_25,2025,3024,0.0656143481,0.0671263704
crop_hier_n1_p67,distance_50_45_25,new,9068,0.0691187296,0.0704712639
crop_hier_n1_p67,distance_50_45_25,shared,1508,0.0505734860,0.0513951813
crop_hier_n1_p67,distance_50_45_25,new2025,1516,0.0777405035,0.0797533421
crop_hier_n1_p67,distance_50_45_25,shared2025,1508,0.0505734860,0.0513951813
crop_hier_n1_p67,distance_50_45_25,new2025_near,1408,0.0767322650,0.0789108893
crop_hier_n1_p67,distance_50_45_25,new2025_far,18,0.0919315750,0.0931731510
crop_hier_n1_p67,distance_50_45_25,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,distance_50_45_25,shared2025_far,10,0.0969922007,0.0973607376
crop_hier_n1_p67,distance_50_45_25,source_s2,4693,0.0654346746,0.0665003066
crop_hier_n1_p67,distance_50_45_25,source_landsat,4065,0.0697295746,0.0710960435
crop_hier_n1_p67,distance_50_45_25,source_modis,1818,0.0634519008,0.0651471604
crop_hier_n1_p67,distance_45_40_30,all,10576,0.0668097760,0.0680787938
crop_hier_n1_p67,distance_45_40_30,near,6890,0.0646255745,0.0662006592
crop_hier_n1_p67,distance_45_40_30,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,distance_45_40_30,far,1975,0.0698211337,0.0700986011
crop_hier_n1_p67,distance_45_40_30,history,7552,0.0672728224,0.0684564515
crop_hier_n1_p67,distance_45_40_30,2025,3024,0.0656391212,0.0671263704
crop_hier_n1_p67,distance_45_40_30,new,9068,0.0691505979,0.0704712639
crop_hier_n1_p67,distance_45_40_30,shared,1508,0.0504952578,0.0513951813
crop_hier_n1_p67,distance_45_40_30,new2025,1516,0.0778327473,0.0797533421
crop_hier_n1_p67,distance_45_40_30,shared2025,1508,0.0504952578,0.0513951813
crop_hier_n1_p67,distance_45_40_30,new2025_near,1408,0.0768422829,0.0789108893
crop_hier_n1_p67,distance_45_40_30,new2025_far,18,0.0917359234,0.0931731510
crop_hier_n1_p67,distance_45_40_30,shared2025_near,1431,0.0504327731,0.0513532772
crop_hier_n1_p67,distance_45_40_30,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,distance_45_40_30,source_s2,4693,0.0654477381,0.0665003066
crop_hier_n1_p67,distance_45_40_30,source_landsat,4065,0.0697559762,0.0710960435
crop_hier_n1_p67,distance_45_40_30,source_modis,1818,0.0634737448,0.0651471604
