anon_polygon_id,date,truth,true_src,year,cohort,near_dist,baseline,expert_post_mode,blend_post_mode_0.40,expert_crop_hier_n1_p67,blend_crop_hier_n1_p67_0.40,expert_soft_all_r1_l0_p4,blend_soft_all_r1_l0_p4_0.40,expert_soft_crop_r1_l0_p4,blend_soft_crop_r1_l0_p4_0.40,expert_soft_all_r2_l0_p4,blend_soft_all_r2_l0_p4_0.40,expert_soft_all_r32_l0_p4,blend_soft_all_r32_l0_p4_0.40
AOI-0001,2010-04-24,0.826187027,landsat,2010,new,12.000000000,0.734382361,0.750040323,0.740645546,0.750040323,0.740645546,0.750040322,0.740645545,0.750040322,0.740645545,0.750040322,0.740645545,0.750040323,0.740645546
AOI-0001,2010-05-18,0.815457015,landsat,2010,new,9.000000000,0.800951847,0.823708751,0.810054609,0.823708751,0.810054609,0.823708750,0.810054608,0.823708750,0.810054608,0.823708750,0.810054608,0.823708751,0.810054609
AOI-0001,2010-05-25,0.842734749,modis,2010,new,9.000000000,0.766772663,0.775900827,0.770423929,0.775900827,0.770423929,0.775900827,0.770423929,0.775900827,0.770423929,0.775900827,0.770423929,0.775900827,0.770423929
AOI-0001,2010-08-30,0.158961740,landsat,2010,new,9.000000000,0.180888555,0.179289314,0.180248859,0.179289314,0.180248859,0.179289314,0.180248859,0.179289314,0.180248859,0.179289314,0.180248859,0.179289314,0.180248859
AOI-0001,2011-04-18,0.178934001,landsat,2011,new,13.000000000,0.175898293,0.199102612,0.185180021,0.199102612,0.185180021,0.199102614,0.185180022,0.199102614,0.185180022,0.199102614,0.185180022,0.199102612,0.185180021
AOI-0001,2011-06-05,0.509495199,landsat,2011,new,12.000000000,0.516497547,0.475283685,0.500012002,0.475283685,0.500012002,0.475283687,0.500012003,0.475283687,0.500012003,0.475283687,0.500012003,0.475283685,0.500012002
AOI-0001,2011-07-15,0.749625255,landsat,2011,new,13.000000000,0.711259961,0.680131658,0.698808640,0.680131658,0.698808640,0.680131656,0.698808639,0.680131656,0.698808639,0.680131656,0.698808639,0.680131658,0.698808640
AOI-0001,2011-08-17,0.353730546,landsat,2011,new,9.000000000,0.405688770,0.406314402,0.405939023,0.406314402,0.405939023,0.406314402,0.405939023,0.406314402,0.405939023,0.406314402,0.405939023,0.406314402,0.405939023
AOI-0001,2011-09-02,0.340670922,landsat,2011,new,12.000000000,0.367258979,0.363401495,0.365715986,0.363401495,0.365715986,0.363401495,0.365715986,0.363401495,0.365715986,0.363401495,0.365715986,0.363401495,0.365715986
AOI-0001,2012-05-06,0.773129315,landsat,2012,new,12.000000000,0.774860588,0.797325816,0.783846679,0.797325816,0.783846679,0.797325813,0.783846678,0.797325813,0.783846678,0.797325813,0.783846678,0.797325816,0.783846679
