seed,method,slice,n,alpha_opt,rmse_opt,rmse_a040,rmse_baseline
2,post_mode,all,2644,0.2370569040,0.0665247871,0.0666571388,0.0668046092
2,post_mode,history,1888,0.2717753600,0.0623267209,0.0624187669,0.0627391677
2,post_mode,2025,756,0.1322619270,0.0759472606,0.0762194601,0.0760137763
2,post_mode,new,2267,0.2809462143,0.0689018097,0.0689716680,0.0692899392
2,post_mode,shared,377,0.0000000000,0.0492841835,0.0505520504,0.0492841835
2,post_mode,new_2025,379,0.3354190810,0.0950983104,0.0951111531,0.0954441404
2,post_mode,shared_2025,377,0.0000000000,0.0492841835,0.0505520504,0.0492841835
2,post_mode,near_0_2,1725,0.1308416206,0.0650546572,0.0654052616,0.0651376777
2,post_mode,mid_2_8,425,0.6892006076,0.0698486994,0.0704084630,0.0729707172
2,post_mode,far_or_none,494,0.0000000000,0.0670027871,0.0676617837,0.0670027871
2,post_mode,source_s2,1186,0.4387337609,0.0619850644,0.0619920461,0.0628744879
2,post_mode,source_landsat,1025,0.0818688565,0.0729942797,0.0733496926,0.0730178705
2,post_mode,source_modis,433,0.1337224977,0.0614802171,0.0622009014,0.0616627658
2,crop_hier_n1_p67,all,2644,0.5089927364,0.0652271573,0.0653003225,0.0668046092
2,crop_hier_n1_p67,history,1888,0.4932285097,0.0610997175,0.0611590478,0.0627391677
2,crop_hier_n1_p67,2025,756,0.5541624460,0.0745299744,0.0746458583,0.0760137763
2,crop_hier_n1_p67,new,2267,0.5338816094,0.0676084628,0.0677154339,0.0692899392
2,crop_hier_n1_p67,shared,377,0.3543774802,0.0482779161,0.0482947648,0.0492841835
2,crop_hier_n1_p67,new_2025,379,0.7848942090,0.0932458082,0.0937791469,0.0954441404
2,crop_hier_n1_p67,shared_2025,377,0.3543774802,0.0482779161,0.0482947648,0.0492841835
2,crop_hier_n1_p67,near_0_2,1725,0.5466526884,0.0632033090,0.0633445000,0.0651376777
2,crop_hier_n1_p67,mid_2_8,425,0.6538709405,0.0702339633,0.0706533002,0.0729707172
2,crop_hier_n1_p67,far_or_none,494,0.1444722690,0.0669072171,0.0672057354,0.0670027871
2,crop_hier_n1_p67,source_s2,1186,0.5186364397,0.0613695792,0.0614492375,0.0628744879
2,crop_hier_n1_p67,source_landsat,1025,0.5541871396,0.0715087858,0.0716267357,0.0730178705
2,crop_hier_n1_p67,source_modis,433,0.4377360351,0.0595703169,0.0595861383,0.0616627658
2,soft_all_r1_l0_p4,all,2644,0.5030736185,0.0653636549,0.0654247829,0.0668046092
2,soft_all_r1_l0_p4,history,1888,0.5020896479,0.0611915292,0.0612562879,0.0627391677
2,soft_all_r1_l0_p4,2025,756,0.5056285793,0.0747730852,0.0748276601,0.0760137763
2,soft_all_r1_l0_p4,new,2267,0.5311252782,0.0677443429,0.0678395559,0.0692899392
2,soft_all_r1_l0_p4,shared,377,0.3370303140,0.0483972220,0.0484284577,0.0492841835
2,soft_all_r1_l0_p4,new_2025,379,0.6881286991,0.0936892829,0.0939993145,0.0954441404
2,soft_all_r1_l0_p4,shared_2025,377,0.3370303140,0.0483972220,0.0484284577,0.0492841835
2,soft_all_r1_l0_p4,near_0_2,1725,0.5443920544,0.0632501143,0.0633847422,0.0651376777
