fallback,held_seed,test_rmse,test_base,test_current
current_post,0,0.0703032685,0.0713661302,0.0714588108
current_post,1,0.0627891573,0.0644679552,0.0646809793
current_post,2,0.0651086475,0.0668046092,0.0667951150
current_post,70404,0.0680908876,0.0694751110,0.0695489798
sp4_sched,0,0.0702361746,0.0713661302,0.0714588108
sp4_sched,1,0.0628229946,0.0644679552,0.0646809793
sp4_sched,2,0.0652233215,0.0668046092,0.0667951150
sp4_sched,70404,0.0681537379,0.0694751110,0.0695489798
sp1_temp1,0,0.0703822422,0.0713661302,0.0714588108
sp1_temp1,1,0.0629104022,0.0644679552,0.0646809793
sp1_temp1,2,0.0652013337,0.0668046092,0.0667951150
sp1_temp1,70404,0.0681631483,0.0694751110,0.0695489798
sp2_temp2,0,0.0703826273,0.0713661302,0.0714588108
sp2_temp2,1,0.0629387153,0.0644679552,0.0646809793
sp2_temp2,2,0.0651994599,0.0668046092,0.0667951150
sp2_temp2,70404,0.0681716341,0.0694751110,0.0695489798
sp1_cross,0,0.0704054510,0.0713661302,0.0714588108
sp1_cross,1,0.0629065175,0.0644679552,0.0646809793
sp1_cross,2,0.0655262527,0.0668046092,0.0667951150
sp1_cross,70404,0.0683335248,0.0694751110,0.0695489798
sp1_doy,0,0.0703657414,0.0713661302,0.0714588108
sp1_doy,1,0.0630035106,0.0644679552,0.0646809793
sp1_doy,2,0.0654639839,0.0668046092,0.0667951150
sp1_doy,70404,0.0682135160,0.0694751110,0.0695489798
doy_crop,0,0.0702538501,0.0713661302,0.0714588108
doy_crop,1,0.0629923530,0.0644679552,0.0646809793
doy_crop,2,0.0654561753,0.0668046092,0.0667951150
doy_crop,70404,0.0681772588,0.0694751110,0.0695489798
doy,0,0.0703657414,0.0713661302,0.0714588108
doy,1,0.0630035106,0.0644679552,0.0646809793
doy,2,0.0654639839,0.0668046092,0.0667951150
doy,70404,0.0682135160,0.0694751110,0.0695489798
