fallback,policy,n,rmse,base_rmse,per_seed,fallback_rows
current_post,cyd,10576,0.0666343245,0.0680787938,0:0.070303;1:0.062789;2:0.065109;70404:0.068091,304
sp4_sched,cyd,10576,0.0666687005,0.0680787938,0:0.070236;1:0.062823;2:0.065223;70404:0.068154,304
current_post,a040,10576,0.0666939881,0.0680787938,0:0.070282;1:0.062856;2:0.065221;70404:0.068177,304
sp1_temp1,cyd,10576,0.0667248219,0.0680787938,0:0.070382;1:0.062910;2:0.065201;70404:0.068163,304
sp4_sched,a040,10576,0.0667304755,0.0680787938,0:0.070240;1:0.062887;2:0.065303;70404:0.068257,304
sp2_temp2,cyd,10576,0.0667333076,0.0680787938,0:0.070383;1:0.062939;2:0.065199;70404:0.068172,304
sp1_temp1,a040,10576,0.0667741892,0.0680787938,0:0.070361;1:0.062961;2:0.065277;70404:0.068259,304
doy_crop,cyd,10576,0.0667762860,0.0680787938,0:0.070254;1:0.062992;2:0.065456;70404:0.068177,304
sp2_temp2,a040,10576,0.0667804581,0.0680787938,0:0.070366;1:0.062981;2:0.065274;70404:0.068263,304
doy_crop,a040,10576,0.0667913498,0.0680787938,0:0.070213;1:0.062997;2:0.065454;70404:0.068276,304
sp1_doy,cyd,10576,0.0668195272,0.0680787938,0:0.070366;1:0.063004;2:0.065464;70404:0.068214,304
doy,cyd,10576,0.0668195272,0.0680787938,0:0.070366;1:0.063004;2:0.065464;70404:0.068214,304
sp1_doy,a040,10576,0.0668341428,0.0680787938,0:0.070346;1:0.063000;2:0.065457;70404:0.068301,304
doy,a040,10576,0.0668341428,0.0680787938,0:0.070346;1:0.063000;2:0.065457;70404:0.068301,304
sp1_cross,cyd,10576,0.0668530438,0.0680787938,0:0.070405;1:0.062907;2:0.065526;70404:0.068334,304
sp1_cross,a040,10576,0.0668968984,0.0680787938,0:0.070403;1:0.062963;2:0.065551;70404:0.068432,304
current_post,source_acc_fallback,304,,,acc=0.888158,304
sp4_sched,source_acc_fallback,304,,,acc=0.812500,304
sp1_temp1,source_acc_fallback,304,,,acc=0.641447,304
sp2_temp2,source_acc_fallback,304,,,acc=0.641447,304
sp1_cross,source_acc_fallback,304,,,acc=0.506579,304
sp1_doy,source_acc_fallback,304,,,acc=0.447368,304
doy_crop,source_acc_fallback,304,,,acc=0.421053,304
doy,source_acc_fallback,304,,,acc=0.447368,304
