held_seed,selected,policy,train_rmse,test_rmse,test_base
0,cyd,cyd,0.0653655955,0.0703032685,0.0713661302
0,cyd,cyd,0.0653655955,0.0703032685,0.0713661302
0,cyd,a040,0.0654542400,0.0702821429,0.0713661302
0,cyd,ls050,0.0654350387,0.0702456406,0.0713661302
0,cyd,cyd_ls,0.0653796915,0.0703050942,0.0713661302
0,cyd,cyd_srcall,0.0653864648,0.0703239109,0.0713661302
1,cyd,cyd,0.0678676519,0.0627891573,0.0644679552
1,cyd,cyd,0.0678676519,0.0627891573,0.0644679552
1,cyd,a040,0.0679251269,0.0628560547,0.0644679552
1,cyd,ls050,0.0679018281,0.0628307896,0.0644679552
1,cyd,cyd_ls,0.0678836234,0.0627834331,0.0644679552
1,cyd,cyd_srcall,0.0678889020,0.0628085404,0.0644679552
2,cyd,cyd,0.0671351791,0.0651086475,0.0668046092
2,cyd,cyd,0.0671351791,0.0651086475,0.0668046092
2,cyd,a040,0.0671777948,0.0652210386,0.0668046092
2,cyd,ls050,0.0671507385,0.0652074984,0.0668046092
2,cyd,cyd_ls,0.0671423385,0.0651309266,0.0668046092
2,cyd,cyd_srcall,0.0671618909,0.0651111589,0.0668046092
70404,cyd,cyd,0.0661416757,0.0680908876,0.0694751110
70404,cyd,cyd,0.0661416757,0.0680908876,0.0694751110
70404,cyd,a040,0.0661922631,0.0681770131,0.0694751110
70404,cyd,ls050,0.0661669001,0.0681579556,0.0694751110
70404,cyd,cyd_ls,0.0661478227,0.0681154544,0.0694751110
70404,cyd,cyd_srcall,0.0661559476,0.0681307095,0.0694751110
