policy,slice,n,rmse,base_rmse
a040,all,10576,0.0666939881,0.0680787938
a040,seed0,2644,0.0702821429,0.0713661302
a040,seed1,2644,0.0628560547,0.0644679552
a040,seed2,2644,0.0652210386,0.0668046092
a040,seed70404,2644,0.0681770131,0.0694751110
a040,new2025,1516,0.0779525592,0.0797533421
a040,shared2025,1508,0.0504823530,0.0513951813
a040,near,10272,0.0654036166,0.0668212189
a040,mid,222,0.0760858863,0.0764244561
a040,far,82,0.1488967831,0.1504032500
a045,all,10576,0.0666598171,0.0680787938
a045,seed0,2644,0.0702774601,0.0713661302
a045,seed1,2644,0.0627986612,0.0644679552
a045,seed2,2644,0.0651673718,0.0668046092
a045,seed70404,2644,0.0681523683,0.0694751110
a045,new2025,1516,0.0778430319,0.0797533421
a045,shared2025,1508,0.0505291572,0.0513951813
a045,near,10272,0.0653692509,0.0668212189
a045,mid,222,0.0761242020,0.0764244561
a045,far,82,0.1487605821,0.1504032500
a050,all,10576,0.0666569279,0.0680787938
a050,seed0,2644,0.0703020771,0.0713661302
a050,seed1,2644,0.0627738672,0.0644679552
a050,seed2,2644,0.0651463074,0.0668046092
a050,seed70404,2644,0.0681586557,0.0694751110
a050,new2025,1516,0.0777596971,0.0797533421
a050,shared2025,1508,0.0506118301,0.0513951813
a050,near,10272,0.0653670628,0.0668212189
a050,mid,222,0.0761804206,0.0764244561
a050,far,82,0.1486360824,0.1504032500
ls045,all,10576,0.0666766054,0.0680787938
ls045,seed0,2644,0.0702581096,0.0713661302
ls045,seed1,2644,0.0628378773,0.0644679552
ls045,seed2,2644,0.0652087310,0.0668046092
ls045,seed70404,2644,0.0681623024,0.0694751110
ls045,new2025,1516,0.0778826777,0.0797533421
ls045,shared2025,1508,0.0505154317,0.0513951813
ls045,near,10272,0.0653870228,0.0668212189
ls045,mid,222,0.0760661629,0.0764244561
ls045,far,82,0.1488329208,0.1504032500
ls050,all,10576,0.0666702387,0.0680787938
ls050,seed0,2644,0.0702456406,0.0713661302
ls050,seed1,2644,0.0628307896,0.0644679552
ls050,seed2,2644,0.0652074984,0.0668046092
ls050,seed70404,2644,0.0681579556,0.0694751110
ls050,new2025,1516,0.0778184167,0.0797533421
ls050,shared2025,1508,0.0505584570,0.0513951813
ls050,near,10272,0.0653818084,0.0668212189
ls050,mid,222,0.0760509739,0.0764244561
ls050,far,82,0.1487730283,0.1504032500
ls055,all,10576,0.0666748911,0.0680787938
ls055,seed0,2644,0.0702447421,0.0713661302
ls055,seed1,2644,0.0628347954,0.0644679552
ls055,seed2,2644,0.0652173416,0.0668046092
ls055,seed70404,2644,0.0681639747,0.0694751110
ls055,new2025,1516,0.0777597899,0.0797533421
ls055,shared2025,1508,0.0506114035,0.0513951813
ls055,near,10272,0.0653879760,0.0668212189
ls055,mid,222,0.0760403220,0.0764244561
ls055,far,82,0.1487171104,0.1504032500
s2md045,all,10576,0.0666772042,0.0680787938
s2md045,seed0,2644,0.0703014867,0.0713661302
s2md045,seed1,2644,0.0628168499,0.0644679552
s2md045,seed2,2644,0.0651796873,0.0668046092
s2md045,seed70404,2644,0.0681670812,0.0694751110
s2md045,new2025,1516,0.0779129490,0.0797533421
s2md045,shared2025,1508,0.0504960875,0.0513951813
s2md045,near,10272,0.0653858492,0.0668212189
s2md045,mid,222,0.0761439104,0.0764244561
s2md045,far,82,0.1488244755,0.1504032500
s2md050,all,10576,0.0666806821,0.0680787938
s2md050,seed0,2644,0.0703385500,0.0713661302
s2md050,seed1,2644,0.0627991551,0.0644679552
s2md050,seed2,2644,0.0651598603,0.0668046092
s2md050,seed70404,2644,0.0681777131,0.0694751110
s2md050,new2025,1516,0.0778939408,0.0797533421
s2md050,shared2025,1508,0.0505358065,0.0513951813
s2md050,near,10272,0.0653888760,0.0668212189
s2md050,mid,222,0.0762152737,0.0764244561
s2md050,far,82,0.1487599511,0.1504032500
ls050_nonls035,all,10576,0.0667072823,0.0680787938
ls050_nonls035,seed0,2644,0.0702440301,0.0713661302
ls050_nonls035,seed1,2644,0.0628914887,0.0644679552
ls050_nonls035,seed2,2644,0.0652703462,0.0668046092
ls050_nonls035,seed70404,2644,0.0681884510,0.0694751110
ls050_nonls035,new2025,1516,0.0778787013,0.0797533421
ls050_nonls035,shared2025,1508,0.0505707097,0.0513951813
ls050_nonls035,near,10272,0.0654203658,0.0668212189
ls050_nonls035,mid,222,0.0760062992,0.0764244561
ls050_nonls035,far,82,0.1488531745,0.1504032500
cyd,all,10576,0.0666343245,0.0680787938
cyd,seed0,2644,0.0703032685,0.0713661302
cyd,seed1,2644,0.0627891573,0.0644679552
cyd,seed2,2644,0.0651086475,0.0668046092
cyd,seed70404,2644,0.0680908876,0.0694751110
cyd,new2025,1516,0.0776719159,0.0797533421
cyd,shared2025,1508,0.0504715173,0.0513951813
cyd,near,10272,0.0653386986,0.0668212189
cyd,mid,222,0.0760328820,0.0764244561
cyd,far,82,0.1490949913,0.1504032500
cyd_ls,all,10576,0.0666451770,0.0680787938
cyd_ls,seed0,2644,0.0703050942,0.0713661302
cyd_ls,seed1,2644,0.0627834331,0.0644679552
cyd_ls,seed2,2644,0.0651309266,0.0668046092
cyd_ls,seed70404,2644,0.0681154544,0.0694751110
cyd_ls,new2025,1516,0.0776719159,0.0797533421
cyd_ls,shared2025,1508,0.0504946242,0.0513951813
cyd_ls,near,10272,0.0653526889,0.0668212189
cyd_ls,mid,222,0.0759852916,0.0764244561
cyd_ls,far,82,0.1490181670,0.1504032500
cyd_lsminus,all,10576,0.0666424040,0.0680787938
cyd_lsminus,seed0,2644,0.0703173517,0.0713661302
cyd_lsminus,seed1,2644,0.0627977879,0.0644679552
cyd_lsminus,seed2,2644,0.0651132968,0.0668046092
cyd_lsminus,seed70404,2644,0.0680955689,0.0694751110
cyd_lsminus,new2025,1516,0.0777249194,0.0797533421
cyd_lsminus,shared2025,1508,0.0504583879,0.0513951813
cyd_lsminus,near,10272,0.0653453842,0.0668212189
cyd_lsminus,mid,222,0.0760501341,0.0764244561
cyd_lsminus,far,82,0.1491698665,0.1504032500
cyd_srcall,all,10576,0.0666551232,0.0680787938
cyd_srcall,seed0,2644,0.0703239109,0.0713661302
cyd_srcall,seed1,2644,0.0628085404,0.0644679552
cyd_srcall,seed2,2644,0.0651111589,0.0668046092
cyd_srcall,seed70404,2644,0.0681307095,0.0694751110
cyd_srcall,new2025,1516,0.0776655314,0.0797533421
cyd_srcall,shared2025,1508,0.0504959042,0.0513951813
