experiment,held_seed,alpha_local,alpha_shock,alpha_state,n,rmse,base_rmse,coverage,delta
local_fixed,0,0.0000000000,0.0000000000,0.0000000000,2644,0.0703032685,0.0703032685,0.9950832073,0.0000000000
local_fixed,0,0.0250000000,0.0000000000,0.0000000000,2644,0.0701134227,0.0703032685,0.9950832073,-0.0001898458
local_fixed,0,0.0500000000,0.0000000000,0.0000000000,2644,0.0699517886,0.0703032685,0.9950832073,-0.0003514799
local_fixed,0,0.0750000000,0.0000000000,0.0000000000,2644,0.0698185621,0.0703032685,0.9950832073,-0.0004847064
local_fixed,0,0.1000000000,0.0000000000,0.0000000000,2644,0.0697139061,0.0703032685,0.9950832073,-0.0005893624
local_fixed,0,0.1250000000,0.0000000000,0.0000000000,2644,0.0696379494,0.0703032685,0.9950832073,-0.0006653191
local_fixed,0,0.1500000000,0.0000000000,0.0000000000,2644,0.0695907860,0.0703032685,0.9950832073,-0.0007124825
local_fixed,0,0.1750000000,0.0000000000,0.0000000000,2644,0.0695724745,0.0703032685,0.9950832073,-0.0007307940
local_fixed,0,0.2000000000,0.0000000000,0.0000000000,2644,0.0695830376,0.0703032685,0.9950832073,-0.0007202309
local_fixed,0,0.2250000000,0.0000000000,0.0000000000,2644,0.0696224621,0.0703032685,0.9950832073,-0.0006808064
local_fixed,0,0.2500000000,0.0000000000,0.0000000000,2644,0.0696906992,0.0703032685,0.9950832073,-0.0006125693
local_fixed,0,0.2750000000,0.0000000000,0.0000000000,2644,0.0697876642,0.0703032685,0.9950832073,-0.0005156043
local_fixed,0,0.3000000000,0.0000000000,0.0000000000,2644,0.0699132377,0.0703032685,0.9950832073,-0.0003900308
local_loo,0,0.1966064073,0.0000000000,0.0000000000,2644,0.0695799101,0.0703032685,0.9950832073,-0.0007233585
local_cropshock_loo,0,0.2122115221,-0.0316602715,0.0000000000,2644,0.0695290834,0.0703032685,0.9950832073,-0.0007741851
local_crop_state_loo,0,0.2121979489,-0.0304626405,-0.0491368327,2644,0.0695173518,0.0703032685,0.9950832073,-0.0007859167
local_fixed,1,0.0000000000,0.0000000000,0.0000000000,2644,0.0627891573,0.0627891573,0.9897881997,0.0000000000
local_fixed,1,0.0250000000,0.0000000000,0.0000000000,2644,0.0625362183,0.0627891573,0.9897881997,-0.0002529390
local_fixed,1,0.0500000000,0.0000000000,0.0000000000,2644,0.0623168904,0.0627891573,0.9897881997,-0.0004722668
local_fixed,1,0.0750000000,0.0000000000,0.0000000000,2644,0.0621315297,0.0627891573,0.9897881997,-0.0006576276
local_fixed,1,0.1000000000,0.0000000000,0.0000000000,2644,0.0619804408,0.0627891573,0.9897881997,-0.0008087165
local_fixed,1,0.1250000000,0.0000000000,0.0000000000,2644,0.0618638749,0.0627891573,0.9897881997,-0.0009252824
local_fixed,1,0.1500000000,0.0000000000,0.0000000000,2644,0.0617820273,0.0627891573,0.9897881997,-0.0010071300
local_fixed,1,0.1750000000,0.0000000000,0.0000000000,2644,0.0617350362,0.0627891573,0.9897881997,-0.0010541211
local_fixed,1,0.2000000000,0.0000000000,0.0000000000,2644,0.0617229811,0.0627891573,0.9897881997,-0.0010661761
local_fixed,1,0.2250000000,0.0000000000,0.0000000000,2644,0.0617458826,0.0627891573,0.9897881997,-0.0010432746
local_fixed,1,0.2500000000,0.0000000000,0.0000000000,2644,0.0618037018,0.0627891573,0.9897881997,-0.0009854555
local_fixed,1,0.2750000000,0.0000000000,0.0000000000,2644,0.0618963408,0.0627891573,0.9897881997,-0.0008928165
local_fixed,1,0.3000000000,0.0000000000,0.0000000000,2644,0.0620236435,0.0627891573,0.9897881997,-0.0007655138
local_loo,1,0.1906757400,0.0000000000,0.0000000000,2644,0.0617233896,0.0627891573,0.9897881997,-0.0010657677
local_cropshock_loo,1,0.2323749465,-0.0797150543,0.0000000000,2644,0.0617475442,0.0627891573,0.9897881997,-0.0010416130
local_crop_state_loo,1,0.2325511796,-0.0784153456,-0.0651355534,2644,0.0617512712,0.0627891573,0.9897881997,-0.0010378861
local_fixed,2,0.0000000000,0.0000000000,0.0000000000,2644,0.0651086475,0.0651086475,0.9924357035,0.0000000000
local_fixed,2,0.0250000000,0.0000000000,0.0000000000,2644,0.0648867303,0.0651086475,0.9924357035,-0.0002219172
local_fixed,2,0.0500000000,0.0000000000,0.0000000000,2644,0.0646946099,0.0651086475,0.9924357035,-0.0004140376
local_fixed,2,0.0750000000,0.0000000000,0.0000000000,2644,0.0645325524,0.0651086475,0.9924357035,-0.0005760951
local_fixed,2,0.1000000000,0.0000000000,0.0000000000,2644,0.0644007846,0.0651086475,0.9924357035,-0.0007078629
local_fixed,2,0.1250000000,0.0000000000,0.0000000000,2644,0.0642994929,0.0651086475,0.9924357035,-0.0008091546
local_fixed,2,0.1500000000,0.0000000000,0.0000000000,2644,0.0642288214,0.0651086475,0.9924357035,-0.0008798261
local_fixed,2,0.1750000000,0.0000000000,0.0000000000,2644,0.0641888712,0.0651086475,0.9924357035,-0.0009197763
local_fixed,2,0.2000000000,0.0000000000,0.0000000000,2644,0.0641796998,0.0651086475,0.9924357035,-0.0009289477
local_fixed,2,0.2250000000,0.0000000000,0.0000000000,2644,0.0642013203,0.0651086475,0.9924357035,-0.0009073272
local_fixed,2,0.2500000000,0.0000000000,0.0000000000,2644,0.0642537016,0.0651086475,0.9924357035,-0.0008549459
local_fixed,2,0.2750000000,0.0000000000,0.0000000000,2644,0.0643367686,0.0651086475,0.9924357035,-0.0007718789
local_fixed,2,0.3000000000,0.0000000000,0.0000000000,2644,0.0644504026,0.0651086475,0.9924357035,-0.0006582449
local_loo,2,0.1912107886,0.0000000000,0.0000000000,2644,0.0641794142,0.0651086475,0.9924357035,-0.0009292333
local_cropshock_loo,2,0.2299871080,-0.0753380783,0.0000000000,2644,0.0641900265,0.0651086475,0.9924357035,-0.0009186210
local_crop_state_loo,2,0.2301463670,-0.0741298705,-0.0615836225,2644,0.0641885381,0.0651086475,0.9924357035,-0.0009201094
local_fixed,70404,0.0000000000,0.0000000000,0.0000000000,2644,0.0680908876,0.0680908876,0.9916792738,0.0000000000
local_fixed,70404,0.0250000000,0.0000000000,0.0000000000,2644,0.0678692521,0.0680908876,0.9916792738,-0.0002216355
local_fixed,70404,0.0500000000,0.0000000000,0.0000000000,2644,0.0676764076,0.0680908876,0.9916792738,-0.0004144800
local_fixed,70404,0.0750000000,0.0000000000,0.0000000000,2644,0.0675126007,0.0680908876,0.9916792738,-0.0005782869
local_fixed,70404,0.1000000000,0.0000000000,0.0000000000,2644,0.0673780433,0.0680908876,0.9916792738,-0.0007128444
local_fixed,70404,0.1250000000,0.0000000000,0.0000000000,2644,0.0672729107,0.0680908876,0.9916792738,-0.0008179769
local_fixed,70404,0.1500000000,0.0000000000,0.0000000000,2644,0.0671973413,0.0680908876,0.9916792738,-0.0008935463
local_fixed,70404,0.1750000000,0.0000000000,0.0000000000,2644,0.0671514347,0.0680908876,0.9916792738,-0.0009394529
local_fixed,70404,0.2000000000,0.0000000000,0.0000000000,2644,0.0671352518,0.0680908876,0.9916792738,-0.0009556358
local_fixed,70404,0.2250000000,0.0000000000,0.0000000000,2644,0.0671488141,0.0680908876,0.9916792738,-0.0009420735
local_fixed,70404,0.2500000000,0.0000000000,0.0000000000,2644,0.0671921036,0.0680908876,0.9916792738,-0.0008987840
local_fixed,70404,0.2750000000,0.0000000000,0.0000000000,2644,0.0672650630,0.0680908876,0.9916792738,-0.0008258247
local_fixed,70404,0.3000000000,0.0000000000,0.0000000000,2644,0.0673675957,0.0680908876,0.9916792738,-0.0007232920
local_loo,70404,0.1892048472,0.0000000000,0.0000000000,2644,0.0671385910,0.0680908876,0.9916792738,-0.0009522966
local_cropshock_loo,70404,0.2216286157,-0.0654286614,0.0000000000,2644,0.0671173444,0.0680908876,0.9916792738,-0.0009735432
local_crop_state_loo,70404,0.2216599384,-0.0645451748,-0.0422512319,2644,0.0671008418,0.0680908876,0.9916792738,-0.0009900459
