slice_type,slice,n,coverage,rmse_base,rmse_local020,delta
seed,0,2644,0.9950832073,0.0703032685,0.0695830376,-0.0007202309
seed,1,2644,0.9897881997,0.0627891573,0.0617229811,-0.0010661761
seed,2,2644,0.9924357035,0.0651086475,0.0641796998,-0.0009289477
seed,70404,2644,0.9916792738,0.0680908876,0.0671352518,-0.0009556358
year,2025,3024,0.9907407407,0.0655344246,0.0644574711,-0.0010769535
year,history,7552,0.9928495763,0.0670696932,0.0662220434,-0.0008476498
cohort,new,9068,0.9920599912,0.0689557633,0.0680397514,-0.0009160118
cohort,shared,1508,0.9933687003,0.0504715173,0.0495521913,-0.0009193260
source,landsat,4065,0.9908979090,0.0696308813,0.0688200179,-0.0008108634
source,modis,1818,1.0000000000,0.0638622224,0.0636217124,-0.0002405099
source,s2,4693,0.9904112508,0.0650121842,0.0637470017,-0.0012651825
distance,far_or_none,82,0.0000000000,0.1490949913,0.1490949913,0.0000000000
distance,mid_r3_8,222,1.0000000000,0.0760328820,0.0725820512,-0.0034508308
distance,near_r2,10272,1.0000000000,0.0653386986,0.0644666505,-0.0008720481
