seed,variant,alpha,n,rmse,base_rmse,delta,shock_n
0,loo,0.1880557465,2644,0.0702125995,0.0703032685,-0.0000906690,2511
0,fixed010,0.1000000000,2644,0.0701475101,0.0703032685,-0.0001557584,2511
0,fixed015,0.1500000000,2644,0.0701612249,0.0703032685,-0.0001420436,2511
0,fixed0175,0.1750000000,2644,0.0701909914,0.0703032685,-0.0001122771,2511
0,fixed020,0.2000000000,2644,0.0702360079,0.0703032685,-0.0000672606,2511
0,fixed025,0.2500000000,2644,0.0703716644,0.0703032685,0.0000683958,2511
0,loo_history,0.1880557465,1888,0.0770777714,0.0771609489,-0.0000831775,1789
0,loo_2025,0.1880557465,756,0.0490362101,0.0491636925,-0.0001274825,722
0,loo_new2025,0.1880557465,379,0.0530169167,0.0525323273,0.0004845894,362
0,loo_shared2025,0.1880557465,377,0.0446783079,0.0455266354,-0.0008483275,360
1,loo,0.1572950184,2644,0.0623215474,0.0627891573,-0.0004676099,2507
1,fixed010,0.1000000000,2644,0.0624243130,0.0627891573,-0.0003648443,2507
1,fixed015,0.1500000000,2644,0.0623303056,0.0627891573,-0.0004588516,2507
1,fixed0175,0.1750000000,2644,0.0623055498,0.0627891573,-0.0004836074,2507
1,fixed020,0.2000000000,2644,0.0622956530,0.0627891573,-0.0004935042,2507
1,fixed025,0.2500000000,2644,0.0623204542,0.0627891573,-0.0004687031,2507
1,loo_history,0.1572950184,1888,0.0656267719,0.0661815233,-0.0005547514,1795
1,loo_2025,0.1572950184,756,0.0531775256,0.0533839519,-0.0002064263,712
1,loo_new2025,0.1572950184,379,0.0570213583,0.0569489121,0.0000724463,356
1,loo_shared2025,0.1572950184,377,0.0490103663,0.0495421781,-0.0005318117,356
2,loo,0.1601967065,2644,0.0646995656,0.0651086475,-0.0004090819,2495
2,fixed010,0.1000000000,2644,0.0647869893,0.0651086475,-0.0003216582,2495
2,fixed015,0.1500000000,2644,0.0647087326,0.0651086475,-0.0003999149,2495
2,fixed0175,0.1750000000,2644,0.0646903577,0.0651086475,-0.0004182898,2495
2,fixed020,0.2000000000,2644,0.0646858373,0.0651086475,-0.0004228102,2495
2,fixed025,0.2500000000,2644,0.0647183622,0.0651086475,-0.0003902853,2495
2,loo_history,0.1601967065,1888,0.0605377661,0.0609816460,-0.0004438799,1781
2,loo_2025,0.1601967065,756,0.0740789213,0.0744224186,-0.0003434973,714
2,loo_new2025,0.1601967065,379,0.0930787556,0.0934935432,-0.0004147876,361
2,loo_shared2025,0.1601967065,377,0.0479047991,0.0481597506,-0.0002549515,353
70404,loo,0.1680509705,2644,0.0677219887,0.0680908876,-0.0003688989,2521
70404,fixed010,0.1000000000,2644,0.0677829798,0.0680908876,-0.0003079078,2521
70404,fixed015,0.1500000000,2644,0.0677264006,0.0680908876,-0.0003644870,2521
70404,fixed0175,0.1750000000,2644,0.0677225565,0.0680908876,-0.0003683311,2521
70404,fixed020,0.2000000000,2644,0.0677350169,0.0680908876,-0.0003558707,2521
70404,fixed025,0.2500000000,2644,0.0678088040,0.0680908876,-0.0002820836,2521
70404,loo_history,0.1680509705,1888,0.0623833924,0.0627758534,-0.0003924610,1807
70404,loo_2025,0.1680509705,756,0.0795039654,0.0798337766,-0.0003298112,714
70404,loo_new2025,0.1680509705,379,0.0964431071,0.0968908638,-0.0004477567,361
70404,loo_shared2025,0.1680509705,377,0.0576600123,0.0578189651,-0.0001589528,353
