seed,policy,alpha_global,alpha_new25,n,rmse,base_rmse,delta,shock_n
0,global010,0.1000000000,0.1000000000,2644,0.0701475101,0.0703032685,-0.0001557584,2511
0,global015,0.1500000000,0.1500000000,2644,0.0701612249,0.0703032685,-0.0001420436,2511
0,global0175,0.1750000000,0.1750000000,2644,0.0701909914,0.0703032685,-0.0001122771,2511
0,global020,0.2000000000,0.2000000000,2644,0.0702360079,0.0703032685,-0.0000672606,2511
0,new25_00,0.1750000000,0.0000000000,2644,0.0701456125,0.0703032685,-0.0001576560,2511
0,new25_05,0.1750000000,0.0500000000,2644,0.0701497215,0.0703032685,-0.0001535470,2511
0,new25_10,0.1750000000,0.1000000000,2644,0.0701609174,0.0703032685,-0.0001423511,2511
0,new25_15,0.1750000000,0.1500000000,2644,0.0701791969,0.0703032685,-0.0001240716,2511
0,new25_20,0.1750000000,0.2000000000,2644,0.0702045545,0.0703032685,-0.0000987140,2511
0,shared25_10,0.1750000000,0.1000000000,2644,0.0701609174,0.0703032685,-0.0001423511,2511
0,loo_new25_00,0.1880557465,0.0000000000,2644,0.0701603691,0.0703032685,-0.0001428994,2511
0,loo_new25_05,0.1880557465,0.0500000000,2644,0.0701644772,0.0703032685,-0.0001387913,2511
0,loo_new25_10,0.1880557465,0.1000000000,2644,0.0701756708,0.0703032685,-0.0001275977,2511
0,loo_global,0.1880557465,0.1880557465,2644,0.0702125995,0.0703032685,-0.0000906690,2511
1,global010,0.1000000000,0.1000000000,2644,0.0624243130,0.0627891573,-0.0003648443,2507
1,global015,0.1500000000,0.1500000000,2644,0.0623303056,0.0627891573,-0.0004588516,2507
1,global0175,0.1750000000,0.1750000000,2644,0.0623055498,0.0627891573,-0.0004836074,2507
1,global020,0.2000000000,0.2000000000,2644,0.0622956530,0.0627891573,-0.0004935042,2507
1,new25_00,0.1750000000,0.0000000000,2644,0.0622898484,0.0627891573,-0.0004993088,2507
1,new25_05,0.1750000000,0.0500000000,2644,0.0622839791,0.0627891573,-0.0005051781,2507
1,new25_10,0.1750000000,0.1000000000,2644,0.0622863949,0.0627891573,-0.0005027624,2507
1,new25_15,0.1750000000,0.1500000000,2644,0.0622970946,0.0627891573,-0.0004920626,2507
1,new25_20,0.1750000000,0.2000000000,2644,0.0623160742,0.0627891573,-0.0004730831,2507
1,shared25_10,0.1750000000,0.1000000000,2644,0.0622863949,0.0627891573,-0.0005027624,2507
1,loo_new25_00,0.1572950184,0.0000000000,2644,0.0623120512,0.0627891573,-0.0004771061,2507
1,loo_new25_05,0.1572950184,0.0500000000,2644,0.0623061840,0.0627891573,-0.0004829733,2507
1,loo_new25_10,0.1572950184,0.1000000000,2644,0.0623085988,0.0627891573,-0.0004805584,2507
1,loo_global,0.1572950184,0.1572950184,2644,0.0623215474,0.0627891573,-0.0004676099,2507
2,global010,0.1000000000,0.1000000000,2644,0.0647869893,0.0651086475,-0.0003216582,2495
2,global015,0.1500000000,0.1500000000,2644,0.0647087326,0.0651086475,-0.0003999149,2495
2,global0175,0.1750000000,0.1750000000,2644,0.0646903577,0.0651086475,-0.0004182898,2495
2,global020,0.2000000000,0.2000000000,2644,0.0646858373,0.0651086475,-0.0004228102,2495
2,new25_00,0.1750000000,0.0000000000,2644,0.0647808418,0.0651086475,-0.0003278057,2495
2,new25_05,0.1750000000,0.0500000000,2644,0.0647474935,0.0651086475,-0.0003611540,2495
2,new25_10,0.1750000000,0.1000000000,2644,0.0647201381,0.0651086475,-0.0003885094,2495
2,new25_15,0.1750000000,0.1500000000,2644,0.0646987832,0.0651086475,-0.0004098643,2495
2,new25_20,0.1750000000,0.2000000000,2644,0.0646834345,0.0651086475,-0.0004252129,2495
2,shared25_10,0.1750000000,0.1000000000,2644,0.0647201381,0.0651086475,-0.0003885094,2495
2,loo_new25_00,0.1601967065,0.0000000000,2644,0.0647852362,0.0651086475,-0.0003234113,2495
2,loo_new25_05,0.1601967065,0.0500000000,2644,0.0647518903,0.0651086475,-0.0003567572,2495
2,loo_new25_10,0.1601967065,0.1000000000,2644,0.0647245367,0.0651086475,-0.0003841108,2495
2,loo_global,0.1601967065,0.1601967065,2644,0.0646995656,0.0651086475,-0.0004090819,2495
70404,global010,0.1000000000,0.1000000000,2644,0.0677829798,0.0680908876,-0.0003079078,2521
70404,global015,0.1500000000,0.1500000000,2644,0.0677264006,0.0680908876,-0.0003644870,2521
70404,global0175,0.1750000000,0.1750000000,2644,0.0677225565,0.0680908876,-0.0003683311,2521
70404,global020,0.2000000000,0.2000000000,2644,0.0677350169,0.0680908876,-0.0003558707,2521
