year,pid,date,doy,n_date,canon,p_s2,p_ls,p_md,date_s2,date_ls,date_md,true_src
2019,AOI-0002,2019-06-26 00:00:00,177,32,1,0.007633587786259542,0.25190839694656486,0.7404580152671756,0.0,8.0,24.0,modis
2019,AOI-0002,2019-07-29 00:00:00,210,20,0,0.30120481927710846,0.6867469879518072,0.012048192771084338,6.0,14.0,0.0,landsat
2019,AOI-0002,2019-08-13 00:00:00,225,33,1,0.18518518518518517,0.24444444444444444,0.5703703703703704,6.0,8.0,19.0,modis
2019,AOI-0003,2019-04-01 00:00:00,91,19,0,0.7721518987341772,0.21518987341772153,0.012658227848101266,15.0,4.0,0.0,s2
2019,AOI-0003,2019-05-06 00:00:00,126,22,0,0.9780219780219781,0.010989010989010992,0.010989010989010992,22.0,0.0,0.0,s2
2019,AOI-0003,2019-06-04 00:00:00,155,24,0,0.2525252525252526,0.7373737373737375,0.010101010101010104,6.0,18.0,0.0,landsat
2019,AOI-0003,2019-07-07 00:00:00,188,21,0,0.9770114942528736,0.011494252873563218,0.011494252873563218,21.0,0.0,0.0,s2
2019,AOI-0003,2019-08-07 00:00:00,219,19,0,0.16455696202531644,0.8227848101265823,0.012658227848101266,3.0,16.0,0.0,landsat
2019,AOI-0003,2019-08-14 00:00:00,226,23,0,0.9789473684210527,0.010526315789473684,0.010526315789473684,23.0,0.0,0.0,s2
2019,AOI-0003,2019-08-22 00:00:00,234,16,0,0.13432835820895522,0.8507462686567164,0.014925373134328358,2.0,14.0,0.0,landsat
2019,AOI-0003,2019-08-23 00:00:00,235,20,0,0.20481927710843373,0.7831325301204819,0.012048192771084338,4.0,16.0,0.0,landsat
2019,AOI-0004,2019-04-23 00:00:00,113,30,1,0.6260162601626016,0.23577235772357724,0.13821138211382114,19.0,7.0,4.0,modis
2019,AOI-0004,2019-05-25 00:00:00,145,30,1,0.2032520325203252,0.008130081300813009,0.7886178861788617,6.0,0.0,24.0,modis
2019,AOI-0004,2019-06-30 00:00:00,181,20,0,0.7349397590361446,0.25301204819277107,0.012048192771084338,15.0,5.0,0.0,s2
2019,AOI-0004,2019-07-12 00:00:00,193,30,1,0.008130081300813009,0.17073170731707318,0.8211382113821138,0.0,5.0,25.0,modis
2019,AOI-0004,2019-09-14 00:00:00,257,32,1,0.007633587786259542,0.19083969465648856,0.8015267175572519,0.0,6.0,26.0,modis
2019,AOI-0004,2019-09-23 00:00:00,266,20,0,0.9759036144578314,0.012048192771084338,0.012048192771084338,20.0,0.0,0.0,s2
2019,AOI-0007,2019-04-01 00:00:00,91,19,0,0.7721518987341772,0.21518987341772153,0.012658227848101266,15.0,4.0,0.0,s2
2019,AOI-0007,2019-06-26 00:00:00,177,32,1,0.007633587786259542,0.25190839694656486,0.7404580152671756,0.0,8.0,24.0,modis
2019,AOI-0007,2019-07-28 00:00:00,209,37,1,0.08609271523178808,0.1390728476821192,0.7748344370860927,3.0,5.0,29.0,modis
2019,AOI-0007,2019-08-13 00:00:00,225,33,1,0.18518518518518517,0.24444444444444444,0.5703703703703704,6.0,8.0,19.0,modis
2019,AOI-0007,2019-08-14 00:00:00,226,23,0,0.9789473684210527,0.010526315789473684,0.010526315789473684,23.0,0.0,0.0,s2
2019,AOI-0008,2019-05-19 00:00:00,139,20,0,0.1566265060240964,0.8313253012048193,0.012048192771084338,3.0,17.0,0.0,landsat
2019,AOI-0008,2019-07-17 00:00:00,198,23,0,0.9789473684210527,0.010526315789473684,0.010526315789473684,23.0,0.0,0.0,s2
2019,AOI-0008,2019-08-13 00:00:00,225,33,1,0.18518518518518517,0.24444444444444444,0.5703703703703704,6.0,8.0,19.0,modis
2019,AOI-0008,2019-09-30 00:00:00,273,29,1,0.2773109243697479,0.14285714285714285,0.5798319327731093,8.0,4.0,17.0,modis
2019,AOI-0008,2019-10-16 00:00:00,289,34,1,0.09352517985611511,0.1510791366906475,0.7553956834532374,3.0,5.0,26.0,modis
2019,AOI-0011,2019-04-07 00:00:00,97,33,1,0.007407407407407408,0.18518518518518517,0.8074074074074075,0.0,6.0,27.0,modis
2019,AOI-0011,2019-04-23 00:00:00,113,30,1,0.6260162601626016,0.23577235772357724,0.13821138211382114,19.0,7.0,4.0,s2
2019,AOI-0011,2019-04-28 00:00:00,118,19,0,0.9746835443037976,0.012658227848101267,0.012658227848101267,19.0,0.0,0.0,s2
2019,AOI-0011,2019-07-12 00:00:00,193,30,1,0.008130081300813009,0.17073170731707318,0.8211382113821138,0.0,5.0,25.0,modis
2019,AOI-0011,2019-08-06 00:00:00,218,33,0,0.7185185185185186,0.2740740740740741,0.007407407407407408,24.0,9.0,0.0,s2
2019,AOI-0011,2019-08-14 00:00:00,226,23,0,0.9789473684210527,0.010526315789473684,0.010526315789473684,23.0,0.0,0.0,s2
2019,AOI-0011,2019-08-19 00:00:00,231,14,0,0.9661016949152543,0.016949152542372885,0.016949152542372885,14.0,0.0,0.0,s2
2019,AOI-0011,2019-09-30 00:00:00,273,29,1,0.2773109243697479,0.14285714285714285,0.5798319327731093,8.0,4.0,17.0,modis
2019,AOI-0015,2019-05-27 00:00:00,147,13,0,0.01818181818181818,0.9636363636363636,0.01818181818181818,0.0,13.0,0.0,landsat
2019,AOI-0015,2019-06-07 00:00:00,158,11,0,0.9574468085106383,0.02127659574468085,0.02127659574468085,11.0,0.0,0.0,s2
2019,AOI-0015,2019-07-05 00:00:00,186,21,0,0.9770114942528736,0.011494252873563218,0.011494252873563218,21.0,0.0,0.0,s2
2019,AOI-0015,2019-10-13 00:00:00,286,24,0,0.9797979797979799,0.010101010101010104,0.010101010101010104,24.0,0.0,0.0,s2
2019,AOI-0015,2019-10-16 00:00:00,289,34,1,0.09352517985611511,0.1510791366906475,0.7553956834532374,3.0,5.0,26.0,modis
2019,AOI-0019,2019-04-28 00:00:00,118,19,0,0.9746835443037976,0.012658227848101267,0.012658227848101267,19.0,0.0,0.0,s2
2019,AOI-0019,2019-05-25 00:00:00,145,30,1,0.2032520325203252,0.008130081300813009,0.7886178861788617,6.0,0.0,24.0,modis
2019,AOI-0019,2019-06-15 00:00:00,166,26,0,0.9813084112149533,0.009345794392523364,0.009345794392523364,26.0,0.0,0.0,s2
2019,AOI-0019,2019-06-27 00:00:00,178,30,0,0.6585365853658537,0.3333333333333333,0.008130081300813009,20.0,10.0,0.0,s2
2019,AOI-0019,2019-07-14 00:00:00,195,21,0,0.2413793103448276,0.7471264367816092,0.011494252873563218,5.0,16.0,0.0,landsat
2019,AOI-0019,2019-08-14 00:00:00,226,23,0,0.9789473684210527,0.010526315789473684,0.010526315789473684,23.0,0.0,0.0,s2
2019,AOI-0019,2019-08-31 00:00:00,243,20,0,0.9759036144578314,0.012048192771084338,0.012048192771084338,20.0,0.0,0.0,s2
2019,AOI-0019,2019-09-15 00:00:00,258,26,0,0.6074766355140188,0.383177570093458,0.009345794392523366,16.0,10.0,0.0,s2
2019,AOI-0019,2019-09-23 00:00:00,266,20,0,0.9759036144578314,0.012048192771084338,0.012048192771084338,20.0,0.0,0.0,s2
