year,method,n,rmse,route_acc
2019,soft,249,0.06504498648921714,
2019,hard,249,0.065521769696119,
2019,extnc6,249,0.0638407671028144,0.9156626506024096
2020,soft,222,0.0642742645224812,
2020,hard,222,0.06765361037491867,
2020,extnc6,222,0.05937408145527838,0.954954954954955
2021,soft,130,0.09026033289207216,
2021,hard,130,0.08869038693399729,
2021,extnc6,130,0.085331011872096,0.9615384615384616
2022,soft,192,0.07224060509795764,
2022,hard,192,0.07453295487265602,
2022,extnc6,192,0.06966467912298355,0.8802083333333334
2023,soft,169,0.07616221867194352,
2023,hard,169,0.07915759064263538,
2023,extnc6,169,0.07400791852656105,0.9408284023668639
2024,soft,152,0.05923181948845261,
2024,hard,152,0.0653748144230225,
2024,extnc6,152,0.05442415435110147,0.9078947368421053
