candidate,seed,n,rmse,baseline_rmse,slice
source_route_v2_global_alpha040,0,2644,0.0704468579,0.0713661302,
source_route_v2_distance_alpha_50_40_30,0,2644,0.0704140180,0.0713661302,
source_route_v2_global_alpha040,1,2644,0.0631068041,0.0644679552,
source_route_v2_distance_alpha_50_40_30,1,2644,0.0630013650,0.0644679552,
source_route_v2_global_alpha040,70404,2644,0.0683675741,0.0694751110,
source_route_v2_distance_alpha_50_40_30,70404,2644,0.0683533233,0.0694751110,
source_route_v2_distance_alpha_50_40_30,0,1741,0.0680613306,0.0693329492,near<=2
source_route_v2_distance_alpha_50_40_30,1,1706,0.0564595020,0.0585505781,near<=2
source_route_v2_distance_alpha_50_40_30,70404,1718,0.0697727583,0.0709942485,near<=2
source_route_v2_distance_alpha_50_40_30,0,420,0.0712585577,0.0717078243,mid3-8
source_route_v2_distance_alpha_50_40_30,1,441,0.0758534324,0.0768870995,mid3-8
source_route_v2_distance_alpha_50_40_30,70404,425,0.0687859879,0.0700713207,mid3-8
source_route_v2_distance_alpha_50_40_30,0,483,0.0776428823,0.0779856188,far>8_or_none
source_route_v2_distance_alpha_50_40_30,1,497,0.0711915799,0.0713943982,far>8_or_none
source_route_v2_distance_alpha_50_40_30,70404,501,0.0628452184,0.0634386375,far>8_or_none
source_route_v2_distance_alpha_50_40_30,0,1888,0.0772863836,0.0780625109,history
source_route_v2_distance_alpha_50_40_30,1,1888,0.0665329935,0.0680168659,history
source_route_v2_distance_alpha_50_40_30,70404,1888,0.0630408484,0.0639444305,history
source_route_v2_distance_alpha_50_40_30,0,756,0.0492259217,0.0509332312,2025
source_route_v2_distance_alpha_50_40_30,1,756,0.0531668519,0.0546069513,2025
source_route_v2_distance_alpha_50_40_30,70404,756,0.0800961968,0.0816675643,2025
