seed,variant,alpha,n,rmse,baseline_rmse,delta
0,loo,0.18927942350086732,2644,0.0702773578867059,0.07038579971858386,-0.0001084418318779562
0,fixed010,0.1,2644,0.07021958773044973,0.07038579971858386,-0.00016621198813412952
0,fixed015,0.15,2644,0.0702279706686121,0.07038579971858386,-0.00015782904997176106
0,fixed020,0.2,2644,0.07029737005433935,0.07038579971858386,-8.84296642445076e-05
0,fixed025,0.25,2644,0.07042760551097972,0.07038579971858386,4.180579239586313e-05
0,loo_2025,0.18927942350086732,756,0.049000268945271756,0.04908457927051068,-8.431032523892323e-05
0,loo_new2025,0.18927942350086732,379,0.05284136751488587,0.05227010084270379,0.0005712666721820817
0,loo_shared2025,0.18927942350086732,377,0.04480811697830672,0.04565868567074815,-0.0008505686924414266
0,loo_history,0.18927942350086732,1888,0.07716951907738129,0.07728638357786857,-0.0001168645004872848
1,loo,0.1603815456205066,2644,0.06255838128223906,0.06302249906578815,-0.0004641177835490867
1,fixed010,0.1,2644,0.0626621634204065,0.06302249906578815,-0.0003603356453816542
1,fixed015,0.15,2644,0.06257009069715441,0.06302249906578815,-0.000452408368633736
1,fixed020,0.2,2644,0.06253714906662527,0.06302249906578815,-0.00048534999916287347
1,fixed025,0.25,2644,0.06256343193207414,0.06302249906578815,-0.00045906713371400565
1,loo_2025,0.1603815456205066,756,0.05308889736317713,0.05325437999056939,-0.00016548262739225772
1,loo_new2025,0.1603815456205066,379,0.057047622632059716,0.05689598233384905,0.000151640298210666
1,loo_shared2025,0.1603815456205066,377,0.048786450987608504,0.049323191226990734,-0.0005367402393822301
1,loo_history,0.1603815456205066,1888,0.06597016841526149,0.06653299348836357,-0.0005628250731020829
2,loo,0.16383859296407777,2644,0.06474083427691131,0.06514008799161364,-0.0003992537147023273
2,fixed010,0.1,2644,0.06482610984601524,0.06514008799161364,-0.00031397814559840087
2,fixed015,0.15,2644,0.06475166658030108,0.06514008799161364,-0.00038842141131255337
2,fixed020,0.2,2644,0.0647325537792776,0.06514008799161364,-0.0004075342123360387
2,fixed025,0.25,2644,0.06476882042579898,0.06514008799161364,-0.0003712675658146536
2,loo_2025,0.16383859296407777,756,0.07407579905378867,0.07438234923490632,-0.0003065501811176513
2,loo_new2025,0.16383859296407777,379,0.09297029347065716,0.0933691527835254,-0.00039885931286823273
2,loo_shared2025,0.16383859296407777,377,0.04810642891865124,0.04827807129877758,-0.00017164238012633976
2,loo_history,0.16383859296407777,1888,0.060601049343539215,0.061048206676349505,-0.00044715733281028985
70404,loo,0.16818453186802432,2644,0.06787827210792338,0.06827732548220211,-0.00039905337427872944
70404,fixed010,0.1,2644,0.06795174955527658,0.06827732548220211,-0.00032557592692553095
70404,fixed015,0.15,2644,0.06788604502969922,0.06827732548220211,-0.0003912804525028901
70404,fixed020,0.2,2644,0.06788537507558648,0.06827732548220211,-0.0003919504066156321
70404,fixed025,0.25,2644,0.0679497416165739,0.06827732548220211,-0.0003275838656282143
70404,loo_2025,0.16818453186802432,756,0.07954069401706568,0.07986917757459051,-0.00032848355752483627
70404,loo_new2025,0.16818453186802432,379,0.09656391003734731,0.09701159336110526,-0.0004476833237579553
70404,loo_shared2025,0.16818453186802432,377,0.057558244288024536,0.05771339582146141,-0.0001551515334368772
70404,loo_history,0.16818453186802432,1888,0.06260212816901466,0.06304084840939558,-0.00043872024038092705
