seed,variant,alpha,n,rmse,baseline_rmse,delta
0,loo_2025,0.18927942350086732,756,0.049000268945271756,0.04908457927051068,-8.431032523892323e-05
0,loo_new2025,0.18927942350086732,379,0.05284136751488587,0.05227010084270379,0.0005712666721820817
0,loo_shared2025,0.18927942350086732,377,0.04480811697830672,0.04565868567074815,-0.0008505686924414266
0,loo_history,0.18927942350086732,1888,0.07716951907738129,0.07728638357786857,-0.0001168645004872848
1,loo_2025,0.1603815456205066,756,0.05308889736317713,0.05325437999056939,-0.00016548262739225772
1,loo_new2025,0.1603815456205066,379,0.057047622632059716,0.05689598233384905,0.000151640298210666
1,loo_shared2025,0.1603815456205066,377,0.048786450987608504,0.049323191226990734,-0.0005367402393822301
1,loo_history,0.1603815456205066,1888,0.06597016841526149,0.06653299348836357,-0.0005628250731020829
2,loo_2025,0.16383859296407777,756,0.07407579905378867,0.07438234923490632,-0.0003065501811176513
2,loo_new2025,0.16383859296407777,379,0.09297029347065716,0.0933691527835254,-0.00039885931286823273
2,loo_shared2025,0.16383859296407777,377,0.04810642891865124,0.04827807129877758,-0.00017164238012633976
2,loo_history,0.16383859296407777,1888,0.060601049343539215,0.061048206676349505,-0.00044715733281028985
70404,loo_2025,0.16818453186802432,756,0.07954069401706568,0.07986917757459051,-0.00032848355752483627
70404,loo_new2025,0.16818453186802432,379,0.09656391003734731,0.09701159336110526,-0.0004476833237579553
70404,loo_shared2025,0.16818453186802432,377,0.057558244288024536,0.05771339582146141,-0.0001551515334368772
70404,loo_history,0.16818453186802432,1888,0.06260212816901466,0.06304084840939558,-0.00043872024038092705
