feature,variant,n,rmse_pooled,baseline_rmse_pooled,delta,wins,masks
crop_shock,fixed010,10576.0,0.06655861819153305,0.06676642200440203,-0.00020780381286897298,4.0,4.0
crop_shock,fixed015,10576.0,0.06652331507902925,0.06676642200440203,-0.00024310692537277134,4.0,4.0
crop_shock,fixed020,10576.0,0.0665338729938935,0.06676642200440203,-0.00023254901050852317,4.0,4.0
crop_shock,fixed025,10576.0,0.06659027012227482,0.06676642200440203,-0.000176151882127204,4.0,4.0
crop_shock,loo,10576.0,0.06652474048096274,0.06676642200440203,-0.0002416815234392855,4.0,4.0
date_shock,fixed010,10576.0,0.0666132880137439,0.06676642200440203,-0.00015313399065812472,4.0,4.0
date_shock,fixed015,10576.0,0.0666070269201934,0.06676642200440203,-0.0001593950842086328,4.0,4.0
date_shock,fixed020,10576.0,0.06664768700271813,0.06676642200440203,-0.00011873500168389783,3.0,4.0
date_shock,fixed025,10576.0,0.06673518249766572,0.06676642200440203,-3.123950673630804e-05,3.0,4.0
date_shock,loo,10576.0,0.06661233971097232,0.06676642200440203,-0.00015408229342971091,4.0,4.0
joint_crop_state,loo,10576.0,0.06652041647979783,0.06676642200440203,-0.0002460055246042009,4.0,4.0
state,fixed010,10576.0,0.0668118652760642,0.06676642200440203,4.54432716621711e-05,0.0,4.0
state,fixed015,10576.0,0.06685478309414815,0.06676642200440203,8.836108974612233e-05,0.0,4.0
state,fixed020,10576.0,0.06691113319867621,0.06676642200440203,0.00014471119427418577,0.0,4.0
state,fixed025,10576.0,0.06698088168845741,0.06676642200440203,0.00021445968405538196,0.0,4.0
state,loo,10576.0,0.06676437889364277,0.06676642200440203,-2.043110759256117e-06,3.0,4.0
