seed,feature,variant,alpha,n,finite,rmse,baseline_rmse,delta,coef_crop,coef_state
0,crop_shock,loo_slice_2025,0.16914792555987235,756,722,0.04895968160871672,0.04908457927051068,-0.00012489766179395873,,
1,crop_shock,loo_slice_2025,0.15173847664093898,756,712,0.053080812862341065,0.05325437999056939,-0.00017356712822832326,,
2,crop_shock,loo_slice_2025,0.16711209540220037,756,714,0.0740741451961621,0.07438234923490632,-0.00030820403874422253,,
70404,crop_shock,loo_slice_2025,0.16637679216042478,756,714,0.07954187385754638,0.07986917757459051,-0.0003273037170441334,,
0,crop_shock,loo_slice_all,0.16914792555987235,2644,1924,0.07019263246609757,0.07038579971858386,-0.00019316725248628985,,
1,crop_shock,loo_slice_all,0.15173847664093898,2644,1920,0.06267713191173088,0.06302249906578815,-0.00034536715405726615,,
2,crop_shock,loo_slice_all,0.16711209540220037,2644,1926,0.06491846793293864,0.06514008799161364,-0.00022162005867500112,,
70404,crop_shock,loo_slice_all,0.16637679216042478,2644,1908,0.06806121059955236,0.06827732548220211,-0.00021611488264974832,,
0,crop_shock,loo_slice_history,0.16914792555987235,1888,1202,0.07707178315807814,0.07728638357786857,-0.00021460041979043387,,
1,crop_shock,loo_slice_history,0.15173847664093898,1888,1208,0.06613042894255851,0.06653299348836357,-0.00040256454580506196,,
2,crop_shock,loo_slice_history,0.16711209540220037,1888,1212,0.060867393984234054,0.061048206676349505,-0.0001808126921154507,,
70404,crop_shock,loo_slice_history,0.16637679216042478,1888,1194,0.06287907300487189,0.06304084840939558,-0.0001617754045236952,,
0,crop_shock,loo_slice_new2025,0.16914792555987235,379,362,0.052736125708323936,0.05227010084270379,0.0004660248656201474,,
1,crop_shock,loo_slice_new2025,0.15173847664093898,379,356,0.057022903602045046,0.05689598233384905,0.00012692126819599525,,
2,crop_shock,loo_slice_new2025,0.16711209540220037,379,361,0.09296550020389727,0.0933691527835254,-0.0004036525796281276,,
70404,crop_shock,loo_slice_new2025,0.16637679216042478,379,361,0.09656666194120618,0.09701159336110526,-0.00044493141989908336,,
0,crop_shock,loo_slice_shared2025,0.16914792555987235,377,360,0.04484377882147808,0.04565868567074815,-0.0008149068492700681,,
1,crop_shock,loo_slice_shared2025,0.15173847664093898,377,356,0.04879786122079775,0.049323191226990734,-0.0005253300061929811,,
2,crop_shock,loo_slice_shared2025,0.16711209540220037,377,353,0.04811063430845627,0.04827807129877758,-0.00016743699032131104,,
70404,crop_shock,loo_slice_shared2025,0.16637679216042478,377,353,0.05755687247469882,0.05771339582146141,-0.0001565233467625965,,
