policy,n,rmse_pooled,baseline_rmse_pooled,delta,wins,masks
global_0.000,10576.0,0.06676642200440203,0.06676642200440203,0.0,0.0,4.0
global_0.050,10576.0,0.06659225988127884,0.06676642200440203,-0.0001741621231231838,4.0,4.0
global_0.100,10576.0,0.06647781962984105,0.06676642200440203,-0.00028860237456097837,4.0,4.0
global_0.125,10576.0,0.06644309793153566,0.06676642200440203,-0.00032332407286636555,4.0,4.0
global_0.150,10576.0,0.06642340993351366,0.06676642200440203,-0.00034301207088836827,4.0,4.0
global_0.175,10576.0,0.0664187690047442,0.06676642200440203,-0.0003476529996578326,4.0,4.0
global_0.200,10576.0,0.06642917829891877,0.06676642200440203,-0.0003372437054832561,4.0,4.0
global_0.225,10576.0,0.06645463074374515,0.06676642200440203,-0.0003117912606568768,4.0,4.0
global_0.250,10576.0,0.06649510906494929,0.06676642200440203,-0.0002713129394527336,3.0,4.0
global_loo,10576.0,0.06642908539829885,0.06676642200440203,-0.0003373366061031752,4.0,4.0
h0.10_s0.10_n0.05,10576.0,0.06648661374674515,0.06676642200440203,-0.00027980825765687445,4.0,4.0
h0.10_s0.10_n0.10,10576.0,0.06647781962984105,0.06676642200440203,-0.00028860237456097837,4.0,4.0
h0.10_s0.10_n0.15,10576.0,0.06647609044441204,0.06676642200440203,-0.0002903315599899897,4.0,4.0
h0.10_s0.15_n0.05,10576.0,0.06647958467971125,0.06676642200440203,-0.0002868373246907724,4.0,4.0
h0.10_s0.15_n0.10,10576.0,0.06647078963285824,0.06676642200440203,-0.00029563237154378585,4.0,4.0
h0.10_s0.15_n0.15,10576.0,0.06646906026454462,0.06676642200440203,-0.00029736173985740744,4.0,4.0
h0.10_s0.20_n0.05,10576.0,0.06647964314397747,0.06676642200440203,-0.0002867788604245525,4.0,4.0
h0.10_s0.20_n0.10,10576.0,0.06647084810486015,0.06676642200440203,-0.00029557389954187885,4.0,4.0
h0.10_s0.20_n0.15,10576.0,0.06646911873806782,0.06676642200440203,-0.00029730326633420345,4.0,4.0
h0.15_s0.10_n0.05,10576.0,0.06644097547637916,0.06676642200440203,-0.00032544652802286855,4.0,4.0
h0.15_s0.10_n0.10,10576.0,0.06643217531800095,0.06676642200440203,-0.00033424668640107125,4.0,4.0
h0.15_s0.10_n0.15,10576.0,0.06643044494444987,0.06676642200440203,-0.00033597705995215554,4.0,4.0
h0.15_s0.15_n0.05,10576.0,0.06643394158057185,0.06676642200440203,-0.0003324804238301754,4.0,4.0
h0.15_s0.15_n0.10,10576.0,0.06642514049032663,0.06676642200440203,-0.0003412815140753922,4.0,4.0
h0.15_s0.15_n0.15,10576.0,0.06642340993351366,0.06676642200440203,-0.00034301207088836827,4.0,4.0
h0.15_s0.20_n0.05,10576.0,0.06643400008500563,0.06676642200440203,-0.00033242191939639176,4.0,4.0
h0.15_s0.20_n0.10,10576.0,0.06642519900251204,0.06676642200440203,-0.0003412230018899898,4.0,4.0
h0.15_s0.20_n0.15,10576.0,0.0664234684472235,0.06676642200440203,-0.0003429535571785325,4.0,4.0
h0.20_s0.10_n0.05,10576.0,0.06644134473593925,0.06676642200440203,-0.00032507726846277285,4.0,4.0
h0.20_s0.10_n0.10,10576.0,0.06643254462647596,0.06676642200440203,-0.00033387737792606176,4.0,4.0
h0.20_s0.10_n0.15,10576.0,0.06643081426254453,0.06676642200440203,-0.00033560774185749376,4.0,4.0
h0.20_s0.15_n0.05,10576.0,0.06643431087922821,0.06676642200440203,-0.0003321111251738118,4.0,4.0
h0.20_s0.15_n0.10,10576.0,0.06642550983791345,0.06676642200440203,-0.0003409121664885717,4.0,4.0
h0.20_s0.15_n0.15,10576.0,0.0664237792907232,0.06676642200440203,-0.0003426427136788285,4.0,4.0
h0.20_s0.20_n0.05,10576.0,0.06643436938333677,0.06676642200440203,-0.00033205262106525413,4.0,4.0
h0.20_s0.20_n0.10,10576.0,0.0664255683497735,0.06676642200440203,-0.00034085365462852013,4.0,4.0
h0.20_s0.20_n0.15,10576.0,0.06642383780410765,0.06676642200440203,-0.0003425842002943713,4.0,4.0
scope_loo,10576.0,0.06645138672437868,0.06676642200440203,-0.000315035280023343,4.0,4.0
