seed,policy,alpha_history,alpha_shared25,alpha_new25,n,rmse,baseline_rmse,delta,wins
0,global_loo,0.18927942350086732,0.18927942350086732,0.18927942350086732,2644,0.0702773578867059,0.07038579971858386,-0.0001084418318779562,1
0,scope_loo,0.19425779123848194,0.15204426121631986,0.19370972956872895,2644,0.0702935317498183,0.07038579971858386,-9.226796876556087e-05,1
0,global_0.000,0.0,0.0,0.0,2644,0.07038579971858386,0.07038579971858386,0.0,0
0,global_0.050,0.05,0.05,0.05,2644,0.07027224307623443,0.07038579971858386,-0.00011355664234942442,1
0,global_0.100,0.1,0.1,0.1,2644,0.07021958773044973,0.07038579971858386,-0.00016621198813412952,1
0,global_0.125,0.125,0.125,0.125,2644,0.07021614704960578,0.07038579971858386,-0.00016965266897807363,1
0,global_0.150,0.15,0.15,0.15,2644,0.0702279706686121,0.07038579971858386,-0.00015782904997176106,1
0,global_0.175,0.175,0.175,0.175,2644,0.0702550508807236,0.07038579971858386,-0.00013074883786025338,1
0,global_0.200,0.2,0.2,0.2,2644,0.07029737005433935,0.07038579971858386,-8.84296642445076e-05,1
0,global_0.225,0.225,0.225,0.225,2644,0.07035490069030326,0.07038579971858386,-3.089902828060098e-05,1
0,global_0.250,0.25,0.25,0.25,2644,0.07042760551097972,0.07038579971858386,4.180579239586313e-05,0
0,h0.10_s0.10_n0.05,0.1,0.1,0.05,2644,0.07020617785948514,0.07038579971858386,-0.00017962185909871364,1
0,h0.10_s0.10_n0.10,0.1,0.1,0.1,2644,0.07021958773044973,0.07038579971858386,-0.00016621198813412952,1
0,h0.10_s0.10_n0.15,0.1,0.1,0.15,2644,0.07024007424983142,0.07038579971858386,-0.00014572546875243897,1
0,h0.10_s0.15_n0.05,0.1,0.15,0.05,2644,0.07019004973622017,0.07038579971858386,-0.00019574998236368546,1
0,h0.10_s0.15_n0.10,0.1,0.15,0.1,2644,0.07020346268788828,0.07038579971858386,-0.00018233703069557572,1
0,h0.10_s0.15_n0.15,0.1,0.15,0.15,2644,0.0702239539114484,0.07038579971858386,-0.00016184580713546337,1
0,h0.10_s0.20_n0.05,0.1,0.2,0.05,2644,0.07018135689488658,0.07038579971858386,-0.00020444282369727618,1
0,h0.10_s0.20_n0.10,0.1,0.2,0.1,2644,0.07019477150759953,0.07038579971858386,-0.0001910282109843231,1
0,h0.10_s0.20_n0.15,0.1,0.2,0.15,2644,0.0702152652675443,0.07038579971858386,-0.0001705344510395529,1
0,h0.15_s0.10_n0.05,0.15,0.1,0.05,2644,0.07021019563362485,0.07038579971858386,-0.00017560408495900792,1
0,h0.15_s0.10_n0.10,0.15,0.1,0.1,2644,0.07022360473735692,0.07038579971858386,-0.00016219498122693743,1
0,h0.15_s0.10_n0.15,0.15,0.1,0.15,2644,0.07024409008518825,0.07038579971858386,-0.0001417096333956036,1
0,h0.15_s0.15_n0.05,0.15,0.15,0.05,2644,0.07019406843350279,0.07038579971858386,-0.0001917312850810704,1
0,h0.15_s0.15_n0.10,0.15,0.15,0.1,2644,0.07020748061740953,0.07038579971858386,-0.00017831910117432903,1
0,h0.15_s0.15_n0.15,0.15,0.15,0.15,2644,0.0702279706686121,0.07038579971858386,-0.00015782904997176106,1
0,h0.15_s0.20_n0.05,0.15,0.2,0.05,2644,0.07018537608990677,0.07038579971858386,-0.00020042362867708774,1
0,h0.15_s0.20_n0.10,0.15,0.2,0.1,2644,0.0701987899345731,0.07038579971858386,-0.00018700978401076096,1
0,h0.15_s0.20_n0.15,0.15,0.2,0.15,2644,0.07021928252172494,0.07038579971858386,-0.00016651719685892297,1
0,h0.20_s0.10_n0.05,0.2,0.1,0.05,2644,0.07026074438706459,0.07038579971858386,-0.00012505533151926929,1
0,h0.20_s0.10_n0.10,0.2,0.1,0.1,2644,0.0702741438455218,0.07038579971858386,-0.00011165587306205538,1
0,h0.20_s0.10_n0.15,0.2,0.1,0.15,2644,0.07029461446518215,0.07038579971858386,-9.118525340170991e-05,1
0,h0.20_s0.15_n0.05,0.2,0.15,0.05,2644,0.07024462879224166,0.07038579971858386,-0.00014117092634219341,1
0,h0.20_s0.15_n0.10,0.2,0.15,0.1,2644,0.07025803132423004,0.07038579971858386,-0.00012776839435381382,1
0,h0.20_s0.15_n0.15,0.2,0.15,0.15,2644,0.07027850663712196,0.07038579971858386,-0.00010729308146190109,1
0,h0.20_s0.20_n0.05,0.2,0.2,0.05,2644,0.07023594270595512,0.07038579971858386,-0.00014985701262873463,1
0,h0.20_s0.20_n0.10,0.2,0.2,0.1,2644,0.07024934689511976,0.07038579971858386,-0.0001364528234640977,1
0,h0.20_s0.20_n0.15,0.2,0.2,0.15,2644,0.07026982473849197,0.07038579971858386,-0.00011597498009188745,1
1,global_loo,0.1603815456205066,0.1603815456205066,0.1603815456205066,2644,0.06255838128223906,0.06302249906578815,-0.0004641177835490867,1
1,scope_loo,0.15795915239744995,0.16450536220290948,0.173003448689606,2644,0.06256611604247486,0.06302249906578815,-0.0004563830233132865,1
1,global_0.000,0.0,0.0,0.0,2644,0.06302249906578815,0.06302249906578815,0.0,0
