method,seed,n,accuracy
sp_crop_1,0,2207,0.970548255550521
sp_crop_1,1,2188,0.9748628884826326
sp_crop_1,2,2206,0.9755213055303718
sp_crop_1,70404,2197,0.9713245334547109
sp_crop_1,pooled,8798,0.9730620595589907
sp_all_1,0,2235,0.9615212527964205
sp_all_1,1,2220,0.968018018018018
sp_all_1,2,2228,0.9685816876122083
sp_all_1,70404,2229,0.9654553611484971
sp_all_1,pooled,8912,0.9658886894075404
sp_crop_2,0,2581,0.9759783029833398
sp_crop_2,1,2557,0.9753617520531873
sp_crop_2,2,2555,0.9769080234833659
sp_crop_2,70404,2579,0.9736331911593641
sp_crop_2,pooled,10272,0.9754672897196262
sp_all_2,0,2592,0.9656635802469136
sp_all_2,1,2584,0.9698142414860681
sp_all_2,2,2574,0.9751359751359752
sp_all_2,70404,2599,0.9692189303578299
sp_all_2,pooled,10349,0.9699487873224466
sp_crop_4,0,2626,0.9779131759329779
sp_crop_4,1,2608,0.9819785276073619
sp_crop_4,2,2614,0.9846977811782709
sp_crop_4,70404,2618,0.9793735676088617
sp_crop_4,pooled,10466,0.9809860500668832
sp_all_4,0,2635,0.9631878557874762
sp_all_4,1,2619,0.9679266895761741
sp_all_4,2,2621,0.9740557039297978
sp_all_4,70404,2623,0.9695005718642775
sp_all_4,pooled,10498,0.9686606972756716
sp_crop_8,0,2631,0.9635119726339795
sp_crop_8,1,2617,0.9617883072220099
sp_crop_8,2,2624,0.9607469512195121
sp_crop_8,70404,2622,0.9603356216628528
sp_crop_8,pooled,10494,0.9615971031065371
sp_all_8,0,2638,0.9264594389689158
sp_all_8,1,2631,0.928164196123147
sp_all_8,2,2636,0.9336115326251897
sp_all_8,70404,2634,0.9320425208807896
sp_all_8,pooled,10539,0.9300692665338267
sp_crop_16,0,2633,0.9487276870489936
sp_crop_16,1,2621,0.9431514689049981
sp_crop_16,2,2626,0.944021325209444
sp_crop_16,70404,2625,0.9443809523809524
sp_crop_16,pooled,10505,0.9450737743931461
sp_all_16,0,2642,0.8800151400454201
sp_all_16,1,2638,0.8790750568612585
sp_all_16,2,2640,0.8875
sp_all_16,70404,2637,0.8900265453166477
sp_all_16,pooled,10557,0.8841526948943829
sp_crop_32,0,2638,0.9503411675511751
sp_crop_32,1,2625,0.9466666666666667
sp_crop_32,2,2629,0.9497907949790795
sp_crop_32,70404,2630,0.9475285171102662
sp_crop_32,pooled,10522,0.9485839194069569
sp_all_32,0,2644,0.8838880484114977
sp_all_32,1,2641,0.8848920863309353
sp_all_32,2,2642,0.8902346707040121
sp_all_32,70404,2639,0.8859416445623343
sp_all_32,pooled,10566,0.8862388794245694
temp_1,0,2644,0.36838124054462934
temp_1,1,2644,0.35703479576399394
temp_1,2,2644,0.3801059001512859
temp_1,70404,2644,0.352874432677761
temp_1,pooled,10576,0.36459909228441756
temp_2,0,2644,0.5260968229954615
temp_2,1,2644,0.5313918305597579
temp_2,2,2644,0.5457639939485628
temp_2,70404,2644,0.5249621785173979
temp_2,pooled,10576,0.532053706505295
temp_4,0,2644,0.5559757942511346
temp_4,1,2644,0.5544629349470499
temp_4,2,2644,0.5593797276853253
temp_4,70404,2644,0.5344175491679274
temp_4,pooled,10576,0.5510590015128594
temp_8,0,2644,0.5760211800302572
temp_8,1,2644,0.5737518910741302
temp_8,2,2644,0.590393343419062
temp_8,70404,2644,0.5688350983358548
temp_8,pooled,10576,0.577250378214826
cross_2,0,2644,0.5302571860816944
cross_2,1,2644,0.5450075642965204
cross_2,2,2644,0.5423600605143721
cross_2,70404,2644,0.5582450832072617
cross_2,pooled,10576,0.5439674735249622
cross_4,0,2644,0.5658093797276853
cross_4,1,2644,0.5703479576399395
cross_4,2,2644,0.5703479576399395
