year,truth,true_src,doy,q,p_s2,p_ls,p_md,s2,landsat,modis
2019,0.3226791885441528,modis,177,2003,0.007633587786259542,0.25190839694656486,0.7404580152671756,0.19794816445878688,0.2757093142403704,0.3231892467138672
2019,0.234648495218802,landsat,210,2036,0.30120481927710846,0.6867469879518072,0.012048192771084338,0.2260565101846329,0.25988995394452524,0.317244430994528
2019,0.3215358472553701,modis,225,2051,0.18518518518518517,0.24444444444444444,0.5703703703703704,0.2259989428349555,0.26831895061728617,0.3229964274664104
2019,0.7465997423623716,s2,91,5112,0.7721518987341772,0.21518987341772153,0.012658227848101266,0.6675889174938227,0.6727605839734935,0.7570013743470541
2019,0.912608548188256,s2,126,5147,0.9780219780219781,0.010989010989010992,0.010989010989010992,0.8054457914314499,0.8259443666783282,0.8145732366302435
2019,0.8633667030456484,landsat,155,5176,0.2525252525252526,0.7373737373737375,0.010101010101010104,0.8430047018895511,0.837335661278622,0.7811680900349423
2019,0.1352430982600685,s2,188,5209,0.9770114942528736,0.011494252873563218,0.011494252873563218,0.19834902305591107,0.24734193448074218,0.29735012425283536
2019,0.3383295609182435,landsat,219,5240,0.16455696202531644,0.8227848101265823,0.012658227848101266,0.2999741150307764,0.33465970832748254,0.3657337680463196
2019,0.3867256717278265,s2,226,5247,0.9789473684210527,0.010526315789473684,0.010526315789473684,0.3746948321051593,0.398357594530568,0.4162143783711924
2019,0.4473056731221935,landsat,234,5255,0.13432835820895522,0.8507462686567164,0.014925373134328358,0.36214870075973815,0.39053544751916075,0.4002260846267145
2019,0.1541977626863271,landsat,235,5256,0.20481927710843373,0.7831325301204819,0.012048192771084338,0.3618606815087218,0.38989418164177714,0.4009876811447692
2019,0.6785134925676533,modis,113,8329,0.6260162601626016,0.23577235772357724,0.13821138211382114,0.5122668675284131,0.5330905889744058,0.6266425900238873
2019,0.7975428026934316,modis,145,8361,0.2032520325203252,0.008130081300813009,0.7886178861788617,0.7503122435693271,0.7710864906766072,0.770181111145592
2019,0.5339735900922244,s2,181,8397,0.7349397590361446,0.25301204819277107,0.012048192771084338,0.4541713558537492,0.49887893431712305,0.5159341451804564
2019,0.5197044594079532,modis,193,8409,0.008130081300813009,0.17073170731707318,0.8211382113821138,0.44353807386421434,0.48965288045885036,0.5095952945381974
2019,0.4367464108753651,modis,257,8473,0.007633587786259542,0.19083969465648856,0.8015267175572519,0.3111538817138893,0.33892146309250243,0.38692022311211866
2019,0.3418787380377747,s2,266,8482,0.9759036144578314,0.012048192771084338,0.012048192771084338,0.31043472541157774,0.3395431265884564,0.3950697132606926
2019,0.5099181770744069,s2,91,11502,0.7721518987341772,0.21518987341772153,0.012658227848101266,0.4585685714125169,0.4784261278230946,0.5912641343593013
2019,0.2826332811101164,modis,177,11588,0.007633587786259542,0.25190839694656486,0.7404580152671756,0.21422466269260593,0.29727928992034997,0.3318942321681296
2019,0.2948467099373322,modis,209,11620,0.08609271523178808,0.1390728476821192,0.7748344370860927,0.15394537104063366,0.2214250471595457,0.2628893448252717
2019,0.3201401745747538,modis,225,11636,0.18518518518518517,0.24444444444444444,0.5703703703703704,0.23573809218419642,0.2786281789595891,0.32955309531509325
2019,0.2553435416949679,s2,226,11637,0.9789473684210527,0.010526315789473684,0.010526315789473684,0.24130886125268958,0.2836884896843358,0.3334860089402464
2019,0.7692984386972274,landsat,139,13070,0.1566265060240964,0.8313253012048193,0.012048192771084338,0.8228013959353563,0.8346618153738783,0.8103388899838164
2019,0.106757405103178,s2,198,13094,0.9789473684210527,0.010526315789473684,0.010526315789473684,0.14544975783510367,0.19835356441988883,0.2521633630597784
2019,0.3459212809917355,modis,225,13104,0.18518518518518517,0.24444444444444444,0.5703703703703704,0.25398355297003666,0.2960240540820452,0.34071708202992923
2019,0.3700481404958678,modis,273,13125,0.2773109243697479,0.14285714285714285,0.5798319327731093,0.2590977901501677,0.281589158207601,0.3371225490857239
2019,0.3880512396694215,modis,289,13128,0.09352517985611511,0.1510791366906475,0.7553956834532374,0.2827488761924673,0.3041977769461149,0.35410398336195537
2019,0.3382590709728869,modis,97,15408,0.007407407407407408,0.18518518518518517,0.8074074074074075,0.199024547145027,0.237589870042463,0.4215650588543928
2019,0.253966242124564,s2,113,15424,0.6260162601626016,0.23577235772357724,0.13821138211382114,0.2584961829415882,0.2908402479406975,0.4521748001734691
2019,0.2786232952324141,s2,118,15429,0.9746835443037976,0.012658227848101267,0.012658227848101267,0.2856811853056823,0.3166127162110978,0.4691696714182225
2019,0.3138876594896333,modis,193,15504,0.008130081300813009,0.17073170731707318,0.8211382113821138,0.23827969367296736,0.2933089569726847,0.33630209180502174
2019,0.3170344656770985,s2,218,15529,0.7185185185185186,0.2740740740740741,0.007407407407407408,0.34066684454281926,0.37178615236552753,0.393887089086394
2019,0.3801486586350469,s2,226,15537,0.9789473684210527,0.010526315789473684,0.010526315789473684,0.32541378349980793,0.3544313184128296,0.38409782322932495
2019,0.2258932122279706,s2,231,15542,0.9661016949152543,0.016949152542372885,0.016949152542372885,0.24822166906546875,0.28751863379475445,0.3366729335144638
2019,0.3405341706539076,modis,273,15584,0.2773109243697479,0.14285714285714285,0.5798319327731093,0.20514072750097526,0.23241367036891172,0.30517640716317634
2019,0.7729414204308778,landsat,147,18653,0.01818181818181818,0.9636363636363636,0.01818181818181818,0.6202053065919558,0.6577087037347512,0.7157083522493375
2019,0.7532304608734582,s2,158,18664,0.9574468085106383,0.02127659574468085,0.02127659574468085,0.6930456501797035,0.7126169610135534,0.6748067526937147
2019,0.4604503486015336,s2,186,18692,0.9770114942528736,0.011494252873563218,0.011494252873563218,0.4802007845680752,0.5215082449560792,0.5343731310743349
2019,0.2271962348417911,s2,286,18792,0.9797979797979799,0.010101010101010104,0.010101010101010104,0.233389805336441,0.26007000916658385,0.32515723761004933
