_row,anon_polygon_id,date,n16_c60_r125_k2,n16_c60_r125_k3,n16_c80_r125_k2,n16_c80_r125_k3,n12_c60_r125_k2,n8_c80_r125_k3
150,AOI-0001,2010-08-29,0.17403988,0.19108540,0.17403988,0.19108540,0.17314051,0.19299435
207,AOI-0001,2010-10-25,0.14890914,0.14890914,0.14890914,0.14890914,0.14890914,0.14890914
286,AOI-0001,2011-06-13,0.44660977,0.44660977,0.44660977,0.44660977,0.44660977,0.44660977
383,AOI-0001,2011-09-18,0.29119952,0.29119952,0.29119952,0.29119952,0.29119952,0.29119952
391,AOI-0001,2011-09-26,0.31000918,0.31000918,0.31000918,0.31000918,0.31000918,0.31000918
395,AOI-0001,2011-09-30,0.36347841,0.34478761,0.36347841,0.34478761,0.36347841,0.34478761
479,AOI-0001,2012-05-24,,,,,0.67376490,0.67376490
525,AOI-0001,2012-07-09,,,,,0.23827713,0.23827713
527,AOI-0001,2012-07-11,,,,,0.35571554,0.35571554
557,AOI-0001,2012-08-10,,,,,0.19471596,0.19471596
559,AOI-0001,2012-08-12,,,,,0.32958402,0.32958402
623,AOI-0001,2012-10-15,,,,,0.30189760,0.30189760
669,AOI-0001,2013-05-01,,,,,0.77199301,0.77199301
741,AOI-0001,2013-07-12,,,,,0.29925421,0.29925421
821,AOI-0001,2013-09-30,,,,,0.34965112,0.37312690
869,AOI-0001,2014-04-18,,,,,,
906,AOI-0001,2014-05-25,,,,,,
938,AOI-0001,2014-06-26,,,,,,
957,AOI-0001,2014-07-15,,,,,,
970,AOI-0001,2014-07-28,,,,,,
982,AOI-0001,2014-08-09,,,,,,
986,AOI-0001,2014-08-13,,,,,,
1037,AOI-0001,2014-10-03,,,,,,
1050,AOI-0001,2014-10-16,,,,,,
1077,AOI-0001,2015-04-13,,,,,,
1197,AOI-0001,2015-08-11,0.28558862,0.28558862,0.28558862,0.28558862,0.28558862,0.28558862
1198,AOI-0001,2015-08-12,0.24160606,0.24160606,0.24160606,0.24160606,0.22132981,0.19934454
1213,AOI-0001,2015-08-27,0.19394777,0.19394777,0.19394777,0.19394777,0.19394777,0.19394777
1237,AOI-0001,2015-09-20,0.14354007,0.14354007,0.14354007,0.14354007,0.14354007,0.14354007
1245,AOI-0001,2015-09-28,0.17633555,0.17633555,0.17633555,0.17633555,0.17633555,0.17633555
1365,AOI-0001,2016-06-27,0.30701177,0.30701177,,,0.30701177,
1372,AOI-0001,2016-07-04,0.33475744,0.33475744,,,0.33475744,
1388,AOI-0001,2016-07-20,,,,,,
1395,AOI-0001,2016-07-27,,,,,,0.36368174
1428,AOI-0001,2016-08-29,0.43601393,0.43601393,,,0.43601393,
1429,AOI-0001,2016-08-30,0.37044628,0.37044628,,,0.37044628,
1445,AOI-0001,2016-09-15,,,,,,
1459,AOI-0001,2016-09-29,0.26930088,0.26930088,,,0.26930088,0.51785646
1532,AOI-0001,2017-05-12,0.77974793,0.78796097,0.77974793,0.78796097,0.77974793,0.78796097
1580,AOI-0001,2017-06-29,0.53891683,0.51895483,0.53891683,0.51895483,0.53891683,0.51895483
1593,AOI-0001,2017-07-12,0.42665092,0.41083542,0.42665092,0.41083542,0.42665092,0.41083542
