protocol,year,mode,top,n,coverage,rmse
exact,2019,base,4,213,0.8554216867469879,0.07619683094926319
exact,2019,crop,4,193,0.7751004016064257,0.07806488290722406
exact,2019,crop_source,4,152,0.6104417670682731,0.07787963868482749
exact,2019,corr_rank,4,212,0.8514056224899599,0.07168373527845338
exact,2019,median,4,213,0.8554216867469879,0.07946578196444799
exact,2019,mean,4,213,0.8554216867469879,0.07733489561339178
exact,2020,base,4,204,0.918918918918919,0.06837268395072252
exact,2020,crop,4,191,0.8603603603603603,0.07528235836761056
exact,2020,crop_source,4,162,0.7297297297297297,0.07618357164980721
exact,2020,corr_rank,4,205,0.9234234234234234,0.06595244522561504
exact,2020,median,4,204,0.918918918918919,0.07689972795729201
exact,2020,mean,4,204,0.918918918918919,0.07046501804062993
exact,2021,base,4,115,0.8846153846153846,0.10208009931106199
exact,2021,crop,4,102,0.7846153846153846,0.10958007337891083
exact,2021,crop_source,4,89,0.6846153846153846,0.10471434209132098
exact,2021,corr_rank,4,114,0.8769230769230769,0.09672949557484038
exact,2021,median,4,115,0.8846153846153846,0.10028564334221161
exact,2021,mean,4,115,0.8846153846153846,0.10153891972214439
exact,2022,base,4,164,0.8541666666666666,0.07798516006978794
exact,2022,crop,4,140,0.7291666666666666,0.06865923838955286
exact,2022,crop_source,4,111,0.578125,0.07327694704224187
exact,2022,corr_rank,4,165,0.859375,0.07898850260798035
exact,2022,median,4,164,0.8541666666666666,0.0792081965287895
exact,2022,mean,4,164,0.8541666666666666,0.07848321524423688
exact,2023,base,4,158,0.9349112426035503,0.08165657079635144
exact,2023,crop,4,130,0.7692307692307693,0.08255377665919893
exact,2023,crop_source,4,123,0.727810650887574,0.08350958064605912
exact,2023,corr_rank,4,155,0.9171597633136095,0.08160172124836831
exact,2023,median,4,158,0.9349112426035503,0.08084097805618584
exact,2023,mean,4,158,0.9349112426035503,0.08083992290989499
exact,2024,base,4,135,0.8881578947368421,0.06555311684342612
exact,2024,crop,4,129,0.8486842105263158,0.06861729655986568
exact,2024,crop_source,4,125,0.8223684210526315,0.07901722895171598
exact,2024,corr_rank,4,137,0.9013157894736842,0.06545933660408826
exact,2024,median,4,135,0.8881578947368421,0.06669060423116245
exact,2024,mean,4,135,0.8881578947368421,0.06611496839052208
