scheme,slice,n,rmse
uniform,all,3112,0.0709927360
uniform,history,2187,0.0739227595
uniform,2025,925,0.0635300143
uniform,new2025,461,0.0680449358
uniform,shared2025,464,0.0587013883
soft_0p35,all,3112,0.0720405883
soft_0p35,history,2187,0.0749970224
soft_0p35,2025,925,0.0645140139
soft_0p35,new2025,461,0.0691333852
soft_0p35,shared2025,464,0.0595708202
soft_0p70,all,3112,0.0725263329
soft_0p70,history,2187,0.0753855131
soft_0p70,2025,925,0.0652700585
soft_0p70,new2025,461,0.0697453175
soft_0p70,shared2025,464,0.0604967637
clip2,all,3112,0.0721709069
clip2,history,2187,0.0751856762
clip2,2025,925,0.0644848657
clip2,new2025,461,0.0690032788
clip2,shared2025,464,0.0596577156
clip3,all,3112,0.0727012899
clip3,history,2187,0.0757306985
clip3,2025,925,0.0649794797
clip3,new2025,461,0.0695188433
clip3,shared2025,464,0.0601310520
stable70,all,3112,0.0833113446
stable70,history,2187,0.0855985385
stable70,2025,925,0.0776361483
stable70,new2025,461,0.0802722529
stable70,shared2025,464,0.0749252949
