proto,label,rank,n,rmse,mae
exact,y2019,1,249,0.1245084434218352,0.08997508031086743
exact,y2019,2,249,0.09345987842729099,0.06805343608143853
exact,y2019,3,249,0.0902296480362656,0.06552033869868885
exact,y2019,4,249,0.0881254278608242,0.06448209920413658
exact,y2019,5,249,0.0936691329712337,0.06626220192226212
exact,y2019,6,249,0.09911378506798439,0.06714015431751034
exact,y2019,8,249,0.11018883125453569,0.07206991910474107
exact,y2019,10,249,0.111233484146541,0.07309619998018932
exact,y2019,15,249,0.14667755349241862,0.09639684877888943
exact,y2020,1,222,0.10793769856022382,0.07687937027521749
exact,y2020,2,222,0.07138777166647393,0.051637085905003315
exact,y2020,3,222,0.07225062146184848,0.05194652610043983
exact,y2020,4,222,0.06962833701955261,0.04967998343743156
exact,y2020,5,222,0.06832173298529567,0.049543888470228455
exact,y2020,6,222,0.07261973611558782,0.053347642070025014
exact,y2020,8,222,0.07682625370405735,0.054686527982959025
exact,y2020,10,222,0.08233220050681467,0.056000699012061804
exact,y2020,15,222,0.12099017079791785,0.07383005698389643
exact,y2021,1,130,0.1200173203995036,0.0856734349842114
exact,y2021,2,130,0.10221894737833935,0.07517690044157178
exact,y2021,3,130,0.1158788772322291,0.08252117741856119
exact,y2021,4,130,0.1115027871392718,0.08117084039380089
exact,y2021,5,130,0.1086087844624523,0.07842649658333203
exact,y2021,6,130,0.10536922591288543,0.07493512813057071
exact,y2021,8,130,0.1141503877750413,0.08160320265669949
exact,y2021,10,130,0.12090597623828862,0.08147829723131085
exact,y2021,15,130,0.19169305258934902,0.11749529880568178
exact,y2022,1,192,0.10763415142957572,0.07846056304951494
exact,y2022,2,192,0.10282255301067925,0.07602050096957531
exact,y2022,3,192,0.09668041148330403,0.07048939931994298
exact,y2022,4,192,0.09421669576463232,0.06860507526093901
exact,y2022,5,192,0.09270314279996636,0.06942287446201614
exact,y2022,6,192,0.09407833774994401,0.07105419576669263
exact,y2022,8,192,0.09547754424073636,0.07103153583755219
exact,y2022,10,192,0.11013184120058968,0.07956793239913061
exact,y2022,15,192,0.1371386784925074,0.09488724570883807
exact,y2023,1,169,0.14511457853865414,0.10671946854154073
exact,y2023,2,169,0.08856743254672317,0.06219614144323377
exact,y2023,3,169,0.08384903205365853,0.05930012607105536
exact,y2023,4,169,0.08898223874865184,0.06462389814300748
exact,y2023,5,169,0.09258891164202777,0.06546935151434048
exact,y2023,6,169,0.09323734917439998,0.06640197090331591
exact,y2023,8,169,0.10530150797343146,0.07240777710020277
exact,y2023,10,169,0.11781781097699756,0.07867288626922334
exact,y2023,15,169,0.1560399582056715,0.10629452486140771
exact,y2024,1,152,0.09130331035304323,0.0640476482720821
exact,y2024,2,152,0.08773658006885161,0.06450066160593378
exact,y2024,3,152,0.08254930748630333,0.05888564451290473
exact,y2024,4,152,0.08907520148832282,0.06066719102571824
exact,y2024,5,152,0.08288049906223574,0.05772631998882483
exact,y2024,6,152,0.0802023670483029,0.05629041359314872
exact,y2024,8,152,0.08066842664951437,0.055167301302103657
exact,y2024,10,152,0.07818536446467182,0.05519117004983929
exact,y2024,15,152,0.12597390829156294,0.0806787300854358
random,s0,1,2644,0.13931665078877953,0.09676153893962493
random,s0,2,2644,0.11931489520567294,0.07983764521317585
random,s0,3,2644,0.12351146965451254,0.08205621075531289
random,s0,4,2644,0.12662797888114502,0.08430153438879552
random,s0,5,2644,0.13458856933880997,0.08770629690128652
random,s0,6,2644,0.14391772986382223,0.0927817766797446
random,s0,8,2644,0.15918588346681295,0.10136886435468695
random,s0,10,2644,0.17210917939616502,0.11039201410356503
random,s0,15,2644,0.19090888430663192,0.12558239326199191
random,s1,1,2644,0.13626003341962437,0.09723294687768191
random,s1,2,2644,0.11541904787486726,0.07970827785862473
random,s1,3,2644,0.12042117931623715,0.08143245527623318
random,s1,4,2644,0.1258302621722577,0.0853060069437677
random,s1,5,2644,0.13642689511103934,0.0914457686002552
random,s1,6,2644,0.14383699396310357,0.09348329512475585
random,s1,8,2644,0.1635539021356012,0.10417093835727358
random,s1,10,2644,0.17204548687828874,0.11022546108668327
random,s1,15,2644,0.19140539485596517,0.12702018671309
random,s2,1,2644,0.13755729192236726,0.09648933810230781
random,s2,2,2644,0.11562016903469023,0.07809989358973433
random,s2,3,2644,0.11924146058825237,0.07987095385987118
random,s2,4,2644,0.12807771680880045,0.08495402450169766
random,s2,5,2644,0.13590141384848747,0.08865027112664632
random,s2,6,2644,0.14323851387991113,0.0926453480843578
random,s2,8,2644,0.15976881818917174,0.10234428288748475
random,s2,10,2644,0.17330538521935276,0.11287823536080696
random,s2,15,2644,0.1947810603521337,0.129310694010585
