protocol,partition,candidate,n,rmse,mae,tag,tail_n
exact_hidden_doy,exact2019,baseline,249,0.05718105612325281,0.039427367948714015,loo_year,11
exact_hidden_doy,exact2019,ridge10_s0.25,249,0.05724583863459434,0.03954977983226622,loo_year,11
exact_hidden_doy,exact2019,ridge10_s0.50,249,0.057557853331568654,0.039977189591112544,loo_year,11
exact_hidden_doy,exact2019,ridge10_s0.75,249,0.05811311811331112,0.04067716010716819,loo_year,11
exact_hidden_doy,exact2019,ridge10,249,0.05890475440164278,0.04159138835231459,loo_year,11
exact_hidden_doy,exact2019,ridge30_s0.25,249,0.057157724512364234,0.03952506800783753,loo_year,11
exact_hidden_doy,exact2019,ridge30_s0.50,249,0.05735114089414914,0.039888411552071366,loo_year,11
exact_hidden_doy,exact2019,ridge30_s0.75,249,0.05775912785576193,0.040488782434215484,loo_year,11
exact_hidden_doy,exact2019,ridge30,249,0.058377186792654266,0.041365182298347986,loo_year,11
exact_hidden_doy,exact2019,ridge100,249,0.058209049809188396,0.041068150312192575,loo_year,11
exact_hidden_doy,exact2019,huber,249,0.05666881771076561,0.03952290311108804,loo_year,11
exact_hidden_doy,exact2019,hgb8_s0.25,249,0.05705123671596827,0.0391833280577011,loo_year,11
exact_hidden_doy,exact2019,hgb8_s0.50,249,0.057261524862435215,0.03943106369414789,loo_year,11
exact_hidden_doy,exact2019,hgb8_s0.75,249,0.05780820906774493,0.04009079747316765,loo_year,11
exact_hidden_doy,exact2019,hgb8,249,0.05868188842366875,0.04119248449142794,loo_year,11
exact_hidden_doy,exact2019,hgb16_s0.25,249,0.057223688933077124,0.0392617430968184,loo_year,11
exact_hidden_doy,exact2019,hgb16_s0.50,249,0.05769971145942897,0.039570287562492784,loo_year,11
exact_hidden_doy,exact2019,hgb16_s0.75,249,0.05859856279420122,0.04044352063744051,loo_year,11
exact_hidden_doy,exact2019,hgb16,249,0.05990121160914299,0.04189035831946986,loo_year,11
exact_hidden_doy,exact2020,baseline,222,0.05531092808775867,0.037629656313872696,loo_year,9
exact_hidden_doy,exact2020,ridge10_s0.25,222,0.05545699270553512,0.03759814229383458,loo_year,9
exact_hidden_doy,exact2020,ridge10_s0.50,222,0.05582273676070442,0.037865684178386545,loo_year,9
exact_hidden_doy,exact2020,ridge10_s0.75,222,0.05640388696241234,0.038577412879344214,loo_year,9
exact_hidden_doy,exact2020,ridge10,222,0.0571938774256724,0.039440303373173204,loo_year,9
exact_hidden_doy,exact2020,ridge30_s0.25,222,0.05542914312462189,0.037601403802878006,loo_year,9
exact_hidden_doy,exact2020,ridge30_s0.50,222,0.05574215646249632,0.03783208686950982,loo_year,9
exact_hidden_doy,exact2020,ridge30_s0.75,222,0.05624671603398739,0.038475896546314996,loo_year,9
exact_hidden_doy,exact2020,ridge30,222,0.05693772984661053,0.039319398163781556,loo_year,9
exact_hidden_doy,exact2020,ridge100,222,0.05676577439562543,0.03930253548087106,loo_year,9
exact_hidden_doy,exact2020,huber,222,0.058025599839008284,0.039877568085957216,loo_year,9
exact_hidden_doy,exact2020,hgb8_s0.25,222,0.05541194466493252,0.037722714268545864,loo_year,9
exact_hidden_doy,exact2020,hgb8_s0.50,222,0.055688871037131556,0.037957322912135195,loo_year,9
exact_hidden_doy,exact2020,hgb8_s0.75,222,0.056139104049239955,0.03843956763398984,loo_year,9
exact_hidden_doy,exact2020,hgb8,222,0.0567585196224576,0.039251539707373745,loo_year,9
exact_hidden_doy,exact2020,hgb16_s0.25,222,0.05536438799036757,0.037693553787935964,loo_year,9
exact_hidden_doy,exact2020,hgb16_s0.50,222,0.055639921386788506,0.03798987075400544,loo_year,9
exact_hidden_doy,exact2020,hgb16_s0.75,222,0.0561342582481443,0.03859317097247245,loo_year,9
exact_hidden_doy,exact2020,hgb16,222,0.05684169023676206,0.03942566143197624,loo_year,9
exact_hidden_doy,exact2021,baseline,130,0.07722274795685638,0.056872823530196855,loo_year,14
exact_hidden_doy,exact2021,ridge10_s0.25,130,0.07702047488815585,0.056414686234420815,loo_year,14
exact_hidden_doy,exact2021,ridge10_s0.50,130,0.07703042208824044,0.05609705967811566,loo_year,14
exact_hidden_doy,exact2021,ridge10_s0.75,130,0.07725250757933025,0.05587480660186332,loo_year,14
exact_hidden_doy,exact2021,ridge10,130,0.07768491200099949,0.05578496624225143,loo_year,14
exact_hidden_doy,exact2021,ridge30_s0.25,130,0.07696876791381109,0.05649641150917135,loo_year,14
exact_hidden_doy,exact2021,ridge30_s0.50,130,0.07687717488251104,0.05624005567346541,loo_year,14
exact_hidden_doy,exact2021,ridge30_s0.75,130,0.07694854874035237,0.05606580434705384,loo_year,14
exact_hidden_doy,exact2021,ridge30,130,0.07718243738157472,0.05601044872017683,loo_year,14
exact_hidden_doy,exact2021,ridge100,130,0.07708988995971351,0.05648658030337247,loo_year,14
exact_hidden_doy,exact2021,huber,130,0.07788788792913574,0.055562897792743,loo_year,14
exact_hidden_doy,exact2021,hgb8_s0.25,130,0.07671389051465112,0.05666204784564375,loo_year,14
exact_hidden_doy,exact2021,hgb8_s0.50,130,0.07634756099622655,0.05651697392615742,loo_year,14
exact_hidden_doy,exact2021,hgb8_s0.75,130,0.07612581703038813,0.05649166525572552,loo_year,14
exact_hidden_doy,exact2021,hgb8,130,0.07604992336162258,0.056488918457642964,loo_year,14
exact_hidden_doy,exact2021,hgb16_s0.25,130,0.07688914262001248,0.05688032027164031,loo_year,14
exact_hidden_doy,exact2021,hgb16_s0.50,130,0.07673923634419508,0.05708803003131276,loo_year,14
exact_hidden_doy,exact2021,hgb16_s0.75,130,0.07677410518890465,0.05738872236216436,loo_year,14
exact_hidden_doy,exact2021,hgb16,130,0.0769934981114699,0.057764741414337024,loo_year,14
exact_hidden_doy,exact2022,baseline,192,0.06659808703830404,0.04766860741555279,loo_year,16
exact_hidden_doy,exact2022,ridge10_s0.25,192,0.06712100630401124,0.04810970988051392,loo_year,16
exact_hidden_doy,exact2022,ridge10_s0.50,192,0.06795894890835488,0.04874750690796031,loo_year,16
exact_hidden_doy,exact2022,ridge10_s0.75,192,0.06910045546562874,0.04952291184453258,loo_year,16
exact_hidden_doy,exact2022,ridge10,192,0.07053078841009768,0.05062833338365328,loo_year,16
exact_hidden_doy,exact2022,ridge30_s0.25,192,0.06687245763995131,0.04792726732465938,loo_year,16
exact_hidden_doy,exact2022,ridge30_s0.50,192,0.06733952043638076,0.04836847224611359,loo_year,16
