mode,mask_seed,method,weight,cohort,n,rmse,mae,bias
all,0,base_k6,,all,2644,0.0810259292866424,0.0508817648988916,0.0005835922479615
all,0,lag_k16_d3,,all,2644,0.0794589951521615,0.0499405790027258,0.0017917203210387
all,0,hgb_seed42,,all,2644,0.0738059325387685,0.043621902923299,-0.0008824996213632
all,0,hgb_seed7,,all,2644,0.073232467721783,0.0433673042389098,-0.0002251181987571
all,0,hgb_seed123,,all,2644,0.0737991115598251,0.0437127318408702,-0.0002188660386959
all,0,hgb_seed_mean,,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,hgb_seed_mean+lag_k16_d3,0.0,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,hgb_seed_mean+lag_k16_d3,0.05,all,2644,0.0732638706514903,0.0432844619963059,-0.0003304672059065
all,0,hgb_seed_mean+lag_k16_d3,0.1,all,2644,0.0731700510876529,0.0432493811343631,-0.0002187731255409
all,0,hgb_seed_mean+lag_k16_d3,0.15,all,2644,0.0731243971638731,0.0432618452768249,-0.0001070790451754
all,0,hgb_seed_mean+lag_k16_d3,0.2,all,2644,0.0731269990910926,0.0433295713449096,4.615035190098572e-06
all,0,hgb_seed_mean+lag_k16_d3,0.25,all,2644,0.0731778517219258,0.0434454858941311,0.0001163091155556
all,0,hgb_seed_mean+lag_k16_d3,0.3,all,2644,0.073276854601452,0.043599970870361,0.0002280031959211
all,0,hgb_seed_mean+lag_k16_d3,0.35,all,2644,0.073423812956065,0.0437995779934997,0.0003396972762866
all,0,hgb_seed_mean+lag_k16_d3,0.4,all,2644,0.0736184395977718,0.0440392851314554,0.0004513913566522
all,0,hgb_seed_mean+lag_k16_d3,0.45,all,2644,0.0738603577008196,0.044323426912133,0.0005630854370178
all,0,hgb_seed_mean+lag_k16_d3,0.5,all,2644,0.0741491043887515,0.0446485653616834,0.0006747795173833
all,0,hgb_seed_mean+lag_k16_d3,0.55,all,2644,0.0744841350536716,0.045006735477486,0.0007864735977488
all,0,hgb_seed_mean+lag_k16_d3,0.6,all,2644,0.0748648283161853,0.045412526681193,0.0008981676781144
all,0,hgb_seed_mean+lag_k16_d3,0.65,all,2644,0.0752904915245538,0.0458570794769067,0.0010098617584799
all,0,hgb_seed_mean+lag_k16_d3,0.7,all,2644,0.075760366685257,0.0463352170178241,0.0011215558388454
all,0,hgb_seed_mean+lag_k16_d3,0.75,all,2644,0.0762736367143916,0.0468585276097287,0.001233249919211
all,0,hgb_seed_mean+lag_k16_d3,0.8,all,2644,0.0768294318999695,0.047413482307054,0.0013449439995765
all,0,hgb_seed_mean+lag_k16_d3,0.85,all,2644,0.0774268364689131,0.0479998993719669,0.0014566380799421
all,0,hgb_seed_mean+lag_k16_d3,0.9,all,2644,0.078064895158927,0.0486145108179709,0.0015683321603076
all,0,hgb_seed_mean+lag_k16_d3,0.95,all,2644,0.0787426197039659,0.0492667866713352,0.0016800262406732
all,0,hgb_seed_mean+lag_k16_d3,1.0,all,2644,0.0794589951521615,0.0499405790027258,0.0017917203210387
all,0,hgb_seed_mean+base_k6,0.0,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,hgb_seed_mean+base_k6,0.05,all,2644,0.0733577393810775,0.0433416935343517,-0.0003908736095604
all,0,hgb_seed_mean+base_k6,0.1,all,2644,0.0733570549512662,0.0433616442178424,-0.0003395859328487
all,0,hgb_seed_mean+base_k6,0.15,all,2644,0.073403619206743,0.0434278535199907,-0.000288298256137
all,0,hgb_seed_mean+base_k6,0.2,all,2644,0.0734973423443219,0.0435433418940147,-0.0002370105794253
all,0,hgb_seed_mean+base_k6,0.25,all,2644,0.0736380442992128,0.0437090261609526,-0.0001857229027136
all,0,hgb_seed_mean+base_k6,0.3,all,2644,0.0738254564649056,0.0439135287463332,-0.000134435226002
all,0,hgb_seed_mean+base_k6,0.35,all,2644,0.0740592242316578,0.0441696221927309,-8.31475492903535e-05
