anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-05-25,0.71637688
AOI-0001,2010-07-13,0.25318964
AOI-0001,2010-07-29,0.22270671
AOI-0001,2010-08-30,0.18502323
AOI-0001,2011-04-02,0.15213959
AOI-0001,2011-04-26,0.22980913
AOI-0001,2011-08-08,0.47655424
AOI-0001,2011-08-29,0.38536441
AOI-0001,2011-09-25,0.30533983
AOI-0001,2012-06-25,0.41004739
AOI-0001,2012-07-25,0.26088743
AOI-0001,2012-10-13,0.31453618
AOI-0001,2013-04-07,0.79214771
AOI-0001,2013-08-06,0.24816979
AOI-0001,2013-08-21,0.27494564
AOI-0001,2014-04-07,0.36498245
AOI-0001,2014-07-07,0.75027135
AOI-0001,2014-08-16,0.45971368
AOI-0001,2014-08-24,0.37959718
AOI-0001,2015-04-07,0.56620809
AOI-0001,2015-04-23,0.70981499
AOI-0001,2015-07-12,0.38122852
AOI-0001,2015-09-04,0.18364026
AOI-0001,2016-04-06,0.36649753
AOI-0001,2016-04-23,0.34926816
AOI-0001,2016-06-09,0.42730793
AOI-0001,2016-10-17,0.56167043
AOI-0001,2017-05-09,0.76832030
AOI-0001,2017-06-13,0.70475829
AOI-0001,2017-06-30,0.57326159
AOI-0001,2017-08-01,0.33469837
AOI-0001,2017-08-24,0.27142440
AOI-0001,2017-10-04,0.20670596
AOI-0001,2017-10-19,0.31324080
AOI-0001,2018-04-29,0.76407379
AOI-0001,2018-06-16,0.47339629
AOI-0001,2018-08-13,0.31714726
AOI-0001,2018-08-19,0.24809028
AOI-0001,2018-08-20,0.24724182
AOI-0001,2018-09-05,0.20537284
AOI-0001,2018-09-21,0.22475503
AOI-0001,2019-04-21,0.18870200
AOI-0001,2019-06-19,0.52654304
AOI-0001,2019-06-27,0.41928432
AOI-0001,2019-07-28,0.43375495
AOI-0001,2019-08-14,0.37039303
AOI-0001,2019-08-24,0.30144013
AOI-0001,2019-09-28,0.14979909
AOI-0001,2019-10-10,0.20850585
AOI-0001,2020-05-15,0.81312462
AOI-0001,2020-05-24,0.81894357
AOI-0001,2020-06-05,0.81245197
AOI-0001,2020-06-24,0.48451284
AOI-0001,2020-08-18,0.26159756
AOI-0001,2020-08-24,0.30596305
AOI-0001,2020-09-13,0.31394192
AOI-0001,2021-04-15,0.25149954
AOI-0001,2021-04-23,0.48646614
AOI-0001,2021-06-09,0.46552860
AOI-0001,2021-06-19,0.47530877
AOI-0001,2021-08-28,0.28689098
AOI-0001,2021-08-29,0.31681913
AOI-0001,2021-09-07,0.23978884
AOI-0001,2021-09-30,0.26073348
AOI-0001,2022-04-23,0.67337106
AOI-0001,2022-05-26,0.76798789
AOI-0001,2022-05-27,0.75012568
AOI-0001,2022-06-26,0.47068185
AOI-0001,2022-07-17,0.39259873
AOI-0001,2022-07-28,0.43041137
AOI-0001,2022-08-08,0.31053050
AOI-0001,2022-10-12,0.19022352
AOI-0001,2023-04-11,0.40140645
AOI-0001,2023-05-13,0.76826627
AOI-0001,2023-06-26,0.59827652
AOI-0001,2023-08-23,0.23879137
AOI-0001,2023-09-07,0.22819743
AOI-0001,2023-09-18,0.25960884
AOI-0001,2023-09-27,0.21128554
AOI-0001,2023-10-07,0.22580162
AOI-0001,2024-04-09,0.63551306
AOI-0001,2024-05-08,0.77135781
AOI-0001,2024-07-18,0.22689841
AOI-0001,2024-08-03,0.22385958
AOI-0001,2024-10-06,0.15724154
AOI-0001,2024-10-30,0.16782262
AOI-0001,2025-04-01,0.22371391
AOI-0001,2025-07-08,0.57660154
AOI-0001,2025-07-10,0.55095576
AOI-0001,2025-08-06,0.29478426
AOI-0001,2025-08-30,0.23854178
AOI-0001,2025-09-08,0.20033281
AOI-0001,2025-09-14,0.28062822
AOI-0002,2025-05-09,0.79471926
AOI-0002,2025-05-25,0.68470585
AOI-0002,2025-08-22,0.16776889
AOI-0002,2025-08-27,0.16623378
AOI-0002,2025-09-23,0.20367318
AOI-0002,2025-09-26,0.20426802
AOI-0002,2025-09-30,0.31237811
AOI-0003,2025-04-07,0.81957615
AOI-0003,2025-05-01,0.83129680
AOI-0003,2025-05-09,0.80029374
AOI-0003,2025-05-25,0.77566074
AOI-0003,2025-07-05,0.19640371
AOI-0003,2025-09-05,0.22527358
AOI-0003,2025-09-08,0.25344222
AOI-0003,2025-09-15,0.27450479
AOI-0003,2025-09-30,0.37127476
AOI-0003,2025-10-16,0.33249517
AOI-0003,2025-10-17,0.33733419
AOI-0004,2025-05-09,0.71181326
AOI-0004,2025-06-13,0.63712914
AOI-0004,2025-07-18,0.48531405
AOI-0004,2025-08-29,0.32721347
AOI-0004,2025-09-07,0.32199010
AOI-0004,2025-09-16,0.31184040
AOI-0004,2025-09-30,0.39794610
AOI-0005,2025-04-07,0.61363543
AOI-0005,2025-05-19,0.65857802
AOI-0005,2025-07-28,0.36045466
AOI-0005,2025-08-07,0.31650287
AOI-0005,2025-08-14,0.31355293
AOI-0005,2025-08-29,0.27529703
AOI-0005,2025-09-30,0.36616959
AOI-0005,2025-10-17,0.35897330
AOI-0006,2025-04-17,0.23477746
AOI-0006,2025-06-03,0.51874579
AOI-0006,2025-07-10,0.55623047
AOI-0006,2025-08-02,0.44406346
AOI-0006,2025-08-29,0.24476314
AOI-0006,2025-09-08,0.22971234
AOI-0006,2025-09-30,0.25792599
AOI-0006,2025-10-17,0.25717135
AOI-0007,2025-05-06,0.51180986
AOI-0007,2025-05-25,0.75439464
AOI-0007,2025-05-27,0.77323449
AOI-0007,2025-05-28,0.75282506
AOI-0007,2025-06-03,0.68373257
AOI-0007,2025-06-04,0.69508698
AOI-0007,2025-07-15,0.15745849
AOI-0007,2025-08-19,0.15242580
AOI-0007,2025-09-16,0.17097314
AOI-0007,2025-10-13,0.24218319
AOI-0007,2025-10-18,0.27463980
AOI-0008,2025-06-03,0.84300852
AOI-0008,2025-06-30,0.28875990
AOI-0008,2025-07-05,0.24843350
AOI-0008,2025-07-07,0.22121176
AOI-0008,2025-07-13,0.18944183
AOI-0008,2025-08-09,0.13756055
AOI-0008,2025-08-22,0.15094958
AOI-0008,2025-08-31,0.18188694
AOI-0008,2025-09-08,0.14711171
AOI-0008,2025-10-08,0.17653877
AOI-0009,2025-04-16,0.73208056
AOI-0009,2025-05-01,0.84278203
AOI-0009,2025-06-15,0.31314810
AOI-0009,2025-06-28,0.25193579
AOI-0009,2025-07-23,0.18496821
AOI-0009,2025-08-19,0.17036480
AOI-0009,2025-09-01,0.18097602
AOI-0009,2025-09-05,0.16168927
AOI-0009,2025-09-15,0.17860319
AOI-0009,2025-09-24,0.20224776
AOI-0009,2025-10-05,0.17236063
AOI-0010,2010-06-10,0.52344670
AOI-0010,2010-07-13,0.27169014
AOI-0010,2010-10-16,0.28517118
AOI-0010,2011-04-23,0.63480781
AOI-0010,2011-08-29,0.28065083
AOI-0010,2011-09-14,0.29597530
AOI-0010,2012-04-06,0.55596966
AOI-0010,2012-06-25,0.26839317
AOI-0010,2012-07-18,0.24270786
AOI-0010,2013-06-11,0.43159391
AOI-0010,2013-06-27,0.34255725
AOI-0010,2013-07-28,0.29923050
AOI-0010,2014-04-07,0.87434783
AOI-0010,2014-06-30,0.29145679
AOI-0010,2014-08-13,0.26999139
AOI-0010,2014-09-02,0.18528603
AOI-0010,2015-05-24,0.26294000
AOI-0010,2015-08-04,0.19683378
AOI-0010,2015-08-29,0.24173526
AOI-0010,2015-09-21,0.20688168
AOI-0010,2016-05-24,0.72358848
AOI-0010,2016-06-27,0.40764221
AOI-0010,2016-08-30,0.22598773
AOI-0010,2016-10-15,0.30638256
AOI-0010,2017-05-29,0.69938994
AOI-0010,2017-06-06,0.63917075
AOI-0010,2017-08-09,0.15809921
AOI-0010,2017-08-26,0.18390632
AOI-0010,2017-09-13,0.18258176
AOI-0010,2017-09-14,0.27436286
AOI-0010,2017-10-12,0.20809597
AOI-0010,2018-04-14,0.69080736
AOI-0010,2018-04-23,0.84335894
AOI-0010,2018-05-09,0.81228833
AOI-0010,2018-07-02,0.22841233
AOI-0010,2018-09-30,0.26581500
AOI-0010,2019-05-13,0.79462766
AOI-0010,2019-06-15,0.26006940
AOI-0010,2019-07-28,0.29919658
AOI-0010,2019-08-01,0.21809772
AOI-0010,2019-08-07,0.27488386
AOI-0010,2019-08-09,0.23423488
AOI-0010,2019-08-26,0.17521842
AOI-0010,2019-09-05,0.16392144
AOI-0010,2019-09-14,0.28284901
AOI-0010,2019-09-16,0.21651189
AOI-0010,2020-04-02,0.74263973
AOI-0010,2020-04-07,0.72831948
AOI-0010,2020-07-06,0.17169301
AOI-0010,2020-08-03,0.16224543
AOI-0010,2020-08-05,0.15688833
AOI-0010,2020-08-12,0.26842725
AOI-0010,2020-08-30,0.16494882
AOI-0010,2020-09-02,0.17505319
AOI-0010,2020-10-09,0.15672806
AOI-0010,2020-10-15,0.28496246
AOI-0010,2021-04-22,0.35734908
AOI-0010,2021-07-16,0.23155701
AOI-0010,2021-07-24,0.23500701
AOI-0010,2021-09-13,0.35740816
AOI-0010,2021-09-30,0.33911731
AOI-0010,2021-10-02,0.29260451
AOI-0010,2021-10-14,0.18944896
AOI-0010,2021-10-16,0.24133957
AOI-0010,2021-10-22,0.14579447
AOI-0010,2022-04-23,0.69843663
AOI-0010,2022-05-30,0.75722598
AOI-0010,2022-06-09,0.64837095
AOI-0010,2022-06-29,0.34610348
AOI-0010,2022-08-10,0.30062579
AOI-0010,2022-08-15,0.31664839
AOI-0010,2022-09-29,0.23236063
AOI-0010,2022-10-17,0.27541602
AOI-0010,2023-05-09,0.73798091
AOI-0010,2023-05-20,0.70240811
AOI-0010,2023-06-19,0.53883391
AOI-0010,2023-06-23,0.52404940
AOI-0010,2023-08-13,0.27643061
AOI-0010,2023-09-29,0.27402438
