scope,method,rmse,mae,dataset
pooled_oracle_context,fixed_lag_0.18,0.06944887937271878,0.04253871923851697,random_private_like
pooled_oracle_context,fixed_lag_0.20,0.06944909527214516,0.042556569139854554,random_private_like
pooled_oracle_context,fixed_lag_0.15,0.06946223639283387,0.04253348431158294,random_private_like
pooled_oracle_context,fixed_lag_0.23,0.06946288396455397,0.042586973795920635,random_private_like
pooled_oracle_context,fixed_lag_0.12,0.06948915850564007,0.042544130512349926,random_private_like
pooled_oracle_context,fixed_lag_0.25,0.0694902373703474,0.04263278186519292,random_private_like
pooled_oracle_context,fixed_lag_0.10,0.06952962995378696,0.042571383518398606,random_private_like
pooled_oracle_context,fixed_lag_0.28,0.06953113948053712,0.0426908044016142,random_private_like
pooled_oracle_context,fixed_lag_0.08,0.06958362709545737,0.04260875718122356,random_private_like
pooled_oracle_context,fixed_lag_0.30,0.0695855664035088,0.042759923054134515,random_private_like
pooled_oracle_context,fixed_lag_0.05,0.06965111847321143,0.042658458713471736,random_private_like
pooled_oracle_context,fixed_lag_0.33,0.06965348643458488,0.04284404142628854,random_private_like
pooled_oracle_context,fixed_lag_0.03,0.06973206490517503,0.04272462245740289,random_private_like
pooled_oracle_context,fixed_lag_0.35,0.06973486014791462,0.04294142593736746,random_private_like
pooled_oracle_context,fixed_lag_0.00,0.06982641959795943,0.042801837558989676,random_private_like
pooled_oracle_context,hgb,0.06982641959795943,0.042801837558989676,random_private_like
pooled_oracle_context,fixed_lag_0.38,0.06982964051007326,0.043052746451781226,random_private_like
pooled_oracle_context,fixed_lag_0.40,0.0699377730146125,0.043174330438125574,random_private_like
pooled_oracle_context,fixed_lag_0.43,0.07005919583667373,0.04330590654377927,random_private_like
pooled_oracle_context,fixed_lag_0.45,0.07019384000665504,0.04344561103120641,random_private_like
pooled_oracle_context,fixed_lag_0.48,0.07034162960181482,0.04359365853738185,random_private_like
pooled_oracle_context,fixed_lag_0.50,0.07050248195459846,0.043752309323481224,random_private_like
pooled_oracle_context,lag,0.07628657597417754,0.048985236337197556,random_private_like
pooled_oracle_context,fixed_lag_0.30,0.0625196365651102,0.042902087705084094,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.28,0.06252158369472481,0.04287248977381723,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.33,0.06253085212005924,0.042943807359023485,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.25,0.06253669227941114,0.04285889305447828,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.35,0.0625552232797409,0.04299647162220188,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.23,0.06256495278423303,0.04285151413798043,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.38,0.06259273467732517,0.04306151140736516,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.20,0.06260634739886303,0.04285451444746954,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.40,0.06264336270734576,0.04313805080433328,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.18,0.0626608500935888,0.042868479759193244,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.43,0.06270707559974711,0.043229755694963866,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.15,0.0627284267008631,0.04289158419809739,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.45,0.06278383351907547,0.04333070503612896,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.12,0.06280903502180377,0.042924870423536356,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.48,0.06287358868809574,0.04343957571139022,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.10,0.06290262495687327,0.042974887771660454,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.50,0.06297628553494532,0.04356631203098805,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.08,0.0630091386598024,0.043032508435085035,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.05,0.06312851071366742,0.043099439151128315,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.03,0.06326066832789001,0.04317174989569941,exact_hidden_doy
pooled_oracle_context,hgb,0.06340553155480409,0.043257469907096814,exact_hidden_doy
pooled_oracle_context,fixed_lag_0.00,0.06340553155480409,0.043257469907096814,exact_hidden_doy
pooled_oracle_context,lag,0.06760293250974742,0.04819262998273643,exact_hidden_doy
