protocol,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_hidden_doy,mae_hidden_doy,n_hidden_doy,rmse_non_hidden_doy,mae_non_hidden_doy,n_non_hidden_doy,rmse_canon,mae_canon,n_canon,rmse_noncanon,mae_noncanon,n_noncanon,rmse_shared,mae_shared,n_shared,rmse_private_only,mae_private_only,n_private_only,dataset
crossfit,random0,hgb_raw,2644,0.0738059325387686,0.04362190292329903,0.053250677099711895,0.03442403864290447,756,0.0738059325387686,0.04362190292329903,2644,,,0,0.07503748601360961,0.05349547163863622,589,0.07344913971113114,0.040791960357199945,2055,0.04913276562150362,0.03334285829689529,377,0.07714757610939631,0.045331298522837724,2267,random_private_like
crossfit,random0,hgb_clip_01,2644,0.0738059325387686,0.04362190292329903,0.053250677099711895,0.03442403864290447,756,0.0738059325387686,0.04362190292329903,2644,,,0,0.07503748601360961,0.05349547163863622,589,0.07344913971113114,0.040791960357199945,2055,0.04913276562150362,0.03334285829689529,377,0.07714757610939631,0.045331298522837724,2267,random_private_like
crossfit,random0,hgb_clip_02_11,2644,0.0738059325387686,0.04362190292329903,0.053250677099711895,0.03442403864290447,756,0.0738059325387686,0.04362190292329903,2644,,,0,0.07503748601360961,0.05349547163863622,589,0.07344913971113114,0.040791960357199945,2055,0.04913276562150362,0.03334285829689529,377,0.07714757610939631,0.045331298522837724,2267,random_private_like
crossfit,random0,hgb_clip_calib_q01_q99,2644,0.07392829529409235,0.04376952876778673,0.05324119735834216,0.03447863604962664,756,0.07392829529409235,0.04376952876778673,2644,,,0,0.07503538078219886,0.05345258549563522,589,0.07360791456507228,0.040994190367444755,2055,0.04909651864591422,0.03342822967760811,377,0.07728792915547505,0.04548927722698273,2267,random_private_like
crossfit,random0,hgb_affine,2644,0.0738431489872256,0.043602834685373355,0.053313892827547484,0.034425403067835536,756,0.0738431489872256,0.043602834685373355,2644,,,0,0.07512172578465105,0.05351315251585917,589,0.07347258344423088,0.04076235916120977,2055,0.04918222451384017,0.033362614912685676,377,0.07718386259769278,0.04530577374770386,2267,random_private_like
crossfit,random0,hgb_affine_winsor,2644,0.07381553516314557,0.04360889734506896,0.05327090499438314,0.034418129947427246,756,0.07381553516314557,0.04360889734506896,2644,,,0,0.07506578015484694,0.05350228347836668,589,0.07345326878479791,0.040773274750172436,2055,0.04914430332763633,0.033338315026441204,377,0.07715706854018371,0.04531688567066343,2267,random_private_like
crossfit,random0,hgb_bias_median,2644,0.07380069145631876,0.04360165481352757,0.05327095154390328,0.03440936287516763,756,0.07380069145631876,0.04360165481352757,2644,,,0,0.07505531356775898,0.05351104055431464,589,0.07343714212817318,0.040761446443053795,2055,0.04911998696145612,0.0333035050099322,377,0.07714308150394572,0.04531422758633544,2267,random_private_like
crossfit,random0,hgb_shrink_0.90,2644,0.0759864696426897,0.04853559433636173,0.055895728172191406,0.039492681208451036,756,0.0759864696426897,0.04853559433636173,2644,,,0,0.07598479747157354,0.056241905359524426,589,0.07598694891025387,0.0463268268460246,2055,0.0523918224619754,0.03798518482488757,377,0.07923174994479329,0.05029011766491302,2267,random_private_like
crossfit,random0,hgb_shrink_0.95,2644,0.07419836856207301,0.045175952278884504,0.053609529998086936,0.03594113362053841,756,0.07419836856207301,0.045175952278884504,2644,,,0,0.07481889233002624,0.05408560338252528,589,0.07401955611863528,0.04262228585550524,2055,0.049774248921230876,0.03464772335402529,377,0.07751734340083621,0.04692678699642837,2267,random_private_like
crossfit,random0,hgb_shrink_0.98,2644,0.0737922282588351,0.04399653985662439,0.053155743005281135,0.03475506034434943,756,0.0737922282588351,0.04399653985662439,2644,,,0,0.07478296323051038,0.05352201363564429,589,0.07350580365810344,0.04126636756667661,2055,0.049141936632376336,0.033586335951527733,377,0.07713131344492691,0.04572774712271237,2267,random_private_like
crossfit,random0,hgb_peer_0.05,2644,0.0744461861399811,0.04485810080543064,0.05439811349401344,0.036018010744267914,756,0.0744461861399811,0.04485810080543064,2644,,,0,0.07485131032036071,0.05367558028770909,589,0.07432966312289414,0.04233085242827152,2055,0.050279229323187145,0.034627261523484915,377,0.07773994409445385,0.04655947990084023,2267,random_private_like
crossfit,random0,hgb_peer_0.10,2644,0.07617522826643337,0.04715305096994377,0.05693272315235561,0.03879966139126757,756,0.07617522826643337,0.04715305096994377,2644,,,0,0.07547042517970702,0.05482343219057394,589,0.07637603830292766,0.04495458160792373,2055,0.052678712397246925,0.03708161692321415,377,0.07941130637561632,0.04882792112239946,2267,random_private_like
crossfit,random0,hgb_peer_0.20,2644,0.08258366906417673,0.053961790116859996,0.06543451393820712,0.046240520573552185,756,0.08258366906417673,0.053961790116859996,2644,,,0,0.07902426291439232,0.058524118793524996,589,0.08357591264421822,0.05265414457401051,2055,0.060566981113266936,0.04384208521106974,377,0.08569823637559172,0.05564468766846252,2267,random_private_like
crossfit,random0,hgb_peer_0.30,2644,0.09219276903256546,0.06278486521201884,0.07717937909790247,0.05531602646093716,756,0.09219276903256546,0.06278486521201884,2644,,,0,0.08530985561067607,0.06401416585297845,589,0.09407272700786572,0.06243252551492628,2055,0.07137202562381523,0.051940377840234545,377,0.09521473054296523,0.06458829341632526,2267,random_private_like
crossfit,random0,blend_lag_0.05,2644,0.07363327745092312,0.04351156319098401,0.05298690725875753,0.034240217551431695,756,0.07363327745092312,0.04351156319098401,2644,,,0,0.07488807423167121,0.053356006347834634,589,0.07326966792364832,0.04068996853434897,2055,0.048898637692260924,0.033154522881367804,377,0.07697971107351159,0.04523392940039086,2267,random_private_like
crossfit,random0,blend_lag_0.10,2644,0.07350947623547562,0.043444886302456916,0.05277587973338756,0.03413653634257625,756,0.07350947623547562,0.043444886302456916,2644,,,0,0.07481028645208541,0.053266950546180955,589,0.07313237453002644,0.04062970584525328,2055,0.04872626500999628,0.033045560808195394,377,0.07685979797489881,0.045174284498900055,2267,random_private_like
crossfit,random0,blend_lag_0.15,2644,0.07343477597613583,0.04342650039632334,0.052618229102966124,0.03407728690240278,756,0.07343477597613583,0.04342650039632334,2644,,,0,0.07480434611696693,0.053232563458075775,589,0.07303749738716643,0.04061590616597192,2055,0.04861630445245474,0.0329923157260755,377,0.07678806146073687,0.04516169564144176,2267,random_private_like
crossfit,random0,blend_lag_0.20,2644,0.0734093265663058,0.0434699149392176,0.052514436089002234,0.034052372529460036,756,0.0734093265663058,0.0434699149392176,2644,,,0,0.07487027032781458,0.05328251546773214,589,0.07298520191232294,0.04065744695318593,2055,0.04856917992438361,0.03299248601211271,377,0.07676463659412619,0.04521230166419268,2267,random_private_like
crossfit,random0,blend_lag_0.25,2644,0.07343317921194598,0.0435614304470745,0.05246482033776535,0.03407211039468198,756,0.07343317921194598,0.0435614304470745,2644,,,0,0.07500786960021073,0.05340194716718544,589,0.07297557964967921,0.040740961177904024,2055,0.04858507426735623,0.03305289055794131,377,0.07678956758787824,0.045308990896215755,2267,random_private_like
crossfit,random0,blend_lag_0.30,2644,0.07350628591781107,0.04370398263516571,0.05246953554126927,0.034135793658425784,756,0.07350628591781107,0.04370398263516571,2644,,,0,0.07521675057454646,0.053586546303720464,589,0.07300864747173942,0.040871461953521544,2055,0.04866392573278371,0.03312506259561091,377,0.07686280738831422,0.04546324723812652,2267,random_private_like
crossfit,random0,blend_lag_fit_global,2644,0.07341332720918721,0.04344474269121176,0.05254818716963501,0.03405446251665494,756,0.07341332720918721,0.04344474269121176,2644,,,0,0.07483624431764614,0.05324904268842699,589,0.07300037976730843,0.04063465378690044,2055,0.04857994491206904,0.032980189165214654,377,0.07676796585116155,0.04518498824890956,2267,random_private_like
crossfit,random0,blend_lag_fit_canon,2644,0.07349729841646602,0.04346826802813456,0.05274400360890653,0.03417741176329003,756,0.07349729841646602,0.04346826802813456,2644,,,0,0.07503271418652606,0.05342622027808775,589,0.07305127043828466,0.04061413962170029,2055,0.04874895086666559,0.03312470165539147,377,0.07684382130011182,0.04518839353432077,2267,random_private_like
crossfit,random0,blend_lag_fit_hidden_doy,2644,0.07341332720918721,0.04344474269121176,0.05254818716963501,0.03405446251665494,756,0.07341332720918721,0.04344474269121176,2644,,,0,0.07483624431764614,0.05324904268842699,589,0.07300037976730843,0.04063465378690044,2055,0.04857994491206904,0.032980189165214654,377,0.07676796585116155,0.04518498824890956,2267,random_private_like
crossfit,random0,blend_lag_fit_span,2644,0.0734043008461034,0.043487906854535976,0.05251130065071352,0.0340568559749411,756,0.0734043008461034,0.043487906854535976,2644,,,0,0.07472712315922121,0.05306589131400687,589,0.07302073773626794,0.040742684058123146,2055,0.04847659674932624,0.03304224859559487,377,0.07676876350015253,0.045225010146825693,2267,random_private_like
crossfit,random0,hgb_groupbias_canon,2644,0.07379432527296442,0.04359254852701807,0.05325335211338794,0.03438785897231875,756,0.07379432527296442,0.04359254852701807,2644,,,0,0.0750318313966173,0.05349122931507186,589,0.07343578871613286,0.04075540838873891,2055,0.04914045698718789,0.033266990389498666,377,0.0771338100746413,0.045309679280368234,2267,random_private_like
crossfit,random0,hgb_groupbias_hidden_doy,2644,0.07380069145631876,0.04360165481352757,0.05327095154390328,0.03440936287516763,756,0.07380069145631876,0.04360165481352757,2644,,,0,0.07505531356775898,0.05351104055431464,589,0.07343714212817318,0.040761446443053795,2055,0.04911998696145612,0.0333035050099322,377,0.07714308150394572,0.04531422758633544,2267,random_private_like
crossfit,random0,hgb_groupbias_span,2644,0.073833358117665,0.043618786909222725,0.05328590827068306,0.03443781660190026,756,0.073833358117665,0.043618786909222725,2644,,,0,0.07502914609945878,0.05339365399831476,589,0.07348703610154084,0.04081713400631507,2055,0.04906939368940855,0.033265087576389095,377,0.07718488113260813,0.04534059751728548,2267,random_private_like
crossfit,random0,hgb_groupbias_year,2644,0.07395458283133562,0.043567221990335844,0.05324953090461387,0.03442754070802382,756,0.07395458283133562,0.043567221990335844,2644,,,0,0.07539320569585471,0.053496146296987096,589,0.07353705847555617,0.04072141351509615,2055,0.04913520602251994,0.0333489988098085,377,0.0773131681060607,0.045266503039766294,2267,random_private_like
crossfit,random1,hgb_raw,2644,0.06708433336689526,0.04371069895538836,0.056740271698867244,0.03644072686432617,756,0.06708433336689526,0.04371069895538836,2644,,,0,0.07000339795323415,0.05319351607152217,604,0.06619536756307991,0.0409030413386507,2040,0.05225933622849322,0.034260999248440845,377,0.06924258568405091,0.04528217526307218,2267,random_private_like
crossfit,random1,hgb_clip_01,2644,0.06708433336689526,0.04371069895538836,0.056740271698867244,0.03644072686432617,756,0.06708433336689526,0.04371069895538836,2644,,,0,0.07000339795323415,0.05319351607152217,604,0.06619536756307991,0.0409030413386507,2040,0.05225933622849322,0.034260999248440845,377,0.06924258568405091,0.04528217526307218,2267,random_private_like
crossfit,random1,hgb_clip_02_11,2644,0.06708433336689526,0.04371069895538836,0.056740271698867244,0.03644072686432617,756,0.06708433336689526,0.04371069895538836,2644,,,0,0.07000339795323415,0.05319351607152217,604,0.06619536756307991,0.0409030413386507,2040,0.05225933622849322,0.034260999248440845,377,0.06924258568405091,0.04528217526307218,2267,random_private_like
crossfit,random1,hgb_clip_calib_q01_q99,2644,0.06716123089341665,0.04382293386419347,0.0568034714794392,0.03656288640017987,756,0.06716123089341665,0.04382293386419347,2644,,,0,0.07001012309354532,0.05322619906818761,604,0.06629424945401008,0.04103882985281481,2040,0.052393861696579,0.03448368382590052,377,0.06931258406474149,0.045376042494293355,2267,random_private_like
crossfit,random1,hgb_affine,2644,0.06713914071788278,0.04377703649411703,0.05673811337117025,0.036479535797934365,756,0.06713914071788278,0.04377703649411703,2644,,,0,0.07004114770809994,0.05324800711188159,604,0.0662555351559019,0.040972886370033795,2040,0.05223150742188389,0.034251967125576044,377,0.06930800131978501,0.045361046706706334,2267,random_private_like
crossfit,random1,hgb_affine_winsor,2644,0.0671652480532123,0.043857386085914635,0.05671514406150056,0.036518220768725136,756,0.0671652480532123,0.043857386085914635,2644,,,0,0.07004423970755166,0.053277897409243394,604,0.06628885405957591,0.041068175870576124,2040,0.05218122313316368,0.03427780362621753,377,0.06934379279628868,0.045450461775065856,2267,random_private_like
crossfit,random1,hgb_bias_median,2644,0.06714001160053826,0.04372105716275379,0.05677720876445477,0.03645998102409361,756,0.06714001160053826,0.04372105716275379,2644,,,0,0.07005952835621282,0.053239380849211114,604,0.06625092497638332,0.040902886816371324,2040,0.05229272578859542,0.034236330381005105,377,0.06930130821699791,0.04529835844053026,2267,random_private_like
crossfit,random1,hgb_shrink_0.90,2644,0.07036517613087083,0.049099574868956594,0.05919284004569504,0.04108479103486986,756,0.07036517613087083,0.049099574868956594,2644,,,0,0.0723039174398693,0.05652498668051133,604,0.0697808223814051,0.04690107058749627,2040,0.05390493394046653,0.038374620421855805,377,0.0727421847760325,0.050883124858615604,2267,random_private_like
crossfit,random1,hgb_shrink_0.95,2644,0.0679786619746988,0.04555928294031681,0.057056147507286624,0.037770178107736606,756,0.0679786619746988,0.04555928294031681,2644,,,0,0.07052040950169315,0.05435058841952266,604,0.06720766392804323,0.042956367004316647,2040,0.05216942833908202,0.03546285421664765,377,0.07026361171617443,0.047238309684394124,2267,random_private_like
crossfit,random1,hgb_shrink_0.98,2644,0.06725696844357741,0.04421933294951361,0.05664224139120258,0.036720619242976434,756,0.06725696844357741,0.04421933294951361,2644,,,0,0.07005488984192781,0.05343918538537697,604,0.06640594918399895,0.041489533502816804,2040,0.0520006234650163,0.03448441264342788,377,0.06946992265175123,0.04583824117862446,2267,random_private_like
crossfit,random1,hgb_peer_0.05,2644,0.06752342623896582,0.0449396143478833,0.05675666709621911,0.03704457737131249,756,0.06752342623896582,0.0449396143478833,2644,,,0,0.07013158555218332,0.05378963728045754,604,0.06673165048634076,0.042319313440395634,2040,0.05204217720249751,0.034689368515850146,377,0.06976558474230778,0.046644220734595475,2267,random_private_like
crossfit,random1,hgb_peer_0.10,2644,0.06922290209207489,0.04737562011415958,0.058075508568328986,0.03883201723882916,756,0.06922290209207489,0.04737562011415958,2644,,,0,0.07116190564999154,0.055171732222051774,604,0.06863829586002573,0.04506735947045033,2040,0.0531260670743629,0.03630652377673469,377,0.07154945669589417,0.049216400581389035,2267,random_private_like
crossfit,random1,hgb_peer_0.20,2644,0.07600315563016888,0.054489518821523836,0.06422156484574183,0.04459331699433362,756,0.07600315563016888,0.054489518821523836,2644,,,0,0.07574967810440333,0.05948442435380304,604,0.0760780428165392,0.05301063502667253,2040,0.0588241703898758,0.041823708863834436,377,0.07849624845823015,0.056595831284712586,2267,random_private_like
crossfit,random1,hgb_peer_0.30,2644,0.08633838230106465,0.06362867653216461,0.07398913784981269,0.05262865194486933,756,0.08633838230106465,0.06362867653216461,2644,,,0,0.08320136102580378,0.06537937817807597,604,0.08724554720724431,0.06311033153504184,2040,0.06815240480603019,0.049411064487230795,377,0.08900305881164325,0.06599305224497451,2267,random_private_like
crossfit,random1,blend_lag_0.05,2644,0.06686731589757444,0.043549627533972526,0.056296701196161744,0.03619760675233059,756,0.06686731589757444,0.043549627533972526,2644,,,0,0.06959016939258603,0.05292578296180727,604,0.06603960089685794,0.04077355014259401,2040,0.05201645453832106,0.034112649437565375,377,0.0690278446640853,0.04511898824960795,2267,random_private_like
crossfit,random1,blend_lag_0.10,2644,0.06670418862282328,0.043443132571888775,0.055904435340676406,0.035992862046019716,756,0.06670418862282328,0.043443132571888775,2644,,,0,0.06924928800480527,0.052725673313853964,604,0.06593179179290994,0.04069477246985594,2040,0.05182175751663283,0.034008873169573565,377,0.06886793690743918,0.04501204117121513,2267,random_private_like
crossfit,random1,blend_lag_0.15,2644,0.0665953475606987,0.043375681865987385,0.05556456072022096,0.03580673056078646,756,0.0665953475606987,0.043375681865987385,2644,,,0,0.06898182633309889,0.052580309836908784,604,0.06587217571959568,0.040650390054989084,2040,0.05167578979724559,0.033929195758982976,377,0.06876324495664043,0.04494662375497753,2267,random_private_like
crossfit,random1,blend_lag_0.20,2644,0.06654105909924508,0.04336477478155467,0.05527804371885533,0.035660101648402893,756,0.06654105909924508,0.04336477478155467,2644,,,0,0.06878864078698504,0.05251284130533131,604,0.06586088354740827,0.04065622959510315,2040,0.051578965091464216,0.03388257025476911,377,0.06871402119079358,0.04494165661066722,2267,random_private_like
