family,method,param,rmse,mae,n
loo_blend,hgb_lag,year=2024;w=0.3077,0.051388712441039375,0.03586531862568312,152
loo_blend,hgb_lag,year=2020;w=0.3066,0.055365569880089116,0.037953894862812865,222
loo_blend,hgb_lag,year=2019;w=0.3164,0.05731259324199468,0.03941170834382856,249
global_blend,hgb_lag,0.3,0.0625196365651102,0.042902087705084094,1114
global_blend,hgb_lag,0.25,0.06253669227941114,0.04285889305447828,1114
global_blend,hgb_lag,0.35,0.0625552232797409,0.04299647162220188,1114
global_blend,hgb_lag,0.2,0.06260634739886303,0.04285451444746954,1114
global_blend,hgb_lag,0.4,0.06264336270734576,0.04313805080433328,1114
global_blend,hgb_lag,0.15,0.0627284267008631,0.04289158419809739,1114
global_blend,hgb_lag,0.45,0.06278383351907547,0.04333070503612896,1114
global_blend,hgb_lag,0.1,0.06290262495687327,0.042974887771660454,1114
global_blend,hgb_lag,0.5,0.06297628553494532,0.04356631203098805,1114
global_blend,hgb_lag,0.05,0.06312851071366742,0.043099439151128315,1114
global_blend,hgb_lag,0.55,0.06322024404071853,0.04387852579189263,1114
raw,hgb,none,0.06340553155480409,0.043257469907096814,1114
global_blend,hgb_lag,0.0,0.06340553155480409,0.043257469907096814,1114
fixed_clip,hgb,-0.1:1.0,0.06340553155480409,0.043257469907096814,1114
fixed_clip,hgb,0.0:1.0,0.06340553155480409,0.043257469907096814,1114
fixed_clip,hgb,-0.05:0.95,0.06340553155480409,0.043257469907096814,1114
fixed_clip,hgb,-0.2:1.1,0.06340553155480409,0.043257469907096814,1114
loo_calibration,hgb,median_bias,0.06349348079362746,0.043337443391524365,1114
global_blend,hgb_lag,0.6,0.06351511553731222,0.04423746998818143,1114
loo_calibration,hgb,robust_affine,0.06367736219884321,0.04345536156591498,1114
loo_calibration,hgb,affine,0.06368265806811133,0.04335443083352473,1114
loo_blend,hgb_lag,year=2022;w=0.2557,0.06634877665327706,0.047498232204830404,192
loo_calibration,lag_k16_d3,robust_affine,0.0675848579599367,0.04764240635167145,1114
loo_calibration,lag_k16_d3,affine,0.06758541485763826,0.047580341998005905,1114
fixed_clip,lag_k16_d3,0.0:1.0,0.06760293250974742,0.04819262998273643,1114
fixed_clip,lag_k16_d3,-0.05:0.95,0.06760293250974742,0.04819262998273643,1114
fixed_clip,lag_k16_d3,-0.2:1.1,0.06760293250974742,0.04819262998273643,1114
fixed_clip,lag_k16_d3,-0.1:1.0,0.06760293250974742,0.04819262998273643,1114
raw,lag_k16_d3,none,0.06760293250974742,0.04819262998273643,1114
loo_calibration,lag_k16_d3,median_bias,0.0676596878432399,0.04830625869154273,1114
loo_calibration,base_k8,robust_affine,0.07019276879664973,0.04952036613248308,1114
loo_calibration,base_k8,affine,0.07021908832387468,0.04954333197879837,1114
raw,base_k8,none,0.0705536548225406,0.050599956125115024,1114
fixed_clip,base_k8,-0.05:0.95,0.0705536548225406,0.050599956125115024,1114
fixed_clip,base_k8,0.0:1.0,0.0705536548225406,0.050599956125115024,1114
fixed_clip,base_k8,-0.2:1.1,0.0705536548225406,0.050599956125115024,1114
fixed_clip,base_k8,-0.1:1.0,0.0705536548225406,0.050599956125115024,1114
loo_blend,hgb_lag,year=2023;w=0.2442,0.07058365316197221,0.044928845906744994,169
loo_calibration,base_k8,median_bias,0.07059447934738544,0.050649559152626714,1114
loo_blend,hgb_lag,year=2021;w=0.3211,0.07756021635838938,0.057398544502292724,130
