audit,seed,cohort,n,peer_coverage,w,rmse,delta
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.0000000000,0.0698641263,0.0000000000
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.0300000000,0.0697316245,-0.0001325018
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.0500000000,0.0696670467,-0.0001970796
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.0700000000,0.0696215382,-0.0002425881
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.0800000000,0.0696059473,-0.0002581790
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.1000000000,0.0695891081,-0.0002750182
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.1200000000,0.0695914024,-0.0002727239
private_cohort_blend_holdout_predictions.csv,70404,all,2644,0.6902420575,0.1500000000,0.0696307106,-0.0002334157
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.0000000000,0.0645352640,0.0000000000
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.0300000000,0.0643177351,-0.0002175289
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.0500000000,0.0641984219,-0.0003368422
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.0700000000,0.0640998103,-0.0004354537
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.0800000000,0.0640582984,-0.0004769657
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.1000000000,0.0639909126,-0.0005443515
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.1200000000,0.0639444305,-0.0005908335
private_cohort_blend_holdout_predictions.csv,70404,history,1888,0.5911016949,0.1500000000,0.0639139959,-0.0006212681
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.0000000000,0.0816675643,0.0000000000
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.0300000000,0.0817000646,0.0000325003
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.0500000000,0.0817417323,0.0000741679
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.0700000000,0.0817993733,0.0001318090
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.0800000000,0.0818341736,0.0001666093
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.1000000000,0.0819157087,0.0002481443
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.1200000000,0.0820131156,0.0003455512
private_cohort_blend_holdout_predictions.csv,70404,2025,756,0.9378306878,0.1500000000,0.0821888597,0.0005212954
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.0000000000,0.0996630005,0.0000000000
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.0300000000,0.0997115148,0.0000485144
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.0500000000,0.0997598559,0.0000968554
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.0700000000,0.0998209745,0.0001579740
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.0800000000,0.0998563182,0.0001933177
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.1000000000,0.0999365576,0.0002735571
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.1200000000,0.1000295069,0.0003665064
private_cohort_blend_holdout_predictions.csv,70404,new2025,379,0.9050131926,0.1500000000,0.1001926832,0.0005296827
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.0000000000,0.0582164708,0.0000000000
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.0300000000,0.0582244004,0.0000079296
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.0500000000,0.0582584206,0.0000419499
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.0700000000,0.0583153850,0.0000989142
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.0800000000,0.0583524513,0.0001359805
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.1000000000,0.0584436976,0.0002272268
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.1200000000,0.0585576706,0.0003411999
private_cohort_blend_holdout_predictions.csv,70404,shared2025,377,0.9708222812,0.1500000000,0.0587709462,0.0005544754
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.0000000000,0.0715691565,0.0000000000
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.0300000000,0.0714910204,-0.0000781361
