method,rmse,mae,n,rmse_s2,rmse_landsat,rmse_modis
lag_k16_d3,0.07623822980939807,0.04898523629303033,7932,0.07527862887230184,0.0768812112800351,0.0754908802190179
lag_history_k16_d3,0.07623822980939807,0.04898523629303033,7932,0.07527862887230184,0.0768812112800351,0.0754908802190179
blend_hist_lag25_d3,0.07683268833380906,0.049253395128144285,7932,0.07546795446801374,0.07720398297929364,0.07770056730308031
blend_hist_lag50,0.07687014407201341,0.04927453713802727,7932,0.07483937134802296,0.07821787295141043,0.07720003359492386
blend_hist_lag25,0.07726394895839017,0.049547317853869594,7932,0.0754563512469152,0.07801145178886668,0.0784084087506515
lag_k16_d2,0.07754334707256033,0.04977794098641836,7932,0.07478916397692531,0.07993923502082581,0.07730984568210435
lag_history_k16_d2,0.07754334707256033,0.04977794098641836,7932,0.07478916397692531,0.07993923502082581,0.07730984568210435
history_k6,0.07813769126543739,0.05019313206750537,7932,0.07645680043757343,0.0782479828500871,0.080414890892503
base_k6,0.07813769126543739,0.05019313206750537,7932,0.07645680043757343,0.0782479828500871,0.080414890892503
base_k8,0.07854671451715238,0.050955865207190885,7932,0.07678400301770744,0.07940655932047869,0.07949047772432015
history_k8,0.07854671451715238,0.050955865207190885,7932,0.07678400301770744,0.07940655932047869,0.07949047772432015
