eval_seed,alpha,base_rmse,corrected_rmse,delta
0,1,0.06946028900056009,0.06938336368589514,-7.692531466495234e-05
0,10,0.06946028900056009,0.06938540219857095,-7.4886801989138e-05
0,100,0.06946028900056009,0.06939371222889526,-6.6576771664828e-05
0,1000,0.06946028900056009,0.06940531897840387,-5.497002215622271e-05
1,1,0.0615862384819381,0.0615809434152146,-5.295066723504105e-06
1,10,0.0615862384819381,0.06158092833368724,-5.310148250864399e-06
1,100,0.0615862384819381,0.06158116994678834,-5.068535149761744e-06
1,1000,0.0615862384819381,0.06158328865195424,-2.949829983861507e-06
2,1,0.0642663645024491,0.06421159995680974,-5.4764545639365836e-05
2,10,0.0642663645024491,0.06420985837974465,-5.650612270445554e-05
2,100,0.0642663645024491,0.06420334399430877,-6.302050814033233e-05
2,1000,0.0642663645024491,0.06419402708999675,-7.23374124523557e-05
70404,1,0.06670625667108614,0.0668179317119966,0.0001116750409104611
70404,10,0.06670625667108614,0.06681563613356221,0.00010937946247607799
70404,100,0.06670625667108614,0.06680891444266776,0.00010265777158162404
70404,1000,0.06670625667108614,0.06680845552032148,0.0001021988492353465
