case,k,alpha,n,coverage,rmse,mae
private,1,0.0,1972,0.745839636913767,0.11397062501747007,0.08364343488127061
private,1,0.25,2029,0.7673978819969742,0.09927281131920208,0.0724006819039132
private,1,0.5,2029,0.7673978819969742,0.09010719767984934,0.06531356097356365
private,1,0.75,2029,0.7673978819969742,0.08777025747964722,0.06248774634613285
private,2,0.0,2028,0.7670196671709532,0.10644709758508045,0.07722109670720899
private,2,0.25,2045,0.7734493192133132,0.09500149852732906,0.06871338924317952
private,2,0.5,2045,0.7734493192133132,0.0883481974657179,0.06368233070459169
private,2,0.75,2045,0.7734493192133132,0.08744389656985703,0.06235466284006408
private,3,0.0,2043,0.7726928895612708,0.10609489484569808,0.0777623189211098
private,3,0.25,2049,0.7749621785173979,0.09479686193468866,0.0693463511167868
private,3,0.5,2049,0.7749621785173979,0.08818113778778708,0.0640369333988477
private,3,0.75,2049,0.7749621785173979,0.08731123992724757,0.062470539100543766
private,5,0.0,2055,0.777231467473525,0.11142753990861802,0.08236491491179389
private,5,0.25,2057,0.7779878971255674,0.09799326148709217,0.07248982139546739
private,5,0.5,2057,0.7779878971255674,0.08960432719499388,0.06595821425897988
private,5,0.75,2057,0.7779878971255674,0.08765211431118355,0.06325233346858217
private,8,0.0,2065,0.7810136157337367,0.12338999236360498,0.09207835615852453
private,8,0.25,2065,0.7810136157337367,0.10662403352047095,0.07942067147528285
private,8,0.5,2065,0.7810136157337367,0.0951449665421225,0.07000384279902182
private,8,0.75,2065,0.7810136157337367,0.09097653883211751,0.06507284987563855
2019,1,0.0,245,0.9839357429718876,,
2019,1,0.25,245,0.9839357429718876,,
2019,1,0.5,245,0.9839357429718876,,
2019,1,0.75,245,0.9839357429718876,,
2019,2,0.0,245,0.9839357429718876,,
2019,2,0.25,245,0.9839357429718876,,
2019,2,0.5,245,0.9839357429718876,,
2019,2,0.75,245,0.9839357429718876,,
2019,3,0.0,246,0.9879518072289156,,
2019,3,0.25,246,0.9879518072289156,,
2019,3,0.5,246,0.9879518072289156,,
2019,3,0.75,246,0.9879518072289156,,
2019,5,0.0,246,0.9879518072289156,,
2019,5,0.25,246,0.9879518072289156,,
2019,5,0.5,246,0.9879518072289156,,
2019,5,0.75,246,0.9879518072289156,,
2019,8,0.0,248,0.9959839357429718,,
2019,8,0.25,248,0.9959839357429718,,
2019,8,0.5,248,0.9959839357429718,,
2019,8,0.75,248,0.9959839357429718,,
