year,method,bias,rmse
2019,loo_mean,-0.0006382135983059102,0.06505720270754448
2019,loo_median,0.00028028920943423685,0.06504159979347379
2020,loo_mean,-0.0013751738928557086,0.06424617752702512
2020,loo_median,-0.0007790806563123531,0.06425474015889798
2021,loo_mean,-0.00021308496561130356,0.09027098877935522
2021,loo_median,-0.00026647964709028416,0.09027373753514066
2022,loo_mean,0.0008424585859805909,0.07215074616150965
2022,loo_median,0.001608753031045962,0.07207746606453123
2023,loo_mean,-0.0016523057625283666,0.07608012445336404
2023,loo_median,0.00011171411866905956,0.07616905957416219
2024,loo_mean,-0.0011851799178762411,0.059196605077432525
2024,loo_median,-0.0005023829753939557,0.059213998676495065
pooled,aoi_bias_lam0.25,0.0,0.07103391950263237
pooled,aoi_bias_lam0.5,0.0,0.07182953631338977
pooled,aoi_bias_lam0.75,0.0,0.07289698879795642
pooled,aoi_bias_lam1.0,0.0,0.07422454975508351
